0	Index      	 *	Score 	Summary	Detail	
1	42224 84831	 * 	312.96	橙3易伤2矿等2等级1伤害1攻速	1双倍秒伤27等级3加一4伤害57a易伤67矿等7序列升级8核9攻速
2	32413 62225	 * 	310.17	橙橙2易伤1等级1伤害2随机技能	1a暴雪减费2金币生成3双倍秒伤4a随机技能5等级69核7伤害8a易伤a序列升级
3	43113 62225	   	310.17	橙橙2易伤1等级1伤害2随机技能	1双倍秒伤2a烈焰减费3金币生成4a随机技能5等级69核7伤害8a易伤a序列升级
4	42224 84844	   	296.71	橙3易伤2矿等2等级1伤害	1双倍秒伤27等级3加一4伤害57a易伤67矿等7序列升级8核9最后敌人
5	42224 84841	 * 	295.68	橙3矿等2易伤2等级1伤害	1双倍秒伤27等级3加一4伤害57易伤67a矿等7序列升级8核9最后敌人
6	42142 12212	   	290.30	橙3易伤2矿等2等级2随机技能	1双倍秒伤27等级39a易伤47矿等57随机技能6赏金邻近7序列升级8核
7	32413 61225	   	290.11	橙橙2易伤1等级2随机技能	1a暴雪减费2金币生成3双倍秒伤4a随机技能5等级69核7策反8a易伤a序列升级
8	43113 61225	   	290.11	橙橙2易伤1等级2随机技能	1双倍秒伤2a烈焰减费3金币生成4a随机技能5等级69核7策反8a易伤a序列升级
9	42224 84821	   	290.04	橙2易伤2矿等2等级1伤害1技能	1双倍秒伤27等级3加一4伤害57易伤67矿等7序列升级8核9风暴减费a技能
10	42224 84832	   	289.50	橙2易伤2矿等2等级1伤害1攻速	1双倍秒伤27等级3加一4伤害57易伤67矿等7序列升级8核9攻速a低血量敌人
11	42224 84833	   	289.50	橙2易伤2矿等2等级1伤害1攻速	1双倍秒伤27等级3加一4伤害57易伤67矿等7序列升级8核9攻速a赏金塔
12	42224 84834	   	289.40	橙2易伤2矿等2等级1伤害1攻速1挖怪	1双倍秒伤27等级3加一4伤害57易伤67矿等7序列升级8核9攻速a挖怪
13	42142 12214	   	286.90	橙2易伤2矿等2等级1伤害2随机技能	1双倍秒伤27等级39易伤47矿等57随机技能6赏金邻近7序列升级8核a伤害
14	42512 52212	 * 	286.26	橙4易伤2等级1矿等2随机技能	1双倍秒伤27等级3矿等47随机技能5赏金邻近679a易伤7序列升级8核
15	42562 12212	   	286.26	橙4易伤2等级1矿等2随机技能	1双倍秒伤27等级3矿等479a易伤57随机技能6赏金邻近7序列升级8核
