0	Index      	 *	Score 	Summary	Detail	
1	11232 13786	 * 	302.76	橙橙2易伤1等级1矿等	1立即金币28易伤3寒冰对冰4加一5赏金邻近6等级79核a矿等
2	23125 14432	   	291.73	橙橙1易伤1等级1伤害1攻速	1最后敌人2随机技能3攻速4等级5伤害6易伤7a核8双倍秒伤9平台
3	23126 14622	 * 	286.25	橙橙1易伤1等级2攻速	1最后敌人2随机技能3a攻速4等级5掉矿6易伤79核8额外掉落
4	11232 13783	   	284.86	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金邻近6等级79核a时间
5	11238 13783	   	284.86	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金塔6等级79核a时间
6	53322 15216	   	280.90	橙橙1易伤1矿等1攻速1暴击	1技能点2攻速3赏金塔4易伤5时间6最后敌人7a核8暴击9矿等
7	22416 23313	   	280.63	橙橙1易伤1矿等1攻速2时间	1最后敌人2矿等37时间4易伤5随机技能6a核8激光对冰9攻速
8	23112 24622	 * 	280.36	橙橙1易伤2攻速1矿等	1最后敌人2随机技能3a攻速4易伤5矿等6掉矿79核8额外掉落
9	12231 23226	 * 	278.25	橙2易伤2矿等1等级2攻速	1立即金币27攻速3双倍秒伤4全技能57易伤67矿等7序列升级8雷电9核a等级
10	11232 13784	   	276.56	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金邻近6等级79核a随机矿
11	11232 13785	   	276.56	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金邻近6等级79核a敌人爆炸
12	11238 13784	   	276.56	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金塔6等级79核a随机矿
13	11232 13781	   	276.46	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金邻近6等级79核a掉矿
14	11232 13782	   	276.46	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金邻近6等级79核a挖尘
15	11232 13787	   	276.46	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金邻近6等级79核a风暴减费
16	11232 13788	   	276.46	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金邻近6等级79核a基地爆炸
17	11238 13781	   	276.46	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金塔6等级79核a掉矿
18	11238 13782	   	276.46	橙橙2易伤1等级	1立即金币28易伤3寒冰对冰4加一5赏金塔6等级79核a挖尘
19	22353 23266	   	274.44	橙橙1易伤1等级1矿等1卖塔	1最后敌人2矿等3赏金塔4卖塔5核弹6易伤7低血量敌人8等级9a核
20	22353 21266	   	274.34	橙橙1易伤1等级1矿等1卖塔	1最后敌人2矿等3赏金塔4卖塔5核弹6易伤7挖尘8等级9a核
21	23112 24642	   	274.08	橙橙1易伤1矿等1攻速	1最后敌人2随机技能3攻速4易伤5矿等6掉矿7a核8额外掉落9时间
22	22245 62123	 * 	273.93	紫橙2易伤1等级1矿等	1最后敌人2矿等3双倍秒伤4掉矿56核7时间8a易伤9等级
