0	Index      	 *	Score 	Summary	Detail	
1	41141 11864	 * 	317.78	橙橙2易伤2伤害1等级	1最后敌人2加一36易伤49伤害5时间7a核8等级
2	11243 22363	 * 	304.57	橙3矿等2易伤2等级1伤害	1全技能289矿等39等级47易伤5伤害69雷电9序列升级a核
3	11265 22363	   	304.57	橙3矿等2易伤2等级1伤害	1全技能289矿等39等级4伤害57易伤69雷电9序列升级a核
4	41135 32244	   	300.19	橙橙2易伤1等级1伤害	14最后敌人2加一37易伤5等级6a核8伤害9时间
5	11261 66222	 * 	298.08	橙3等级2矿等2伤害1易伤1技能1卖塔	1全技能27矿等378等级47伤害5卖塔6核7序列升级9易伤a技能
6	41136 33254	 * 	298.03	橙橙4易伤1技能	147最后敌人2加一3789易伤5技能6a核7序列升级
7	31313 56143	 * 	297.66	橙2矿等2伤害1易伤1等级2攻速1技能	17攻速2技能点37伤害4技能57矿等6核7序列升级8低血量敌人9易伤a等级
8	31313 56343	   	297.56	橙2矿等2伤害1易伤1等级2攻速1技能	17攻速2技能点37伤害4技能57矿等6核7序列升级8挖尘9易伤a等级
9	41136 32644	 * 	293.52	橙橙2易伤1矿等1技能	14最后敌人2加一37易伤5技能6a核8矿等9时间
10	41144 51154	   	291.89	橙橙2易伤1等级1伤害	1最后敌人2加一39易伤4伤害5金币生成6等级7a核8赏金邻近
11	41144 51254	   	291.89	橙橙2易伤1等级1伤害	1最后敌人2加一39易伤4伤害5金币生成6等级7a核8赏金塔
12	41144 51374	   	291.79	橙橙2易伤1等级1伤害	1最后敌人2加一39易伤4伤害5金币生成6等级7a核8掉矿
13	41141 41864	   	291.58	橙橙2伤害1易伤1等级	1最后敌人2加一3易伤49伤害5时间6双倍矿7a核8等级
14	35541 31222	   	290.38	橙橙1易伤1等级1攻速2时间1暴击	1攻速25时间3暴击4导弹对黄6等级7a核8易伤9立即金币
15	41141 11154	   	290.24	橙橙3易伤1伤害	1最后敌人2加一369易伤4伤害5时间7a核8赏金邻近
16	41141 11254	   	290.24	橙橙3易伤1伤害	1最后敌人2加一369易伤4伤害5时间7a核8赏金塔
17	41141 11374	   	290.14	橙橙3易伤1伤害	1最后敌人2加一369易伤4伤害5时间7a核8掉矿
18	41144 41154	   	288.38	橙橙2易伤1矿等1伤害	1最后敌人2加一39易伤4伤害5金币生成6矿等7a核8赏金邻近
19	41144 41254	   	288.38	橙橙2易伤1矿等1伤害	1最后敌人2加一39易伤4伤害5金币生成6矿等7a核8赏金塔
20	41144 41874	   	288.38	橙橙2易伤1矿等1伤害	1最后敌人2加一39易伤4伤害5金币生成6矿等7a核8技能点
21	41144 41374	   	288.28	橙橙2易伤1矿等1伤害	1最后敌人2加一39易伤4伤害5金币生成6矿等7a核8掉矿
