0	Index      	 *	Score 	Summary	Detail	
1	51211 56321	 * 	440.25	DCR|4VULN|1MDPS|1TLV	1579VULN|2CGEN|3DUR|4TLV|6RCR|8LHND|aMDPS
2	61132 13435	   	428.64	DCR|3VULN|1MDPS|1CDMG|1TLV	1LWND|2CGEN|379VULN|4DUR|5TLV|6RCR|8CDMG|aMDPS
3	22136 12533	 * 	421.30	DCR|2VULN|1MDPS|3CDMG|3DUR	137CDMG|257DUR|4AART|67VULN|7BPWR|8BELT|9RCR|aMDPS
4	51211 55321	 * 	418.13	DCR|3VULN|1MDPS|2TLV	159VULN|2CGEN|3DUR|47TLV|6RCR|8LHND|aMDPS
5	51211 52321	   	417.36	DCR|2VULN|1MDPS|1CDMG|2DUR|1TLV|1DMG	15VULN|2CGEN|38DUR|4TLV|6RCR|7CDMG|9DMG|aMDPS
6	31132 13221	   	413.69	DCR|3VULN|1MDPS|2DUR|1TLV	1BEXP|2CGEN|379VULN|48DUR|5TLV|6RCR|aMDPS
7	51211 53221	   	413.69	DCR|3VULN|1MDPS|2DUR|1TLV	159VULN|2CGEN|38DUR|4TLV|6RCR|7BEXP|aMDPS
8	51214 13221	   	413.69	DCR|3VULN|1MDPS|2DUR|1TLV	179VULN|2CGEN|38DUR|4TLV|5BEXP|6RCR|aMDPS
9	51215 13221	   	413.69	DCR|3VULN|1MDPS|2DUR|1TLV	179VULN|2CGEN|38DUR|4TLV|5LWND|6RCR|aMDPS
10	61132 13221	   	413.69	DCR|3VULN|1MDPS|2DUR|1TLV	1LWND|2CGEN|379VULN|48DUR|5TLV|6RCR|aMDPS
11	51432 13221	   	413.69	DCR|3VULN|1MDPS|2DUR|1TLV	179VULN|2CGEN|3FEWX|48DUR|5TLV|6RCR|aMDPS
12	51632 13221	   	413.69	DCR|3VULN|1MDPS|2DUR|1TLV	179VULN|2CGEN|3LWND|48DUR|5TLV|6RCR|aMDPS
13	51252 13221	   	413.59	DCR|3VULN|1MDPS|2DUR|1TLV	179VULN|2CGEN|38DUR|4DUST|5TLV|6RCR|aMDPS
