0	Index      	 *	Score 	Summary	Detail	
1	12132 33665	 * 	387.38	DCR|3VULN|1MDPS|2DUR	1RMIN|279VULN|36DUST|46DUR|5RCVC|6BPWR|8RCR|aMDPS
2	37414 24371	 * 	384.32	DCR|2MDPS|1VULN|1TLV|1DUR	1MBVNT|2ZMB|3RMIN|4TLV|5LWND|6RCR|7DUR|8VULN|9aMDPS
3	12143 42263	   	374.93	DCR|3VULN|1MDPS|1DUR	1RMIN|259VULN|3DUST|4CGEN|6RCR|7DUR|8MLV|aMDPS
4	36415 23212	   	374.93	DCR|3VULN|1MDPS|1DUR	1MBVNT|2RAT|367VULN|4FEWX|5LIT|8DUR|9RCR|aMDPS
5	36434 23212	   	374.93	DCR|3VULN|1MDPS|1DUR	1MBVNT|2RAT|367VULN|4BOSS|5FEWX|8DUR|9RCR|aMDPS
6	36328 31435	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2RAT|356ERES|456VULN|56BPWR|7LWND|8DUR|9RCR|aMDPS
7	12143 42163	   	374.83	DCR|3VULN|1MDPS|1DUR	1RMIN|259VULN|3DUST|4CGEN|6RCR|7DUR|8ERES|aMDPS
8	36455 23212	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2RAT|367VULN|4DUST|5LIT|8DUR|9RCR|aMDPS
9	35134 34131	 * 	364.38	ACR|2MDPS|1VULN|1TLV|1DMG|1DUR	1MBVNT|2RMIN|3BEXP|4RCR|5TLV|6DUR|7VULN|8DMG|9aMDPS
10	35534 34131	   	364.28	ACR|2MDPS|1VULN|1TLV|1DMG|1DUR	1MBVNT|2RMIN|3DUST|4RCR|5TLV|6DUR|7VULN|8DMG|9aMDPS
11	36462 23138	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1MBVNT|25RAT|35VULN|4TBNT|5BPWR|6DUR|7BEXP|8RCR|9CDMG|aMDPS
12	36462 27133	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1MBVNT|25RAT|35VULN|4TBNT|5BPWR|6DUR|7LWND|8RCR|9CDMG|aMDPS
13	36462 38133	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1MBVNT|25RAT|35VULN|4TBNT|5BPWR|6LWND|7DUR|8RCR|9CDMG|aMDPS
14	36462 24133	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1MBVNT|25RAT|35VULN|4TBNT|5BPWR|6DUR|7DUST|8RCR|9CDMG|aMDPS
15	36463 23133	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1MBVNT|2RAT|37VULN|4TBNT|5DUR|6FEWX|8RCR|9CDMG|aMDPS
16	36463 73133	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1MBVNT|2RAT|37VULN|4TBNT|5DUR|6DUST|8RCR|9CDMG|aMDPS
17	37214 11734	   	358.11	DCR|2MDPS|1VULN|1DUR	1MBVNT|2ZMB|3BELT|4RPLT|5VULN|6RCR|7DUR|8AAC|9aMDPS
