0	Index      	 *	Score 	Summary	Detail	
1	11266 22511	 * 	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1RCVC|2DUR|35VULN|4LHND|6DMG|7RCR|8TLV|9AAC|aMDPS
2	11266 22521	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1RCVC|2DUR|35VULN|4LHND|6DMG|7RCR|8TLV|9RMIN|aMDPS
3	11266 22134	   	364.96	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RCVC|2DUR|35VULN|4LHND|6DMG|7RCR|8CGEN|9AART|aMDPS
4	31326 42411	 * 	358.30	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	1CDMG|2FEWX|3SELL|49VULN|5ERES|6CGEN|7RCR|8DUR|aMDPS
5	11121 43254	 * 	358.15	DCR|DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1RCVC|2DUR|3ZMB|49VULN|5MDPS|68RCR|7DMG|aTLV
6	11266 42311	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1RCVC|2DUR|35VULN|4LHND|6CGEN|7RCR|8TLV|9AAC|aMDPS
7	11266 42321	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1RCVC|2DUR|35VULN|4LHND|6CGEN|7RCR|8TLV|9RMIN|aMDPS
8	11225 32424	 * 	355.08	DCR|1MDPS|1VULN|2DMG|1TLV|1DUR|1AART	1RCVC|2DUR|3VULN|46DMG|5FEWX|7RCR|8AART|9TLV|aMDPS
9	11266 22111	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1RCVC|2DUR|35VULN|4LHND|6DMG|7RCR|8CGEN|9AAC|aMDPS
10	11266 22121	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1RCVC|2DUR|35VULN|4LHND|6DMG|7RCR|8CGEN|9RMIN|aMDPS
11	11266 22631	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	19RCVC|2DUR|35VULN|4LHND|6DMG|7RCR|8BEXP|aMDPS
12	22426 22411	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	13CGEN|2FEWX|49VULN|5ERES|6DMG|7RCR|8DUR|aMDPS
13	11561 36123	 * 	351.14	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1RCVC|2DUR|3CDMG|4BOSS|5VULN|6RCR|7DMG|8ASPD|9TLV|aMDPS
14	22626 22411	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1CGEN|2FEWX|3AEFRZ|49VULN|5ERES|6DMG|7RCR|8DUR|aMDPS
15	36422 84844	   	351.04	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1CDMG|2MBVNT|3LIT|4DUR|5DMG|6LEGI|7RCR|8VULN|9TLV|aMDPS
16	61322 42135	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AETHUN|2ASPD|3DUST|49VULN|5DUR|6RCR|7MSLFST|8DMG|aMDPS
17	61322 43412	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	1AETHUN|2ASPD|3DUST|49VULN|5DUR|6RCR|7DMG|8MBVNT|aMDPS
18	21226 32111	 * 	350.05	DCR|1MDPS|1VULN|2DUR|1TLV|1DMG|1AART	15CGEN|25DUR|3AART|4RCVC|5BPWR|6RCR|7TLV|8DMG|9VULN|aMDPS
19	21236 32111	   	350.05	DCR|1MDPS|1VULN|2DUR|1TLV|1DMG|1AART	145CGEN|25DUR|3AART|5BPWR|6RCR|7TLV|8DMG|9VULN|aMDPS
20	21416 32111	   	350.05	DCR|1MDPS|1VULN|2DUR|1TLV|1DMG|1AART	135CGEN|25DUR|4AART|5BPWR|6RCR|7TLV|8DMG|9VULN|aMDPS
21	41353 33146	 * 	349.43	2MDPS|2VULN|2DMG|1DUR	1TBNT|2LIT|38VULN|4MBVNT|57DMG|6DUR|9aMDPS
22	41363 33146	   	349.43	2MDPS|2VULN|2DMG|1DUR	1TBNT|2LIT|38VULN|47DMG|5MBVNT|6DUR|9aMDPS
