0	Index      	 *	Score 	Summary	Detail	
1	34222 21442	 * 	395.09	DCR|3VULN|1MDPS|1DMG|1DUR	156VULN|2LHND|3DUR|4AAC|7RCVC|8RCR|9DMG|aMDPS
2	31341 23626	 * 	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	13VULN|25ERES|4DUR|6CDMG|7RCR|8TLV|9RCVC|aMDPS
3	31342 23626	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	13VULN|2ERES|4DUR|5AEFBLL|6CDMG|7RCR|8TLV|9RCVC|aMDPS
4	32521 23441	 * 	384.55	DCR|2VULN|1MDPS|3DMG|1DUR	17VULN|2DUR|379DMG|4ERES|5AEPOI|67CGEN|7BPWR|8RCR|aMDPS
5	32243 15224	 * 	384.22	DCR|2MDPS|1VULN|2DUR|1AART|1SELL	1VULN|23DUR|4LIT|5RCVC|6RCR|7AART|8aMDPS|9SELL
6	32242 15224	 * 	384.12	DCR|2MDPS|1VULN|2DUR|1AART|1SELL	1VULN|23DUR|4LIT|5AEFBLL|6RCR|7AART|8aMDPS|9SELL
7	31344 26131	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	13VULN|2ERES|4DUR|5BBNT|6RCR|7CDMG|8DMG|9MDPS|aFEWX
8	31344 26132	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	13VULN|2ERES|4DUR|5BBNT|6RCR|7CDMG|8DMG|9MDPS|aTBNT
9	31344 26133	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	13VULN|2ERES|4DUR|5BBNT|6RCR|7CDMG|8DMG|9MDPS|aASPD
10	33251 51252	   	375.03	DCR|3VULN|1MDPS|1DUR	156VULN|2BEXP|3DUR|4RPLT|7RCR|8BELT|9LIT|aMDPS
11	33251 51262	   	375.03	DCR|3VULN|1MDPS|1DUR	156VULN|2BEXP|3DUR|4RPLT|7RCR|8BELT|9BOSS|aMDPS
12	33251 51631	   	375.03	DCR|3VULN|1MDPS|1DUR	156VULN|2BEXP|3DUR|4RPLT|7RCR|8DMSP|9LHND|aMDPS
13	32351 51252	   	374.93	DCR|3VULN|1MDPS|1DUR	156VULN|2DUR|3DUST|4RPLT|7RCR|8BELT|9LIT|aMDPS
14	32351 51262	   	374.93	DCR|3VULN|1MDPS|1DUR	156VULN|2DUR|3DUST|4RPLT|7RCR|8BELT|9BOSS|aMDPS
15	32351 51631	   	374.93	DCR|3VULN|1MDPS|1DUR	156VULN|2DUR|3DUST|4RPLT|7RCR|8DMSP|9LHND|aMDPS
16	34222 21452	   	374.93	DCR|3VULN|1MDPS|1DUR	156VULN|2LHND|3DUR|4AAC|7RCVC|8RCR|9ASPD|aMDPS
17	34222 21462	   	374.93	DCR|3VULN|1MDPS|1DUR	156VULN|2LHND|3DUR|4AAC|7RCVC|8RCR|9ERES|aMDPS
18	36222 26235	   	374.93	DCR|3VULN|1MDPS|1DUR	156VULN|2FEWX|3DUR|4AAC|7CANARM|8LWND|9RCR|aMDPS
19	33251 51111	   	374.93	DCR|3VULN|1MDPS|1DUR	156VULN|2BEXP|3DUR|4RPLT|7RCR|8ERES|9AAC|aMDPS
20	33251 51611	   	374.93	DCR|3VULN|1MDPS|1DUR|1MSE	156VULN|2BEXP|3DUR|4RPLT|7RCR|8DMSP|9MSE|aMDPS
21	32351 51111	   	374.83	DCR|3VULN|1MDPS|1DUR	156VULN|2DUR|3DUST|4RPLT|7RCR|8ERES|9AAC|aMDPS
22	32351 51611	   	374.83	DCR|3VULN|1MDPS|1DUR|1MSE	156VULN|2DUR|3DUST|4RPLT|7RCR|8DMSP|9MSE|aMDPS
23	32143 15224	 * 	371.66	DCR|2MDPS|1VULN|1DUR|1AART|1SELL	1VULN|2DUR|3AEFRZ|4LIT|5RCVC|6RCR|7AART|8aMDPS|9SELL
24	32142 15224	 * 	371.56	DCR|2MDPS|1VULN|1DUR|1AART|1SELL	1VULN|2DUR|3AEFRZ|4LIT|5AEFBLL|6RCR|7AART|8aMDPS|9SELL
25	32626 32253	 * 	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR	14VULN|2DUR|3RAT|5DUST|67CDMG|8RCR|9BEXP|aMDPS
26	32451 13315	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	14VULN|24DUR|3BBNT|4BPWR|5DUST|6AME|7RCR|8MLV|9CDMG|aMDPS
27	32626 32243	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR|1MSE	14VULN|2DUR|3RAT|5DUST|67CDMG|8RCR|9MSE|aMDPS
28	32243 16226	 * 	370.47	DCR|2MDPS|1VULN|2DUR|1MSE	1VULN|23DUR|4LIT|5RCVC|6RCR|7aMDPS|8MSE|9TBNT
29	32242 16226	 * 	370.37	DCR|2MDPS|1VULN|2DUR|1MSE	1VULN|23DUR|4LIT|5AEFBLL|6RCR|7aMDPS|8MSE|9TBNT
30	33262 12323	   	369.76	DCR|2VULN|1MDPS|2DUR|1TLV|1SELL	18VULN|2BEXP|38DUR|48RAT|5TBNT|6RCR|7SELL|8BPWR|9TLV|aMDPS
31	33632 12323	   	369.76	DCR|2VULN|1MDPS|2DUR|1TLV|1SELL	18VULN|2BEXP|38RAT|48DUR|5TBNT|6RCR|7SELL|8BPWR|9TLV|aMDPS
32	36632 12323	   	369.76	DCR|2VULN|1MDPS|2DUR|1TLV|1SELL	18VULN|2FEWX|38RAT|48DUR|5TBNT|6RCR|7SELL|8BPWR|9TLV|aMDPS
33	32531 55223	 * 	368.73	DCR|1MDPS|1VULN|2DMG|1CDMG|1TLV|1DUR	1VULN|2DUR|38DMG|4TLV|5AETHUN|6RAT|7RCR|9CDMG|aMDPS
34	32531 55323	 * 	368.04	DCR|1MDPS|1VULN|2TLV|1CDMG|1DMG|1DUR	1VULN|2DUR|3DMG|48TLV|5AETHUN|6RAT|7RCR|9CDMG|aMDPS
35	32533 34243	 * 	366.29	DCR|3VULN|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8FEWX|9CGEN|aRCR
36	32533 34263	   	366.29	DCR|3VULN|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8FEWX|9MLV|aRCR
