0	Index      	 *	Score 	Summary	Detail	
1	21516 11336	 * 	387.48	DCR|3VULN|1MDPS|2DUR	139LIT|239VULN|39BPWR|47DUST|5ASPD|6RCR|89DUR|aMDPS
2	43132 25431	 * 	371.10	DCR|2VULN|1MDPS|2CDMG|1DUR	17CDMG|2LWND|35VULN|4LHND|6MLV|8RCR|9DUR|aMDPS
3	43112 25431	   	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR	17CDMG|2LWND|35VULN|4DUST|6MLV|8RCR|9DUR|aMDPS
4	33322 32521	 * 	362.63	ACR|3VULN|1MDPS|1CDMG|1DUR	18FEWX|2RCR|3LWND|489VULN|5CDMG|6DUR|78CGEN|8BPWR|aMDPS
5	33323 12521	   	362.63	ACR|3VULN|1MDPS|1CDMG|1DUR	18FEWX|2RCR|3LWND|489VULN|5DUR|6CDMG|78CGEN|8BPWR|aMDPS
6	21513 34214	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	13LIT|23VULN|3BPWR|4DUST|5LHND|6RCR|7CDMG|8DUR|9LWND|aMDPS
7	21523 34214	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	13LIT|23VULN|3BPWR|4LHND|5LEGI|6RCR|7CDMG|8DUR|9LWND|aMDPS
8	23221 33424	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1LIT|2LWND|39VULN|4DUR|5LHND|6RCR|7CDMG|8BEXP|aMDPS
9	21213 34214	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1LIT|23VULN|4DUST|5LHND|6RCR|7CDMG|8DUR|9LWND|aMDPS
10	21223 34214	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1LIT|23VULN|4LHND|5LEGI|6RCR|7CDMG|8DUR|9LWND|aMDPS
11	34336 53142	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2RAT|37VULN|4MBVNT|5CDMG|6LHND|8DUR|9RCR|aMDPS
12	46112 23351	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2BBNT|3LHND|47VULN|5RPLT|6RCR|8RMIN|9DUR|aMDPS
13	46114 11131	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2BBNT|3LHND|49VULN|5CGEN|6RCR|7BEXP|8DUR|aMDPS
14	46122 11131	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2BBNT|3LHND|4CGEN|59VULN|6RCR|7BEXP|8DUR|aMDPS
15	46111 11131	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2BBNT|3LHND|49VULN|5ERES|6RCR|7BEXP|8DUR|aMDPS
16	43132 34431	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2LWND|35VULN|4LHND|67ASPD|8RCR|9DUR|aMDPS
17	43112 34431	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2LWND|35VULN|4DUST|67ASPD|8RCR|9DUR|aMDPS
18	23221 32316	 * 	358.11	DCR|2MDPS|1VULN|1DUR	1LIT|2LWND|3VULN|4DUR|5LHND|6RCR|7RPLT|8aMDPS|9AEBURN
19	23221 32346	   	358.11	DCR|2MDPS|1VULN|1DUR	1LIT|2LWND|3VULN|4DUR|5LHND|6RCR|7RPLT|8aMDPS|9AEFRZ
20	23221 32356	   	358.11	DCR|2MDPS|1VULN|1DUR	1LIT|29LWND|3VULN|4DUR|5LHND|6RCR|7RPLT|8aMDPS
21	23221 32366	   	358.11	DCR|2MDPS|1VULN|1DUR	1LIT|2LWND|3VULN|4DUR|5LHND|6RCR|7RPLT|8aMDPS|9RCVC
