0	Index      	 *	Score 	Summary	Detail	
1	36524 32123	 * 	390.73	DCR|2MDPS|1VULN|2DUR|1DMG	1VULN|2BOSS|34DUR|5BEXP|6RAT|7RCR|8DMG|9aMDPS
2	31421 31622	 * 	387.48	DCR|3VULN|1MDPS|2DUR	158VULN|2AEPOI|38MLV|4LSRREG|6RAT|78DUR|8BPWR|9RCR|aMDPS
3	32421 31622	   	387.48	DCR|3VULN|1MDPS|2DUR	158VULN|2AEBURN|38MLV|4LSRREG|6RAT|78DUR|8BPWR|9RCR|aMDPS
4	35221 31622	   	387.38	DCR|3VULN|1MDPS|2DUR	158VULN|28ERES|3RCVC|4LSRREG|6RAT|78DUR|8BPWR|9RCR|aMDPS
5	36325 32123	   	378.18	DCR|2MDPS|1VULN|1DMG|1DUR	1VULN|2BOSS|3AEWIND|4BEXP|5DUR|6RAT|7RCR|8DMG|9aMDPS
6	31121 33153	 * 	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	14VULN|2AEPOI|3RAT|5DMG|6TBNT|7RCR|8DUR|9TLV|aMDPS
7	32121 33153	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	14VULN|2AEBURN|3RAT|5DMG|6TBNT|7RCR|8DUR|9TLV|aMDPS
8	31421 62622	   	375.03	DCR|3VULN|1MDPS|1DUR	158VULN|2AEPOI|38MLV|4LSRREG|6DUR|78RAT|8BPWR|9RCR|aMDPS
9	32421 62622	   	375.03	DCR|3VULN|1MDPS|1DUR	158VULN|2AEBURN|38MLV|4LSRREG|6DUR|78RAT|8BPWR|9RCR|aMDPS
10	35221 62622	   	374.93	DCR|3VULN|1MDPS|1DUR	158VULN|28ERES|3RCVC|4LSRREG|6DUR|78RAT|8BPWR|9RCR|aMDPS
11	31421 15352	   	374.83	DCR|3VULN|1MDPS|1DUR	156VULN|2AEPOI|3MLV|4LSRREG|7LIT|8RCR|9DUR|aMDPS
12	31421 16352	   	374.83	DCR|3VULN|1MDPS|1DUR	156VULN|2AEPOI|3MLV|4LSRREG|7BOSS|8RCR|9DUR|aMDPS
13	32421 15352	   	374.83	DCR|3VULN|1MDPS|1DUR	156VULN|2AEBURN|3MLV|4LSRREG|7LIT|8RCR|9DUR|aMDPS
14	32421 16352	   	374.83	DCR|3VULN|1MDPS|1DUR	156VULN|2AEBURN|3MLV|4LSRREG|7BOSS|8RCR|9DUR|aMDPS
15	35221 15352	   	374.83	DCR|3VULN|1MDPS|1DUR	156VULN|2ERES|3RCVC|4LSRREG|7LIT|8RCR|9DUR|aMDPS
16	35221 16352	   	374.83	DCR|3VULN|1MDPS|1DUR	156VULN|2ERES|3RCVC|4LSRREG|7BOSS|8RCR|9DUR|aMDPS
17	16662 11333	 * 	365.48	DCR|2MDPS|2VULN|1CDMG|1TLV|1DUR	1aMDPS|23VULN|4CDMG|57RAT|6RCR|8DUR|9TLV
18	16662 13333	   	365.38	DCR|2MDPS|2VULN|1CDMG|1TLV|1DUR	1aMDPS|23VULN|4CDMG|5RAT|6RCR|7AEPOI|8DUR|9TLV
19	16315 12633	 * 	365.38	DCR|2MDPS|2VULN|1CDMG|2AART|1DUR	1aMDPS|26VULN|3DUR|4CDMG|59AART|7RCR|8BELT
20	16315 12334	 * 	365.28	DCR|2MDPS|2VULN|1CDMG|2DUR|1AART	1aMDPS|26VULN|39DUR|4CDMG|5AART|7RCR|8ERES
21	34522 52313	   	363.76	DCR|2VULN|1MDPS|2DUR|1DMG	18VULN|2BEXP|36DUR|4RAT|5LIT|7RCR|9DMG|aMDPS
22	36523 32163	   	363.66	DCR|2VULN|1MDPS|2DUR|1DMG	19VULN|2BOSS|34DUR|5DUST|6RAT|7RCR|8DMG|aMDPS
