0	Index      	 *	Score 	Summary	Detail	
1	43251 23311	 * 	356.00	橙2双倍秒伤1易伤1暴击1伤害1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7伤害89双倍秒伤a易伤
2	43251 23312	   	356.00	橙2双倍秒伤1暴击1伤害1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7伤害89双倍秒伤a雷电减费
3	43251 23313	   	356.00	橙2双倍秒伤1暴击1伤害1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7伤害89双倍秒伤a攻速
4	43251 23314	   	356.00	橙2双倍秒伤1暴击1伤害1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7伤害89双倍秒伤a随机技能
5	43251 23315	   	356.00	橙2双倍秒伤1暴击1伤害1时间1全技能1挖怪	1时间2敌人爆炸3全技能4赏金塔5暴击6核7伤害89双倍秒伤a挖怪
6	46251 23311	   	355.90	橙2双倍秒伤1易伤1暴击1伤害1时间1全技能	1时间2挖尘3全技能4赏金塔5暴击6核7伤害89双倍秒伤a易伤
7	46251 23312	   	355.90	橙2双倍秒伤1暴击1伤害1时间1全技能	1时间2挖尘3全技能4赏金塔5暴击6核7伤害89双倍秒伤a雷电减费
8	46251 23313	   	355.90	橙2双倍秒伤1暴击1伤害1时间1全技能	1时间2挖尘3全技能4赏金塔5暴击6核7伤害89双倍秒伤a攻速
9	32236 32552	 * 	355.17	2双倍秒伤2易伤2等级1时间	1低血量敌人2双倍矿3随机矿46等级56易伤6序列升级7平台8时间9a双倍秒伤
10	41351 31413	 * 	343.70	橙2易伤1双倍秒伤2时间	19时间29掉矿3双倍矿4雷电5额外掉落6核7最后敌人89易伤9序列升级a双倍秒伤
11	41351 32413	   	343.70	橙2易伤1双倍秒伤2时间	19时间29掉矿3双倍矿4雷电5额外掉落6核7敌人爆炸89易伤9序列升级a双倍秒伤
12	41121 62224	   	343.50	橙2易伤1双倍秒伤2时间	17时间2掉矿3赏金邻近47易伤5随机矿67技能点7序列升级8核9最后敌人a双倍秒伤
13	42543 41235	 * 	339.18	2双倍秒伤2易伤1暴击1时间	1时间2双倍矿3加一47易伤5暴击6雷电8火球减费9a双倍秒伤
14	43251 22311	   	335.94	橙2双倍秒伤1易伤1暴击1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7技能89双倍秒伤a易伤
15	43251 22312	   	335.94	橙2双倍秒伤1暴击1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7技能89双倍秒伤a雷电减费
16	43251 22313	   	335.94	橙2双倍秒伤1暴击1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7技能89双倍秒伤a攻速
17	43251 22314	   	335.94	橙2双倍秒伤1暴击1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7技能89双倍秒伤a随机技能
18	43251 22315	   	335.94	橙2双倍秒伤1暴击1时间1全技能1挖怪	1时间2敌人爆炸3全技能4赏金塔5暴击6核7技能89双倍秒伤a挖怪
19	46251 22311	   	335.84	橙2双倍秒伤1易伤1暴击1时间1全技能	1时间2挖尘3全技能4赏金塔5暴击6核7技能89双倍秒伤a易伤
20	46251 22312	   	335.84	橙2双倍秒伤1暴击1时间1全技能	1时间2挖尘3全技能4赏金塔5暴击6核7技能89双倍秒伤a雷电减费
21	46251 22313	   	335.84	橙2双倍秒伤1暴击1时间1全技能	1时间2挖尘3全技能4赏金塔5暴击6核7技能89双倍秒伤a攻速
22	43251 26311	   	335.84	橙2双倍秒伤1易伤1暴击1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7攻速89双倍秒伤a易伤
23	43251 26312	   	335.84	橙2双倍秒伤1暴击1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7攻速89双倍秒伤a雷电减费
24	43251 26313	   	335.84	橙2双倍秒伤1暴击1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7a攻速89双倍秒伤
25	24221 31413	   	331.24	橙2易伤1双倍秒伤1时间	19技能点2双倍矿39雷电4时间5额外掉落6核7最后敌人89易伤9序列升级a双倍秒伤
26	24221 32413	   	331.24	橙2易伤1双倍秒伤1时间	19技能点2双倍矿39雷电4时间5额外掉落6核7敌人爆炸89易伤9序列升级a双倍秒伤
27	24321 31413	   	331.24	橙2易伤1双倍秒伤1时间	19技能点2双倍矿3头目4时间5额外掉落6核79最后敌人89易伤9序列升级a双倍秒伤
28	24321 32413	   	331.24	橙2易伤1双倍秒伤1时间	19技能点2双倍矿3头目4时间5额外掉落6核79敌人爆炸89易伤9序列升级a双倍秒伤
29	64221 31413	   	331.24	橙2易伤1双倍秒伤1时间	19掉矿2双倍矿39雷电4时间5额外掉落6核7最后敌人89易伤9序列升级a双倍秒伤
30	64221 32413	   	331.24	橙2易伤1双倍秒伤1时间	19掉矿2双倍矿39雷电4时间5额外掉落6核7敌人爆炸89易伤9序列升级a双倍秒伤
31	64321 31413	   	331.24	橙2易伤1双倍秒伤1时间	19掉矿2双倍矿3头目4时间5额外掉落6核79最后敌人89易伤9序列升级a双倍秒伤
32	64321 32413	   	331.24	橙2易伤1双倍秒伤1时间	19掉矿2双倍矿3头目4时间5额外掉落6核79敌人爆炸89易伤9序列升级a双倍秒伤
33	42544 52424	   	331.14	橙2易伤1双倍秒伤1时间	1时间2双倍矿3加一49易伤5随机技能6随机矿7核8额外掉落a双倍秒伤
34	21321 45224	   	331.04	橙2易伤1双倍秒伤1时间	1技能点2赏金塔3时间46易伤5随机矿7矿等8核9最后敌人a双倍秒伤
35	41121 43224	   	331.04	橙2易伤1双倍秒伤1时间	1时间2掉矿3赏金邻近46易伤5随机矿7金币生成8核9最后敌人a双倍秒伤
36	61321 43224	   	331.04	橙2易伤1双倍秒伤1时间	1掉矿2赏金塔3时间46易伤5随机矿7金币生成8核9最后敌人a双倍秒伤
37	43342 44355	   	331.04	橙2易伤1双倍秒伤1时间	1时间27敌人爆炸3加一4低血量敌人5技能点69易伤8核a双倍秒伤
38	21134 41224	   	330.94	橙2易伤1双倍秒伤1时间	19技能点2赏金塔39暴雪减费4时间57最后敌人69易伤8核9序列升级a双倍秒伤
39	21511 41224	   	330.94	橙2易伤1双倍秒伤1时间	1技能点2赏金塔36易伤4金币生成5时间7掉矿8核9最后敌人a双倍秒伤
