0	Index      	 *	Score 	Summary	Detail	
1	32125 34252	 * 	310.61	橙2雷电2矿等2易伤2伤害	18易伤2核弹3压碎对壮48矿等58伤害6全技能7核8序列升级9a雷电
2	36413 35313	 * 	296.67	橙2雷电2易伤1喷火对甲1矿等1攻速	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8矿等9平台a攻速
3	36413 35321	   	296.67	橙2雷电2易伤1喷火对甲1矿等1攻速	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8矿等9基地爆炸a攻速
4	36413 35331	   	296.67	橙2雷电2易伤1喷火对甲1矿等1攻速	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8矿等9最后敌人a攻速
5	13536 12253	 * 	287.94	橙2雷电2矿等2易伤3暴击	126暴击2a序列升级3平台4a雷电5敌人爆炸7a易伤8a矿等9核
6	32125 34251	   	286.71	橙2矿等1雷电2易伤2伤害	18易伤2核弹3压碎对壮48矿等58伤害6全技能7核8序列升级9雷电a策反
7	36413 35122	 * 	286.61	橙2雷电3易伤1喷火对甲1暴击	13a易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8多重对甲9暴击
8	36421 63231	 * 	284.66	橙3雷电3易伤2伤害	13a易伤235雷电3a序列升级4挖尘68a掉矿7a伤害9核
9	36413 35312	   	283.02	橙2雷电2易伤1喷火对甲1矿等	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8矿等9平台a敌人爆炸
10	36413 35323	   	283.02	橙2雷电2易伤1喷火对甲1矿等	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8矿等9基地爆炸a最后敌人
11	36413 35333	   	283.02	橙2雷电2易伤1喷火对甲1矿等	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8矿等9最后敌人a低血量敌人
12	36413 35132	   	282.92	橙2雷电2易伤1喷火对甲1矿等	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8多重对甲9矿等a最后敌人
13	36413 35311	   	282.92	橙2雷电2易伤1喷火对甲1矿等	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8矿等9平台a掉矿
14	36413 35131	   	282.82	橙2雷电2易伤1喷火对甲1矿等	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8多重对甲9矿等a掉矿
15	36413 35322	   	282.77	橙2雷电2易伤1喷火对甲1矿等1卖塔	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8矿等9基地爆炸a卖塔
16	36413 35332	   	282.77	橙2雷电2易伤1喷火对甲1矿等1卖塔	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8矿等9最后敌人a卖塔
17	36413 35133	   	282.67	橙2雷电2易伤1喷火对甲1矿等1卖塔	13易伤23雷电3序列升级4额外掉落5金币生成6核7喷火对甲8多重对甲9矿等a卖塔
18	32121 53641	 * 	282.53	橙3雷电2矿等2易伤	19易伤2核弹3压碎对壮49矿等5激光对绿6核7挖尘89a雷电9序列升级
