0	Index      	 *	Score 	Summary	Detail	
1	61136 24234	 * 	211.14	3VULN|3ASPD|1BASARM|2BEXP|1AART|1CDMG	139ASPD|239VULN|39BPWR|4LIT|5CDMG|69BEXP|7AART|8MBVNT|aBASARM
2	32364 43323	 * 	206.51	ACR|1BASARM|3CDMG|1DMG|1AART|1BEXP	146CDMG|2DUST|3LEGI|5RCR|7AART|8BASARM|9BEXP|aDMG
3	31133 41176	 * 	202.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1CDMG|2MBVNT|379BEXP|4SPLREG|5RCR|6ASPD|8LHND|aBASARM
4	31133 41246	   	202.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1CDMG|2MBVNT|379BEXP|4SPLREG|5RCR|6ASPD|8FEWX|aBASARM
5	31133 41416	   	202.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1CDMG|2MBVNT|378BEXP|4SPLREG|5RCR|6ASPD|9FEWX|aBASARM
6	31133 41476	   	202.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1CDMG|2MBVNT|378BEXP|4SPLREG|5RCR|6ASPD|9DUR|aBASARM
7	31133 41486	   	202.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1CDMG|2MBVNT|378BEXP|4SPLREG|5RCR|6ASPD|9LHND|aBASARM
8	31133 41546	   	202.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1CDMG|2MBVNT|379BEXP|4SPLREG|5RCR|6ASPD|8LWND|aBASARM
9	31133 81176	 * 	202.61	ACR|1BASARM|3BEXP|1DMG|1CDMG	1CDMG|2MBVNT|379BEXP|4SPLREG|5RCR|6DMG|8LHND|aBASARM
10	31133 81246	   	202.61	ACR|1BASARM|3BEXP|1DMG|1CDMG	1CDMG|2MBVNT|379BEXP|4SPLREG|5RCR|6DMG|8FEWX|aBASARM
11	31133 81416	   	202.61	ACR|1BASARM|3BEXP|1DMG|1CDMG	1CDMG|2MBVNT|378BEXP|4SPLREG|5RCR|6DMG|9FEWX|aBASARM
12	31133 81476	   	202.61	ACR|1BASARM|3BEXP|1DMG|1CDMG	1CDMG|2MBVNT|378BEXP|4SPLREG|5RCR|6DMG|9DUR|aBASARM
13	31133 81486	   	202.61	ACR|1BASARM|3BEXP|1DMG|1CDMG	1CDMG|2MBVNT|378BEXP|4SPLREG|5RCR|6DMG|9LHND|aBASARM
14	31133 81546	   	202.61	ACR|1BASARM|3BEXP|1DMG|1CDMG	1CDMG|2MBVNT|379BEXP|4SPLREG|5RCR|6DMG|8LWND|aBASARM
15	46121 14212	 * 	202.15	ACR|1BASARM|1VULN|2BEXP|1AART	1LHND|2AART|3DUR|4RCR|5VULN|67BEXP|8MDPS|9ZMB|aBASARM
16	46421 13212	   	202.15	ACR|1BASARM|1VULN|2BEXP|1AART	1LHND|2AART|36BEXP|4RCR|5VULN|7FEWX|8MDPS|9ZMB|aBASARM
17	46421 12212	   	202.05	ACR|1BASARM|1VULN|2BEXP|1AART	1LHND|2AART|36BEXP|4RCR|5VULN|7DUST|8MDPS|9ZMB|aBASARM
18	46362 22233	 * 	199.36	ACR|1BASARM|1AART|1ASPD|1BEXP|1CDMG	1LHND|2AART|3ASPD|4FEWX|5RCR|6LIT|7DUR|8BEXP|9BASARM|aCDMG
19	46421 23212	 * 	198.94	ACR|2VULN|1BASARM|1AART|1BEXP	1LHND|2AART|3BEXP|4RCR|56VULN|7FEWX|8MDPS|9ZMB|aBASARM
20	46421 22212	   	198.84	ACR|2VULN|1BASARM|1AART|1BEXP	1LHND|2AART|3BEXP|4RCR|56VULN|7DUST|8MDPS|9ZMB|aBASARM
21	46422 22331	   	198.81	ACR|1BASARM|1AART|1DMG|1BEXP|1AAC	1LHND|2AART|3BEXP|4RCR|5MDPS|6RMIN|7AEMAG|8BASARM|9DMG|aAAC
22	62363 61213	 * 	196.36	DCR|3VULN|1BASARM|2DMG|1ASPD	1ASPD|24SNIFST|347VULN|4BPWR|5BASARM|69DMG|8RMIN|aRCR
23	62363 61113	   	196.26	DCR|3VULN|1BASARM|2DMG|1ASPD	1ASPD|24SNIFST|347VULN|4BPWR|5BASARM|69DMG|8AME|aRCR
24	31142 53544	 * 	195.20	ACR|1BASARM|3BEXP|3CDMG	178CDMG|2MBVNT|367BEXP|478LIT|5RCR|78BPWR|9ERES|aBASARM
25	31133 41624	 * 	194.91	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	1CDMG|2MBVNT|37BEXP|4SPLREG|5RCR|68ASPD|9VULN|aAART
26	46122 23412	 * 	194.72	ACR|1BASARM|1VULN|1AART|1ASPD	1LHND|2AART|3DUR|4RCR|5MDPS|6RMIN|7ASPD|8VULN|9ZMB|aBASARM
27	33624 13315	   	194.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2AME|3BEXP|4RMIN|5RCR|6LHND|7AART|8DUR|9DMG|aBASARM
28	33624 23315	   	194.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1CDMG|2AME|3BEXP|4RMIN|5RCR|6LWND|7AART|8DUR|9DMG|aBASARM
29	31142 13586	   	193.27	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1CDMG|2MBVNT|3BEXP|4LIT|5RCR|6FEWX|7VULN|8ERES|9ASPD|aBASARM
30	31142 23586	   	193.27	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1CDMG|2MBVNT|3BEXP|4LIT|5RCR|6LWND|7VULN|8ERES|9ASPD|aBASARM
31	31142 43586	   	193.27	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1CDMG|2MBVNT|3BEXP|4LIT|5RCR|6LHND|7VULN|8ERES|9ASPD|aBASARM
32	33634 13116	   	193.27	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1CDMG|2AME|3BEXP|4ASPD|5RCR|6LHND|7VULN|8NUKE|9LWND|aBASARM
33	33634 12263	 * 	193.11	ACR|2DMG|2BEXP|3CDMG|1ASPD	18aCDMG|2AME|3aBEXP|4ASPD|5RCR|6LHND|7MBVNT|9aDMG|aBPWR
34	32364 43333	   	192.86	ACR|1BASARM|3CDMG|1DMG|1AART	146CDMG|2DUST|3LEGI|5RCR|7AART|8BASARM|9LWND|aDMG
35	46312 43122	 * 	192.81	1BASARM|2ASPD|2BEXP|1AART|1DMG|1VULN|1CDMG	14LHND|2AART|34ASPD|4BPWR|58BEXP|6CDMG|7DMG|9BASARM|aVULN
36	46323 61122	   	192.71	1BASARM|2ASPD|2BEXP|1AART|1DMG|1VULN|1CDMG	1LHND|2AART|37ASPD|48BEXP|5DMG|6CDMG|9BASARM|aVULN
37	33334 41312	 * 	191.79	ACR|2ASPD|1VULN|1DMG|2CDMG|1BEXP	16CDMG|2AME|3DUST|48ASPD|5RCR|7VULN|9DMG|aBEXP
38	46122 53223	 * 	191.52	ACR|2AART|2BEXP|1ASPD|1DMG	1LHND|29AART|3DUR|4RCR|5MDPS|6ASPD|7DMG|8aBEXP
39	46122 51311	   	190.61	ACR|1BASARM|1AART|1ASPD|1BEXP	1LHND|2AART|3DUR|4RCR|5MDPS|6ASPD|7FEWX|8BASARM|9ZMB|aBEXP
40	46122 51322	   	190.61	ACR|1BASARM|1AART|1ASPD|1CDMG	1LHND|2AART|3DUR|4RCR|5MDPS|6ASPD|7FEWX|8BASARM|9BELT|aCDMG
41	46423 33313	   	190.61	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|5LEGI|6LWND|7DMG|8BASARM|9aZMB
42	46423 33331	   	190.61	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|5LEGI|69LWND|7DMG|8BASARM|aDUR
43	46423 33332	   	190.61	ACR|1BASARM|1AART|1DMG|1BEXP	1aLHND|2AART|3BEXP|4RCR|5LEGI|69LWND|7DMG|8BASARM
44	32364 41212	 * 	190.56	ACR|1BASARM|3CDMG|1VULN|1AART	146CDMG|2DUST|3LEGI|5RCR|7LHND|8VULN|9AART|aBASARM
45	32364 12212	   	190.56	ACR|1BASARM|3CDMG|1VULN|1AART	147CDMG|2DUST|3LEGI|5RCR|6LHND|8VULN|9AART|aBASARM
46	32364 22212	   	190.56	ACR|1BASARM|3CDMG|1VULN|1AART	147CDMG|2DUST|3LEGI|5RCR|6LWND|8VULN|9AART|aBASARM
