0	Index      	 *	Score 	Summary	Detail	
1	16222 62135	 * 	218.83	ACR|1BASARM|2AART|1VULN|1DMG|1BEXP	1MSLREG|26LWND|39AART|4BEXP|5RCR|7VULN|8BASARM|aDMG
2	16222 62115	 * 	215.00	ACR|1BASARM|2VULN|1AART|1DMG|1BEXP	1MSLREG|26LWND|3AART|4BEXP|5RCR|79VULN|8BASARM|aDMG
3	16222 13541	 * 	213.09	ACR|1BASARM|2BEXP|1AART|1ASPD|1CDMG	1MSLREG|2LWND|3AART|48BEXP|5RCR|6CDMG|7ASPD|9BASARM|aZMB
4	16222 13543	   	213.09	ACR|1BASARM|2BEXP|1AART|1ASPD|1CDMG	1MSLREG|2LWND|3AART|48BEXP|5RCR|6CDMG|7ASPD|9BASARM|aFEWX
5	16222 13542	   	212.99	ACR|1BASARM|2BEXP|1AART|1ASPD|1CDMG	1MSLREG|2LWND|3AART|48BEXP|5RCR|6CDMG|7ASPD|9BASARM|aDUST
6	16222 62132	 * 	211.39	ACR|1BASARM|2VULN|2AART|1BEXP	1MSLREG|26LWND|39AART|4BEXP|5RCR|7aVULN|8BASARM
7	65162 33231	 * 	206.93	ACR|2ASPD|2DMG|1VULN|1AART|1AAC	18AEMAG|2VULN|3AART|48LIT|5RCR|6AAC|78ASPD|8BPWR|9aDMG
8	16222 13141	 * 	204.57	ACR|1BASARM|1AART|1ASPD|2CDMG|1BEXP	1MSLREG|2LWND|3AART|4BEXP|5RCR|68CDMG|7ASPD|9BASARM|aZMB
9	16222 13143	   	204.57	ACR|1BASARM|1AART|1ASPD|2CDMG|1BEXP	1MSLREG|2LWND|3AART|4BEXP|5RCR|68CDMG|7ASPD|9BASARM|aFEWX
10	16222 13146	   	204.57	ACR|1BASARM|1AART|1ASPD|2CDMG|1BEXP	1MSLREG|2LWND|3AART|4BEXP|5RCR|68CDMG|7ASPD|9BASARM|aLIT
11	16222 13142	   	204.47	ACR|1BASARM|1AART|1ASPD|2CDMG|1BEXP	1MSLREG|2LWND|3AART|4BEXP|5RCR|68CDMG|7ASPD|9BASARM|aDUST
12	16222 13144	   	204.47	ACR|1BASARM|1AART|1ASPD|2CDMG|1BEXP	1MSLREG|2LWND|3AART|4BEXP|5RCR|68CDMG|7ASPD|9BASARM|aAME
13	16222 13145	   	204.47	ACR|1BASARM|1AART|1ASPD|2CDMG|1BEXP	1MSLREG|2LWND|3AART|4BEXP|5RCR|68CDMG|7ASPD|9BASARM|aLEGI
14	16222 62112	 * 	200.95	ACR|1BASARM|3VULN|1AART|1BEXP	1MSLREG|26LWND|3AART|4BEXP|5RCR|79aVULN|8BASARM
15	16222 61141	   	198.26	ACR|1BASARM|1AART|1ASPD|1BEXP|1CDMG	1MSLREG|26LWND|3AART|4BEXP|5RCR|7CDMG|8ASPD|9BASARM|aZMB
16	16222 61143	   	198.26	ACR|1BASARM|1AART|1ASPD|1BEXP|1CDMG	1MSLREG|26LWND|3AART|4BEXP|5RCR|7CDMG|8ASPD|9BASARM|aFEWX
17	16222 61142	   	198.16	ACR|1BASARM|1AART|1ASPD|1BEXP|1CDMG	1MSLREG|26LWND|3AART|4BEXP|5RCR|7CDMG|8ASPD|9BASARM|aDUST
18	16222 62133	   	197.76	ACR|1BASARM|2AART|1VULN|1BEXP	1MSLREG|26LWND|39AART|4BEXP|5RCR|7VULN|8BASARM|aFEWX
19	16222 62136	   	197.76	ACR|1BASARM|2AART|1VULN|1BEXP	1MSLREG|26LWND|39AART|4BEXP|5RCR|7VULN|8BASARM|aBELT
20	16242 62132	   	197.74	ACR|1BASARM|2VULN|2AART	1MSLREG|26LWND|39AART|4LHND|5RCR|7aVULN|8BASARM
21	16222 62131	   	197.66	ACR|1BASARM|2AART|1VULN|1BEXP	1MSLREG|26LWND|39AART|4BEXP|5RCR|7VULN|8BASARM|aAME
22	16222 62125	   	196.66	ACR|1BASARM|2AART|1VULN|1BEXP	1MSLREG|26LWND|3aAART|4BEXP|5RCR|7VULN|8BASARM|9TLV
23	63253 22261	   	193.31	ACR|1BASARM|2BEXP|1AART|1CDMG	16AEMAG|2RPLT|36BEXP|4aRCVC|5RCR|6BPWR|7AART|8CDMG|9BASARM
24	16222 14133	   	193.03	ACR|1BASARM|2BEXP|1AART|1CDMG	1MSLREG|2LWND|3AART|49BEXP|5RCR|6CDMG|7DUR|8BELT|aBASARM
25	16242 11133	   	193.03	ACR|1BASARM|2BEXP|1AART|1CDMG	1MSLREG|2LWND|3AART|4LHND|5RCR|6CDMG|79BEXP|8BELT|aBASARM
26	16222 62113	   	192.94	ACR|1BASARM|2VULN|1AART|1BEXP	1MSLREG|26LWND|3AART|4BEXP|5RCR|79VULN|8BASARM|aFEWX
27	16222 62116	   	192.94	ACR|1BASARM|2VULN|1AART|1BEXP	1MSLREG|26LWND|3AART|4BEXP|5RCR|79VULN|8BASARM|aBELT
28	16222 62111	   	192.84	ACR|1BASARM|2VULN|1AART|1BEXP	1MSLREG|26LWND|3AART|4BEXP|5RCR|79VULN|8BASARM|aAME
29	16222 11643	   	192.65	ACR|1BASARM|2AART|1CDMG|1BEXP	1MSLREG|2LWND|39AART|4BEXP|5RCR|6CDMG|7FEWX|8BELT|aBASARM
30	16222 14143	   	192.65	ACR|1BASARM|2AART|1CDMG|1BEXP	1MSLREG|2LWND|39AART|4BEXP|5RCR|6CDMG|7DUR|8BELT|aBASARM
31	63253 22262	   	192.14	ACR|1BASARM|2BEXP|1AART|1CDMG	16AEMAG|2RPLT|36BEXP|4RCVC|5RCR|6BPWR|7AART|8CDMG|9BASARM|aLIT
32	63253 22263	   	192.14	ACR|1BASARM|2BEXP|1AART|1CDMG	16AEMAG|2aRPLT|36BEXP|4RCVC|5RCR|6BPWR|7AART|8CDMG|9BASARM
33	16242 13141	   	190.92	ACR|1BASARM|1AART|1ASPD|2CDMG	1MSLREG|2LWND|3AART|4LHND|5RCR|68CDMG|7ASPD|9BASARM|aZMB
34	16242 13143	   	190.92	ACR|1BASARM|1AART|1ASPD|2CDMG	1MSLREG|2LWND|3AART|4LHND|5RCR|68CDMG|7ASPD|9BASARM|aFEWX
35	16242 13142	   	190.82	ACR|1BASARM|1AART|1ASPD|2CDMG	1MSLREG|2LWND|3AART|4LHND|5RCR|68CDMG|7ASPD|9BASARM|aDUST
