0	Index      	 *	Score 	Summary	Detail	
1	44212 21231	 * 	221.02	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9AART|aBEXP
2	44231 42333	 * 	219.14	ACR|2BASARM|1VULN|2BEXP|2CDMG	1VULN|2MDPS|3RCR|4aBEXP|5LIT|6ERES|7aBASARM|8FEWX|9aCDMG|aBPWR
3	44251 34431	 * 	210.12	ACR|2VULN|3DMG|1ASPD|1BEXP	14VULN|2MDPS|3RCR|4BPWR|5ASPD|6MBVNT|79aDMG|8BEXP
4	36136 51331	 * 	209.89	ACR|2DMG|1VULN|1ASPD|1BASICY|1AART	1TLV|2RCR|3AME|4ASPD|5VULN|6RPLT|79DMG|8AART|aBASICY
5	44212 33442	 * 	208.69	ACR|1BASARM|1VULN|1DMG|1BASICY|1BEXP	1VULN|2MDPS|3RCR|4BELT|5DMG|6BASICY|7DUR|8MBVNT|9BASARM|aBEXP
6	44212 14232	 * 	207.96	ACR|3VULN|2DMG|2AART	17aVULN|2MDPS|3RCR|4BELT|57DMG|67TLV|7BPWR|89AART
7	36136 51311	 * 	207.76	ACR|2AART|1VULN|1ASPD|1DMG|1BASICY	1TLV|2RCR|3AME|4ASPD|5VULN|6RPLT|7DMG|89AART|aBASICY
8	44231 42123	 * 	207.56	ACR|1BASARM|2VULN|1DMG|1BEXP|1AAC	1aVULN|2MDPS|3RCR|4BEXP|5LIT|6ERES|7BASARM|8AAC|9DMG
9	14212 22514	 * 	207.41	ACR|1BASARM|2DMG|1VULN|1BEXP	16LHND|2MDPS|3RCR|4BELT|56DMG|6BPWR|7VULN|8BEXP|9LIT|aBASARM
10	24212 22514	   	207.41	ACR|1BASARM|2DMG|1VULN|1BEXP	16DUR|2MDPS|3RCR|4BELT|56DMG|6BPWR|7VULN|8BEXP|9LIT|aBASARM
11	44212 21232	   	207.37	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9AART|aLIT
12	44212 21234	   	207.37	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9AART|aCGEN
13	44212 21236	   	207.37	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9AART|aRMIN
14	44212 21233	   	207.27	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9AART|aDUST
15	33635 13252	 * 	207.22	ACR|2VULN|3ASPD|2CDMG|1BEXP	18TLV|28CDMG|35VULN|4RCR|6ZMB|789ASPD|8BPWR|aBEXP
16	41433 13252	   	207.22	ACR|3ASPD|2VULN|2CDMG|1BEXP	18VULN|28TLV|35CDMG|4RCR|6ZMB|789ASPD|8BPWR|aBEXP
17	36432 63131	 * 	207.00	ACR|3BEXP|1ASPD|1DMG|1VULN|1CDMG	1TLV|2RCR|3CDMG|4MDPS|578BEXP|6DMG|9VULN|aASPD
18	36223 21165	 * 	206.76	ACR|2ASPD|2BEXP|1VULN|1AART|1AAC	19TLV|2RCR|3DUR|49ASPD|5AAC|6RMIN|7AART|89BEXP|9BPWR|aVULN
19	33634 63311	 * 	206.62	ACR|3ASPD|2AART|1VULN|1CDMG	1TLV|2CDMG|3VULN|4RCR|567ASPD|89AART|aMLV
20	33634 63312	   	206.62	ACR|3ASPD|2AART|1VULN|1CDMG	1TLV|2CDMG|3VULN|4RCR|567ASPD|89AART|aRMIN
21	33634 63313	   	206.62	ACR|3ASPD|2AART|1VULN|1CDMG	1TLV|2CDMG|3VULN|4RCR|567ASPD|89AART|aLHND
22	36153 23215	 * 	206.25	ACR|2VULN|1BASARM|1ASPD|1CDMG	16TLV|2RCR|3AME|4CDMG|56VULN|6BPWR|7ASPD|8LWND|9MLV|aBASARM
23	36153 23243	   	206.25	ACR|2VULN|1BASARM|1ASPD|1CDMG	16TLV|2RCR|3AME|4CDMG|56VULN|6BPWR|7ASPD|8LWND|9BASARM|aDUR
24	36153 23242	   	206.15	ACR|2VULN|1BASARM|1ASPD|1CDMG	16TLV|2RCR|3aAME|4CDMG|56VULN|6BPWR|7ASPD|8LWND|9BASARM
25	36153 23343	   	206.15	ACR|2VULN|1BASARM|1ASPD|1CDMG	16TLV|2RCR|3AME|4CDMG|56VULN|6BPWR|7ASPD|8LEGI|9BASARM|aDUR
26	36153 23342	   	206.05	ACR|2VULN|1BASARM|1ASPD|1CDMG	16TLV|2RCR|3aAME|4CDMG|56VULN|6BPWR|7ASPD|8LEGI|9BASARM
27	44212 36322	 * 	205.60	ACR|2VULN|2DMG|2BEXP|1BASICY	1aVULN|2MDPS|3RCR|4BELT|5aDMG|6BASICY|78BEXP|9aDUR|aBPWR
28	44212 36332	   	205.60	ACR|2VULN|2DMG|2BEXP|1BASICY	1aVULN|2MDPS|3RCR|4BELT|5aDMG|6BASICY|78BEXP|9aFEWX|aBPWR
29	44212 33362	   	205.60	ACR|2VULN|2DMG|2BEXP|1BASICY	1aVULN|2MDPS|3RCR|49BELT|5aDMG|6BASICY|7DUR|8aBEXP|aBPWR
30	44212 34322	   	205.60	ACR|2VULN|2DMG|2BEXP|1BASICY	1aVULN|2MDPS|3RCR|49BELT|5aDMG|6BASICY|7FEWX|8aBEXP|aBPWR
31	33633 13261	 * 	204.03	ACR|2ASPD|1VULN|3CDMG|1DMG|1BEXP	18TLV|258CDMG|3VULN|4RCR|6ZMB|78ASPD|8BPWR|9BEXP|aDMG
32	53633 13261	   	204.03	ACR|2ASPD|1VULN|3CDMG|1DMG|1BEXP	18AME|258CDMG|3VULN|4RCR|6ZMB|78ASPD|8BPWR|9BEXP|aDMG
33	44212 32336	   	203.44	ACR|1BASARM|1VULN|1DMG|1BASICY|1AAC	1VULN|2MDPS|3RCR|4BELT|5DMG|6BASICY|7RPLT|8AAC|9FEWX|aBASARM
34	44212 21251	   	203.37	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9BEXP|aRPLT
35	44212 21252	   	203.37	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6aLWND|7CDMG|8BASARM|9BEXP
36	44212 21253	   	203.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9BEXP|aLEGI
37	44212 35231	   	202.86	ACR|2AART|1VULN|1ASPD|1DMG|1BASICY	1VULN|2MDPS|3RCR|4BELT|5DMG|6BASICY|7aAART|8ASPD|9FEWX
38	44212 35212	   	202.06	ACR|1VULN|1ASPD|1DMG|1BASICY|1AART|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6BASICY|7AART|8ASPD|9LWND|aCDMG
39	36223 21161	   	201.65	ACR|2ASPD|2BEXP|1AART|1CDMG|1AAC	19TLV|2RCR|3DUR|49ASPD|5AAC|6RMIN|7AART|89BEXP|9BPWR|aCDMG
40	36133 23433	   	201.48	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1TLV|2RCR|3AME|4ASPD|5BEXP|6RMIN|7VULN|89DMG|aAART
41	44212 21225	   	201.35	ACR|1BASARM|2VULN|1DMG|1CDMG	1aVULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9FEWX
42	36133 42436	 * 	200.63	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	1TLV|2RCR|3AME|4ASPD|58BEXP|6MBVNT|7AART|9DMG|aVULN
43	33631 23154	   	200.08	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1TLV|2CDMG|3VULN|4RCR|5DLOT|6MDPS|7BASARM|8RCVC|9DMG|aBEXP
44	23434 33233	   	200.05	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG|1AAC	1DUR|2CGEN|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aAAC
45	33634 63112	 * 	200.01	ACR|3ASPD|1VULN|2BEXP|1CDMG	1TLV|2CDMG|3VULN|4RCR|567ASPD|8aBEXP|9FEWX
46	33634 63122	   	200.01	ACR|3ASPD|1VULN|2BEXP|1CDMG	1TLV|2CDMG|3VULN|4RCR|567ASPD|8aBEXP|9LHND
47	44211 21231	   	199.96	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1VULN|2MDPS|3RCR|4BELT|5RMIN|6LWND|7CDMG|8BASARM|9AART|aBEXP
