0	Index      	 *	Score 	Summary	Detail	
1	42412 26121	 * 	234.02	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	1MDPS|2RCR|3AART|48DMG|58VULN|6RMIN|78ASPD|8BPWR|9DUR|aBEXP
2	42416 22111	 * 	232.11	ACR|2VULN|2DMG|2AART|1ASPD|1CDMG	1MDPS|2RCR|37AART|49DMG|5CDMG|69VULN|89LIT|9BPWR|aASPD
3	42421 13141	 * 	228.69	ACR|1BASARM|1VULN|2AART|1DMG|1BEXP|1AAC	1MDPS|2RCR|38AART|4LWND|5BEXP|6VULN|7BASARM|9DMG|aAAC
4	23163 21415	 * 	224.76	ACR|3VULN|3ASPD|3CDMG	1RCVC|2AAC|3RCR|49aASPD|5ERES|69aCDMG|79aVULN|8MDPS|9aBPWR
5	42251 32122	 * 	221.51	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5FEWX|6BASARM|7CDMG|8AART|9BEXP|aASPD
6	42253 32122	   	221.51	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1CDMG	1MDPS|2RCR|3LHND|4VULN|5LWND|6BASARM|7CDMG|8AART|9BEXP|aASPD
7	42254 32122	   	221.51	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5DUR|6BASARM|7CDMG|8AART|9BEXP|aASPD
8	42421 13321	 * 	221.30	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	1MDPS|2RCR|3AART|4LWND|59BEXP|6VULN|7BASARM|8FLTARM|aDMG
9	42421 13324	 * 	221.30	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AART	1MDPS|2RCR|3AART|4LWND|59BEXP|6VULN|7BASARM|8FLTARM|aASPD
10	42421 13142	   	220.38	ACR|1BASARM|1VULN|2AART|1DMG|1BEXP	1MDPS|2RCR|38AART|4LWND|5BEXP|6VULN|7BASARM|9DMG|aLIT
11	42421 13143	   	220.38	ACR|1BASARM|1VULN|2AART|1DMG|1BEXP	1MDPS|2RCR|38AART|4LWND|5BEXP|6VULN|7BASARM|9DMG|aBELT
12	42412 26123	   	220.37	ACR|2VULN|2ASPD|2DMG|1AART	1MDPS|2RCR|3AART|48DMG|58VULN|6RMIN|78ASPD|8BPWR|9DUR|aLHND
13	64174 14412	 * 	220.36	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	1BEXP|2MBVNT|37ASPD|4RCR|5ERES|6LSRICY|8DMG|9BASARM|aVULN
14	64224 54412	   	220.36	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	1BEXP|2MBVNT|3VENICY|4RCR|5AME|67ASPD|8DMG|9BASARM|aVULN
