0	Index      	 *	Score 	Summary	Detail	
1	62321 25236	 * 	248.08	ACR|2VULN|3DMG|2AART|2CDMG|1AAC	19AART|27VULN|37CDMG|4RCR|57aDMG|6MDPS|7BPWR|8AAC
2	62321 11512	 * 	246.00	ACR|2VULN|2DMG|2BEXP|1AART|1ASPD|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8aBEXP|9ASPD
3	62321 12311	 * 	245.31	ACR|2VULN|2ASPD|2DMG|1AART|1CDMG|1AAC	1AART|2aVULN|3CDMG|4RCR|5aDMG|6MLV|7TLV|8AAC|9aASPD|aBPWR
4	62321 33113	 * 	245.09	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9RPLT|aASPD
5	62321 33126	   	245.09	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9LIT|aASPD
6	62325 33115	   	245.09	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9RPLT|aDMG
7	62325 33126	   	245.09	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9LIT|aDMG
8	32272 53328	 * 	245.02	ACR|2BASARM|2DMG|2BEXP|1AART|1AAC	1AAC|2MBVNT|3AART|4RCR|5MDPS|6aBEXP|7LHND|8aDMG|9aBASARM|aBPWR
9	62321 25231	   	244.07	ACR|2VULN|2AART|2DMG|2CDMG|1BEXP|1AAC	19AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|8AAC|aBEXP
10	62321 23331	 * 	243.56	ACR|3VULN|3DMG|3CDMG|1AART	1AART|289VULN|389CDMG|4RCR|589DMG|6MDPS|7RPLT|89BPWR|aFEWX
11	62321 23332	   	243.56	ACR|3VULN|3DMG|3CDMG|1AART	1AART|289VULN|389CDMG|4RCR|589DMG|6MDPS|7aRPLT|89BPWR
12	62321 23333	   	243.56	ACR|3VULN|3DMG|3CDMG|1AART	1AART|289VULN|389CDMG|4RCR|589DMG|6MDPS|7RPLT|89BPWR|aLWND
13	62321 23334	   	243.56	ACR|3VULN|3DMG|3CDMG|1AART	1AART|289VULN|389CDMG|4RCR|589DMG|6MDPS|7RPLT|89BPWR|aDMSP
14	62325 23331	 * 	243.56	ACR|3VULN|3ASPD|3CDMG|1AART	1AART|289VULN|389CDMG|4RCR|589ASPD|6MDPS|7RPLT|89BPWR|aFEWX
15	62325 23332	   	243.56	ACR|3VULN|3ASPD|3CDMG|1AART	1AART|289VULN|389CDMG|4RCR|589ASPD|6MDPS|7aRPLT|89BPWR
16	62325 23333	   	243.56	ACR|3VULN|3ASPD|3CDMG|1AART	1AART|289VULN|389CDMG|4RCR|589ASPD|6MDPS|7RPLT|89BPWR|aLWND
17	62325 23334	   	243.56	ACR|3VULN|3ASPD|3CDMG|1AART	1AART|289VULN|389CDMG|4RCR|589ASPD|6MDPS|7RPLT|89BPWR|aDMSP
18	62321 33115	 * 	242.61	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5aDMG|6BEXP|7ERES|8BASARM|9RPLT
19	62325 33113	 * 	242.61	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5aASPD|6BEXP|7ERES|8BASARM|9RPLT
20	15241 22244	 * 	241.01	ACR|3VULN|3ASPD|3DMG	16aVULN|2LIT|39aASPD|4RCR|58aDMG|7MBVNT|aBPWR
21	32272 57344	 * 	240.41	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART|1AAC	1AAC|2MBVNT|3AART|4RCR|5MDPS|6aBEXP|7VULN|8aDMG|9aASPD|aBPWR
22	62321 25311	 * 	239.28	ACR|2VULN|2DMG|1AART|1ASPD|2CDMG|1BEXP	1AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|8DLOT|9BEXP|aASPD
23	62321 33133	 * 	239.26	ACR|1BASARM|2VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2aVULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9RCVC
24	62325 33133	 * 	239.26	ACR|1BASARM|2VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2aVULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9RCVC
25	62321 33164	 * 	238.76	ACR|1BASARM|1VULN|2BEXP|1AART|1DMG|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6aBEXP|7ERES|8BASARM|9MSLREG
26	32277 16331	 * 	237.63	ACR|3VULN|3ASPD|1AART|1DMG|1AAC	1AAC|2MBVNT|3AART|4RCR|589ASPD|689VULN|7MDPS|89BPWR|aDMG
27	62321 25622	 * 	237.12	ACR|3VULN|2AART|2DMG|2CDMG	18AART|279VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|aFEWX
28	62321 25621	   	237.02	ACR|3VULN|2AART|2DMG|2CDMG	18AART|279VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|aMSLFST
29	32224 42376	 * 	236.97	ACR|1BASARM|2AART|2DMG|1VULN|1AAC	1AAC|2MBVNT|34AART|5RCR|6VULN|7DUST|89DMG|aBASARM
30	62321 25631	   	236.77	ACR|2VULN|2AART|2DMG|2CDMG|1BEXP	18AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|9BEXP|aRPLT
31	62321 25632	   	236.77	ACR|2VULN|2AART|2DMG|2CDMG|1BEXP	18AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|9BEXP|aLIT
32	62321 25611	   	236.67	ACR|2VULN|2AART|2DMG|2CDMG|1BEXP	18AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|9ERES|aBEXP
33	62321 25633	   	236.67	ACR|2VULN|2AART|2DMG|2CDMG|1BEXP	18AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|9BEXP|aAEFBLL
34	15241 21611	   	236.11	ACR|3VULN|3DMG|2ASPD|1BEXP	168VULN|2LIT|38ASPD|4RCR|578DMG|8BPWR|9BEXP|aDUR
35	15241 21613	   	236.11	ACR|3VULN|3DMG|2ASPD|1BEXP	168VULN|2LIT|38ASPD|4RCR|578DMG|8BPWR|9BEXP|aFEWX
36	15241 21612	   	236.01	ACR|3VULN|3DMG|2ASPD|1BEXP	168VULN|2LIT|38ASPD|4RCR|578DMG|8BPWR|9BEXP|aAME
37	62325 11361	   	235.07	ACR|2VULN|3ASPD|1AART|2CDMG|1BEXP	1AART|27VULN|39CDMG|4RCR|578ASPD|67MLV|7BPWR|aBEXP
38	62325 11512	   	235.06	ACR|2VULN|3ASPD|1AART|1BEXP|1CDMG|1AAC	1AART|27VULN|3CDMG|4RCR|579ASPD|67MLV|7BPWR|8BEXP|aAAC
39	62321 11311	 * 	234.97	ACR|2VULN|2DMG|2AART|1ASPD|1CDMG	1aAART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8ASPD|9RMIN
40	62325 25311	   	234.87	ACR|2VULN|3ASPD|1AART|2CDMG|1BEXP	1AART|27VULN|37CDMG|4RCR|57aASPD|6MDPS|7BPWR|8DLOT|9BEXP
41	62325 25221	 * 	234.03	ACR|2VULN|2ASPD|1AART|1DMG|2CDMG|1AAC	1AART|27VULN|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8AAC|9DMG|aRPLT
