0	Index      	 *	Score 	Summary	Detail	
1	42611 31326	 * 	310.52	DCR|3LIT|3VULN|1FLTARM|1DMG	18CGEN|289VULN|3FEWX|4FLTARM|578LIT|6RCR|8BPWR|aDMG
2	42611 36321	 * 	309.82	DCR|3LIT|4VULN|1FLTARM	178CGEN|2789VULN|3FEWX|4FLTARM|578LIT|6RCR|78BPWR|aGSSTOX
3	42611 36322	   	309.82	DCR|3LIT|4VULN|1FLTARM	178CGEN|2789VULN|3FEWX|4FLTARM|578LIT|6RCR|78BPWR|aRMIN
4	42611 36323	   	309.82	DCR|3LIT|4VULN|1FLTARM	178CGEN|2789VULN|3FEWX|4FLTARM|578LIT|6RCR|78BPWR|aLHND
5	42511 34323	 * 	302.88	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1CGEN|28VULN|3DUR|4FLTARM|5aLIT|6RCR|7DMG|9MLV
6	42611 32361	   	297.40	DCR|3LIT|3VULN|1FLTARM	18CGEN|278VULN|3FEWX|4FLTARM|58aLIT|6RCR|8BPWR|9ZMB
7	42611 32362	   	293.75	DCR|2LIT|3VULN|1FLTARM|1CDMG	18CGEN|278VULN|3FEWX|4FLTARM|58LIT|6RCR|8BPWR|9ZMB|aCDMG
8	42611 34311	   	293.03	DCR|2LIT|3VULN|1FLTARM|1DMG	1CGEN|289VULN|3FEWX|4FLTARM|5aLIT|6RCR|7DMG
9	42511 34311	   	292.93	DCR|2LIT|3VULN|1FLTARM|1DMG	1CGEN|289VULN|3DUR|4FLTARM|5aLIT|6RCR|7DMG
10	42611 32325	   	292.23	DCR|2LIT|4VULN|1FLTARM	18CGEN|278aVULN|3FEWX|4FLTARM|58LIT|6RCR|8BPWR|9NUKE
11	42231 36326	   	292.03	DCR|3LIT|4VULN|1DMG	178CGEN|2789VULN|3VENICY|4FEWX|578LIT|6RCR|78BPWR|aDMG
12	42611 31315	   	290.66	DCR|3LIT|3VULN|1FLTARM	18aCGEN|28aVULN|3FEWX|4FLTARM|578LIT|6RCR|8aBPWR|9aLHND
13	42611 36311	   	290.66	DCR|3LIT|3VULN|1FLTARM	178CGEN|278VULN|3FEWX|4FLTARM|578LIT|6RCR|78BPWR|9LHND|aLWND
14	42611 36313	   	290.66	DCR|3LIT|3VULN|1FLTARM	178aCGEN|278VULN|3FEWX|4FLTARM|578LIT|6RCR|78BPWR|9LHND
15	42611 31321	   	290.46	DCR|3LIT|3VULN|1FLTARM	18CGEN|289VULN|3FEWX|4FLTARM|578LIT|6RCR|8BPWR|aGSSTOX
16	42611 31322	   	290.46	DCR|3LIT|3VULN|1FLTARM	18CGEN|289VULN|3FEWX|4FLTARM|578LIT|6RCR|8BPWR|aRMIN
17	42611 31323	   	290.46	DCR|3LIT|3VULN|1FLTARM	18CGEN|289VULN|3FEWX|4FLTARM|578LIT|6RCR|8BPWR|aLHND
18	42611 32341	   	290.46	DCR|3LIT|3VULN|1FLTARM	18CGEN|278VULN|3FEWX|4FLTARM|58aLIT|6RCR|8BPWR|9RMIN
19	42611 31325	   	290.36	DCR|3LIT|3VULN|1FLTARM	18CGEN|289VULN|3FEWX|4FLTARM|578LIT|6RCR|8BPWR|aLEGI
20	42611 32321	   	290.36	DCR|3LIT|3VULN|1FLTARM	18CGEN|278VULN|3FEWX|4FLTARM|58aLIT|6RCR|8BPWR|9NUKE
21	42611 32342	   	286.81	DCR|2LIT|3VULN|1FLTARM|1CDMG	18CGEN|278VULN|3FEWX|4FLTARM|58LIT|6RCR|8BPWR|9RMIN|aCDMG
22	42611 32322	   	286.71	DCR|2LIT|3VULN|1FLTARM|1CDMG	18CGEN|278VULN|3FEWX|4FLTARM|58LIT|6RCR|8BPWR|9NUKE|aCDMG
23	42611 31362	   	284.47	DCR|3LIT|2VULN|1FLTARM|1AART	18CGEN|28VULN|3FEWX|4FLTARM|578LIT|6RCR|8BPWR|9ERES|aAART
24	42511 34312	   	283.70	DCR|3VULN|1LIT|1FLTARM|1DMG|1CDMG	1CGEN|289VULN|3DUR|4FLTARM|5LIT|6RCR|7DMG|aCDMG
25	42611 34322	   	283.10	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1CGEN|28VULN|3FEWX|4FLTARM|5LIT|6RCR|7DMG|9MLV|aZMB
26	31411 31653	 * 	282.83	DCR|3LIT|2MLV|2VULN	19LHND|2BEXP|39MLV|4BLASTR|57aLIT|6RCR|89VULN|9BPWR
27	21411 31653	   	282.53	DCR|3LIT|2MLV|2VULN|2DUR	19DUR|2BEXP|39MLV|4BLASTR|57aLIT|6RCR|89VULN|9BPWR
28	42611 53321	 * 	282.47	DCR|2LIT|2VULN|1FLTARM|2ASPD|1DMG|1SELL	1CGEN|28VULN|3FEWX|4FLTARM|58LIT|6DMG|78ASPD|8BPWR|9SELL|aRCR
