0	Index      	 *	Score 	Summary	Detail	
1	23435 11325	 * 	303.46	DCR|3LIT|2MLV|2VULN|1CDMG	1aLWND|23MLV|48aLIT|5TLV|6RCR|7CDMG|9aVULN|aBPWR
2	15463 32113	 * 	301.76	DCR|2MLV|3VULN|1LIT|2DMG	18CGEN|258VULN|35MLV|4RPLT|58BPWR|6TLV|78DMG|9LIT|aRCR
3	23432 31325	 * 	291.25	ACR|3LIT|2MLV|2VULN|1DMG|1CDMG	1aLWND|23MLV|48aLIT|5RCR|6DMG|7CDMG|9aVULN|aBPWR
4	53432 31335	   	290.95	ACR|3LIT|2MLV|2VULN|1DMG|1CDMG	1aDUST|23MLV|48aLIT|5RCR|6DMG|7CDMG|9aVULN|aBPWR
5	13333 32464	 * 	287.36	ACR|2LIT|2MLV|2VULN|2DMG|1ASPD	1CGEN|2aLIT|35MLV|4RCR|6DUST|7aDMG|8ASPD|9aVULN|aBPWR
6	33333 32464	   	287.36	ACR|2LIT|2MLV|2VULN|2DMG|1ASPD	1TLV|2aLIT|35MLV|4RCR|6DUST|7aDMG|8ASPD|9aVULN|aBPWR
7	33326 26343	 * 	284.70	DCR|3LIT|3VULN|1MLV	19TLV|29aLIT|3MLV|4RMIN|5DUR|6RCR|789VULN|9BPWR
8	13324 36343	   	283.75	DCR|2LIT|3VULN|1MLV|1AART	19CGEN|29LIT|3MLV|4RMIN|5LHND|6RCR|789VULN|9BPWR|aAART
9	33324 36343	   	283.75	DCR|2LIT|3VULN|1MLV|1AART	19TLV|29LIT|3MLV|4RMIN|5LHND|6RCR|789VULN|9BPWR|aAART
10	22453 11325	 * 	282.78	DCR|2LIT|3MLV|2VULN|1CDMG	1aLWND|2RMIN|35aMLV|48LIT|6RCR|7CDMG|9aVULN|aBPWR
11	13353 11335	   	282.78	DCR|2LIT|3MLV|2VULN|1CDMG	1aCGEN|28LIT|35aMLV|4BEXP|6RCR|7CDMG|9aVULN|aBPWR
12	21453 11325	   	282.78	DCR|2LIT|3MLV|2VULN|1CDMG	1aLWND|2CGEN|35aMLV|48LIT|6RCR|7CDMG|9aVULN|aBPWR
13	33353 11335	   	282.78	DCR|2LIT|3MLV|2VULN|1CDMG	1aTLV|28LIT|35aMLV|4BEXP|6RCR|7CDMG|9aVULN|aBPWR
14	13355 11281	 * 	279.22	DCR|2LIT|2VULN|1FLTARM|1MLV	1CGEN|29LIT|3MLV|4BEXP|5MBVNT|67VULN|8RCR|aFLTARM
15	23155 11281	   	279.22	DCR|2LIT|2VULN|1FLTARM|1MLV	1LWND|2MLV|3CGEN|49LIT|5MBVNT|67VULN|8RCR|aFLTARM
16	33355 11281	   	279.22	DCR|2LIT|2VULN|1FLTARM|1MLV	1TLV|29LIT|3MLV|4BEXP|5MBVNT|67VULN|8RCR|aFLTARM
17	25326 26123	 * 	279.17	DCR|2MLV|1LIT|2VULN|1FLTARM|1DMG	19LWND|24RCVC|39MLV|5FLTARM|6LIT|7RCR|89VULN|9BPWR|aDMG
18	33332 11631	 * 	278.85	ACR|2LIT|3VULN|1FLTARM|1MLV	18TLV|28LIT|3MLV|4RCR|5FEWX|678VULN|8BPWR|9BEXP|aFLTARM
19	33332 11641	   	278.85	ACR|2LIT|3VULN|1FLTARM|1MLV	18TLV|28LIT|3MLV|4RCR|5FEWX|678VULN|8BPWR|9LHND|aFLTARM
20	33332 11651	   	278.75	ACR|2LIT|3VULN|1FLTARM|1MLV	18TLV|28LIT|3MLV|4RCR|5FEWX|678VULN|8BPWR|9LEGI|aFLTARM
21	23432 34423	 * 	277.89	ACR|2LIT|2MLV|3VULN|1DMG	1aLWND|23MLV|4aLIT|5RCR|6DMG|7SPLREG|89aVULN|aBPWR
22	33332 11654	 * 	277.66	ACR|3LIT|4VULN|1MLV	18aTLV|28aLIT|3MLV|4RCR|5FEWX|678aVULN|8aBPWR|9LEGI
23	13334 33426	   	277.56	ACR|3LIT|4VULN|1MLV	17CGEN|27aLIT|3MLV|4RCR|5MGNSTR|6789VULN|7BPWR
24	13342 11625	   	277.51	DCR|2LIT|2MLV|2VULN|1CDMG	18aCGEN|24LIT|3aMLV|5LWND|6RCR|7CDMG|9aVULN|aBPWR
25	13356 11335	   	277.51	DCR|2LIT|2MLV|2VULN|1CDMG	1aCGEN|28LIT|3aMLV|45BEXP|6RCR|7CDMG|9aVULN|aBPWR
26	23153 11325	   	277.51	DCR|2LIT|2MLV|2VULN|1CDMG	1aLWND|25MLV|3aCGEN|48LIT|6RCR|7CDMG|9aVULN|aBPWR
27	33356 11335	   	277.51	DCR|2LIT|2MLV|2VULN|1CDMG	1aTLV|28LIT|3aMLV|45BEXP|6RCR|7CDMG|9aVULN|aBPWR
28	13353 11333	   	277.21	DCR|2LIT|2MLV|2VULN|1CDMG	1CGEN|28LIT|35MLV|4BEXP|6RCR|7CDMG|9aVULN
29	33353 11333	   	277.21	DCR|2LIT|2MLV|2VULN|1CDMG	1TLV|28LIT|35MLV|4BEXP|6RCR|7CDMG|9aVULN
