0	Index      	 *	Score 	Summary	Detail	
1	12223 26661	 * 	293.35	DCR|5VULN|1LIT|1MLV|1DMG	1LHND|23456VULN|7MLV|8DMG|9LIT|aRCR
2	61233 41124	 * 	287.10	DCR|2LIT|2MLV|3VULN|1DUR	18MLV|2DUR|3TLV|459VULN|6aLIT|7RCR
3	12223 26411	   	286.94	DCR|5VULN|1LIT|1MLV|1ASPD	1LHND|23456VULN|7MLV|8LIT|9ASPD|aRCR
4	12142 41124	 * 	284.13	DCR|2LIT|2MLV|2VULN|1DMG	1LHND|29VULN|3DMG|48MLV|5RCVC|6aLIT|7RCR
5	32142 41124	   	284.13	DCR|2LIT|2MLV|2VULN|1DMG	1BEXP|29VULN|3DMG|48MLV|5RCVC|6aLIT|7RCR
6	63363 22263	   	283.01	DCR|2LIT|2MLV|2VULN|1ASPD|1CDMG	18MLV|2CDMG|38TLV|4ASPD|57VULN|68LIT|8BPWR|9RCR|aRCVC
7	61632 41123	 * 	282.88	DCR|2MLV|3VULN|1LIT|1DMG|1DUR	18MLV|2DUR|3DMG|49aVULN|5RCVC|6LIT|7RCR
8	63363 22262	   	282.86	DCR|2LIT|2MLV|2VULN|1ASPD|1CDMG	18MLV|2CDMG|38TLV|4ASPD|57VULN|68LIT|8BPWR|9RCR|aMBVNT
9	61233 41123	 * 	281.53	DCR|4VULN|2MLV|1LIT|1DUR	18MLV|2DUR|3TLV|459aVULN|6LIT|7RCR
10	12225 41131	   	279.15	DCR|2LIT|3VULN|1MLV|1ASPD	1LHND|234VULN|5BEXP|6aLIT|7RCR|8MLV|9ASPD
11	32221 41131	   	279.15	DCR|2LIT|3VULN|1MLV|1ASPD	1BEXP|234VULN|5LHND|6aLIT|7RCR|8MLV|9ASPD
12	42221 41131	   	279.05	DCR|2LIT|3VULN|1MLV|1ASPD	1DUST|234VULN|5LHND|6aLIT|7RCR|8MLV|9ASPD
13	42223 41131	   	279.05	DCR|2LIT|3VULN|1MLV|1ASPD	1DUST|234VULN|5BEXP|6aLIT|7RCR|8MLV|9ASPD
14	66223 33412	 * 	274.61	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1DUR	1MLV|2FEWX|3TLV|45VULN|6FLTARM|7DUR|8LIT|9RCR|aDMG
15	24313 12254	   	274.15	DCR|2LIT|2MLV|2VULN|1CDMG|1SELL	1RCVC|2MBVNT|3SELL|4aMLV|5aVULN|6CDMG|7RCR|8ERES|9aLIT|aBPWR
16	12223 26441	   	273.29	DCR|5VULN|1LIT|1MLV	1LHND|23456VULN|7MLV|8LIT|9TLV|aRCR
17	12223 56261	   	273.29	DCR|5VULN|1LIT|1MLV	1LHND|23458VULN|6CGEN|7LIT|9MLV|aRCR
18	12223 12261	   	273.19	DCR|5VULN|1LIT|1MLV	1LHND|23458VULN|6LIT|7ERES|9MLV|aRCR
19	12223 26421	   	273.19	DCR|5VULN|1LIT|1MLV	1LHND|23456VULN|7MLV|8LIT|9ERES|aRCR
20	12223 36261	   	273.19	DCR|5VULN|1LIT|1MLV	1LHND|23458VULN|6ERES|7LIT|9MLV|aRCR
21	66223 32412	   	270.76	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1MLV|2FEWX|3TLV|45VULN|6FLTARM|7LHND|8LIT|9RCR|aDMG
