0	Index      	 *	Score 	Summary	Detail	
1	25153 51343	 * 	295.77	橙橙3易伤2伤害	16伤害2赏金邻近3加一4额外掉落56a易伤6序列升级79核8攻速
2	25153 44543	   	278.08	橙橙3易伤1伤害	1伤害2赏金邻近3加一4额外掉落58a易伤6攻速79核
3	11122 11163	 * 	277.48	橙橙3易伤1等级	1低血量敌人235易伤4基地爆炸6金币生成7等级8a核9最后敌人
4	41122 11163	   	277.48	橙橙3易伤1等级	1最后敌人235易伤4基地爆炸6金币生成7等级8a核9低血量敌人
5	11122 11153	   	277.38	橙橙3易伤1等级	1低血量敌人235易伤4基地爆炸6金币生成7等级8a核9挖尘
6	11122 31163	   	277.38	橙橙3易伤1等级	1低血量敌人235易伤4基地爆炸6掉矿7等级8a核9最后敌人
7	41122 11153	   	277.38	橙橙3易伤1等级	1最后敌人235易伤4基地爆炸6金币生成7等级8a核9挖尘
8	41122 31163	   	277.38	橙橙3易伤1等级	1最后敌人235易伤4基地爆炸6掉矿7等级8a核9低血量敌人
9	11122 31153	   	277.28	橙橙3易伤1等级	1低血量敌人235易伤4基地爆炸6掉矿7等级8a核9挖尘
10	41122 31153	   	277.28	橙橙3易伤1等级	1最后敌人235易伤4基地爆炸6掉矿7等级8a核9挖尘
11	21162 51343	 * 	275.36	橙4易伤2伤害2时间1等级	19伤害29时间3敌人爆炸4掉矿5689易伤7核9序列升级a等级
12	21422 51342	   	275.36	橙4易伤2伤害2时间1等级	19伤害29时间3等级4挖尘5689易伤7核9序列升级a敌人爆炸
13	21422 51343	   	275.36	橙4易伤2伤害2时间1等级	19伤害29时间3等级4挖尘5689易伤7核9序列升级a雷电
14	21422 51341	   	275.26	橙4易伤2伤害2时间1等级	19伤害29时间3等级4挖尘5689易伤7核9序列升级a赏金塔
15	25153 51342	   	273.63	橙橙2易伤2伤害	16伤害2赏金邻近3加一4额外掉落56易伤6序列升级79核8攻速a双倍矿
16	25153 51344	   	273.63	橙橙2易伤2伤害	16伤害2赏金邻近3加一4额外掉落56易伤6序列升级79核8攻速a低血量敌人
17	25153 51341	   	273.53	橙橙2易伤2伤害	16伤害2赏金邻近3加一4额外掉落56易伤6序列升级79核8攻速a导弹对绿
18	21342 63343	 * 	266.49	橙橙2伤害1易伤2时间1核弹	15伤害25时间3双倍秒伤4赏金塔5序列升级6随机技能79核8核弹a易伤
