0	Index      	 *	Score 	Summary	Detail	
1	13623 43841	 * 	269.45	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|5TLV|68RCR|7CDMG|9ASPD|aVULN
2	21326 21265	 * 	262.79	ACR|DCR|2VULN|2TLV|2MSLTOX|1AAC	1AAC|29RCR|3aVULN|4BEXP|5aMSLTOX|6LHND|7LIT|8aTLV|aBPWR
3	13623 43814	 * 	254.40	DCR|DCR|2TLV|1DMG|1AART|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|59TLV|68RCR|7CDMG|aAART
4	13623 43844	 * 	252.96	DCR|DCR|1TLV|1DMG|1MLV|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|5TLV|68RCR|7CDMG|9ASPD|aMLV
5	13623 43843	 * 	251.01	DCR|DCR|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|5TLV|68RCR|7CDMG|9ASPD|aDUR
6	11123 43838	 * 	250.21	DCR|DCR|2DUR|1TLV|2ASPD|1CDMG|1SELL	1SELL|2aASPD|3aDUR|4MBVNT|5TLV|68RCR|7CDMG|9aRAT|aBPWR
7	23666 11112	 * 	248.90	DCR|DCR|1VULN|2DUR|1DMG|1AAC	1AAC|2DMG|3MBVNT|4VULN|5AIRARM|6RAT|79RCR|8aDUR
8	13623 43838	 * 	248.20	DCR|DCR|2DMG|1TLV|1CDMG|1SELL	1SELL|2aLWND|3aDMG|4MBVNT|5TLV|68RCR|7CDMG|9aRAT|aBPWR
9	21331 62153	 * 	247.43	ACR|DCR|2VULN|2DUR|3CDMG|1AAC	1AAC|2aRCR|39VULN|469CDMG|5RAT|7DUST|89DUR|9BPWR
10	11123 43876	 * 	246.55	DCR|DCR|1TLV|1MLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|5TLV|68RCR|7CDMG|9LHND|aMLV
11	11123 43866	 * 	246.45	DCR|DCR|1TLV|1MLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|5TLV|68RCR|7CDMG|9DUST|aMLV
12	33253 33333	 * 	246.27	DCR|2VULN|2DUR|1TLV|1DMG|1MSLTOX|1CDMG	1LWND|26DUR|34VULN|5TLV|7DMG|8MSLTOX|9RCR|aCDMG
13	65233 33333	   	246.27	DCR|2VULN|2DUR|1TLV|1DMG|1MSLTOX|1CDMG	16DUR|23VULN|4LHND|5TLV|7DMG|8MSLTOX|9RCR|aCDMG
14	23331 23363	 * 	245.35	DCR|3VULN|2DMG|2DUR|1MLV|1AAC|1SELL	1AAC|28DMG|3SELL|4MLV|578VULN|68DUR|8BPWR|9DUST|aRCR
15	53331 23363	 * 	245.35	DCR|3VULN|2DMG|2DUR|1MLV|1SELL	1RMIN|28DMG|3SELL|4MLV|578VULN|68DUR|8BPWR|9DUST|aRCR
16	51621 51131	   	245.31	ACR|DCR|2VULN|2TLV|1AART	1RMIN|2aRCR|3BBNT|46VULN|5LHND|79TLV|8AART
17	65332 31272	 * 	245.30	DCR|3VULN|3DMG|2DUR|1SELL	1aDUR|27aVULN|3MBVNT|4TBNT|5SELL|6RCR|89aDMG|aBPWR
18	33532 52423	 * 	244.81	DCR|DCR|2MLV|2DUR|1DMG	1LWND|29DUR|3TBNT|47MLV|5DMG|6aRCR|8RAT
19	11123 43855	 * 	244.59	DCR|DCR|1TLV|1DUR|1AART|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|5TLV|68RCR|7CDMG|9RPLT|aAART
20	13623 43881	 * 	244.07	DCR|DCR|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|5TLV|68RCR|7CDMG|9DUR|aFEWX
21	13623 43882	 * 	244.07	DCR|DCR|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|5TLV|68RCR|7CDMG|9DUR|aLIT
22	13623 43883	 * 	244.07	DCR|DCR|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|5TLV|68RCR|7CDMG|9DUR|aRAT
23	33253 33332	 * 	244.06	DCR|2VULN|3DUR|1TLV|1DMG|1MSLTOX	1LWND|26aDUR|34VULN|5TLV|7DMG|8MSLTOX|9RCR
24	65233 33332	   	244.06	DCR|2VULN|3DUR|1TLV|1DMG|1MSLTOX	16aDUR|23VULN|4LHND|5TLV|7DMG|8MSLTOX|9RCR
25	13623 43884	 * 	243.97	DCR|DCR|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|5TLV|68RCR|7CDMG|9DUR|aLSRHEA
26	13623 43848	 * 	243.67	DCR|DCR|1TLV|1DMG|2CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|5TLV|68RCR|7aCDMG|9ASPD
27	13666 21111	 * 	243.50	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1SELL|2LWND|35DMG|457VULN|5BPWR|6RCVC|8TLV|9RCR|aDUR
28	11123 43883	 * 	243.40	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1SELL|2ASPD|39DUR|4MBVNT|5TLV|68RCR|7CDMG|aRMIN
29	11123 43884	 * 	243.40	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1SELL|2ASPD|39DUR|4MBVNT|5TLV|68RCR|7CDMG|aDMSP
30	11123 43885	 * 	243.40	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1SELL|2ASPD|39DUR|4MBVNT|5TLV|68RCR|7CDMG|aZMB
31	11123 43888	 * 	243.40	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1SELL|2ASPD|39DUR|4MBVNT|5TLV|68RCR|7CDMG|aBEXP
32	11123 43881	 * 	243.30	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1SELL|2ASPD|39DUR|4MBVNT|5TLV|68RCR|7CDMG|aAME
33	11123 43882	 * 	243.30	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1SELL|2ASPD|39DUR|4MBVNT|5TLV|68RCR|7CDMG|aMULHEA
34	11123 43886	 * 	243.30	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1SELL|2ASPD|39DUR|4MBVNT|5TLV|68RCR|7CDMG|aSPLJET
35	11123 43887	 * 	243.30	DCR|DCR|2DUR|1TLV|1CDMG|1SELL	1SELL|2ASPD|39DUR|4MBVNT|5TLV|68RCR|7CDMG|aBBNT
36	45223 23363	 * 	242.79	DCR|DCR|2VULN|1DUR	1BEXP|23VULN|47LIT|5DUR|6RMIN|8DMSP|9aRCR
37	65331 22217	   	242.59	DCR|DCR|2VULN|1DUR	1DUR|26VULN|3MBVNT|4TBNT|5CGEN|7LHND|8aRCR|9LIT
38	65331 24217	   	242.59	DCR|DCR|2VULN|1DUR	1DUR|26VULN|3MBVNT|4TBNT|5CGEN|7BEXP|8aRCR|9LIT
39	65331 23217	   	242.49	DCR|DCR|2VULN|1DUR	1DUR|26VULN|3MBVNT|4TBNT|5CGEN|7AETHUN|8aRCR|9LIT
40	23211 22126	 * 	241.54	DCR|DCR|2DMG|1TLV|1AAC	1AAC|23DMG|4ZMB|5LWND|6aRCR|7ASPD|8TLV|9MDPS
41	23214 22126	   	241.54	DCR|DCR|2DMG|1TLV|1AAC	1AAC|23DMG|4ZMB|5FEWX|6aRCR|7ASPD|8TLV|9MDPS
42	21313 74467	 * 	241.49	ACR|DCR|2VULN|2DUR|1DMG|1AAC	1AAC|2aRCR|37VULN|4MBVNT|57DUR|67LWND|7BPWR|8RMIN|9DMG
43	63662 21111	   	241.46	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	12aDUR|3CDMG|47VULN|5DMG|6RCVC|8TLV|9RCR
44	62133 23331	 * 	241.30	DCR|2DMG|2TLV|1VULN|2CDMG|1MLV|1DUR	1DUR|28DMG|3FEWX|4MLV|58TLV|6DUST|78CDMG|8BPWR|9RCR|aVULN
45	21313 44467	   	241.29	ACR|DCR|2VULN|2DUR|1DMG|1AAC	1AAC|2aRCR|37VULN|4MBVNT|57DUR|67DUST|7BPWR|8RMIN|9DMG
46	11123 43813	 * 	241.28	DCR|DCR|2TLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|59TLV|68RCR|7CDMG|aRMIN
47	11123 43814	 * 	241.28	DCR|DCR|2TLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|59TLV|68RCR|7CDMG|aDMSP
48	11123 43815	 * 	241.28	DCR|DCR|2TLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|59TLV|68RCR|7CDMG|aZMB
49	11123 43818	 * 	241.28	DCR|DCR|2TLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|59TLV|68RCR|7CDMG|aBEXP
50	11123 43851	 * 	241.28	DCR|DCR|2TLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|5aTLV|68RCR|7CDMG|9RPLT
51	11523 43814	 * 	241.28	DCR|DCR|2TLV|1AART|1CDMG|1SELL	1SELL|2ASPD|3LWND|4MBVNT|59TLV|68RCR|7CDMG|aAART
52	21313 44567	   	241.19	ACR|DCR|2VULN|2DUR|1DMG|1AAC	1AAC|2aRCR|37VULN|4MBVNT|57DUR|67DUST|7BPWR|8ERES|9DMG
53	11123 43811	 * 	241.18	DCR|DCR|2TLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|59TLV|68RCR|7CDMG|aAME
54	11123 43812	 * 	241.18	DCR|DCR|2TLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|59TLV|68RCR|7CDMG|aMULHEA
55	11123 43816	 * 	241.18	DCR|DCR|2TLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|59TLV|68RCR|7CDMG|aSPLJET
56	11123 43817	 * 	241.18	DCR|DCR|2TLV|1DUR|1CDMG|1SELL	1SELL|2ASPD|3DUR|4MBVNT|59TLV|68RCR|7CDMG|aBBNT
57	13623 43813	 * 	240.75	DCR|DCR|2TLV|1DMG|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|59TLV|68RCR|7CDMG|aRMIN
58	13623 43815	 * 	240.75	DCR|DCR|2TLV|1DMG|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|59TLV|68RCR|7CDMG|aZMB
59	13623 43818	 * 	240.75	DCR|DCR|2TLV|1DMG|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|59TLV|68RCR|7CDMG|aBEXP
60	13623 43851	 * 	240.75	DCR|DCR|2TLV|1DMG|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|5aTLV|68RCR|7CDMG|9RPLT
61	13623 43811	 * 	240.65	DCR|DCR|2TLV|1DMG|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|59TLV|68RCR|7CDMG|aAME
62	13623 43812	 * 	240.65	DCR|DCR|2TLV|1DMG|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|59TLV|68RCR|7CDMG|aMULHEA
63	13623 43816	 * 	240.65	DCR|DCR|2TLV|1DMG|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|59TLV|68RCR|7CDMG|aSPLJET
64	13623 43817	 * 	240.65	DCR|DCR|2TLV|1DMG|1CDMG|1SELL	1SELL|2LWND|3DMG|4MBVNT|59TLV|68RCR|7CDMG|aBBNT
65	23312 26332	   	240.51	DCR|DCR|1DMG|1MLV|1AAC|1DUR|1CDMG|1SELL	1AAC|2DMG|3SELL|4CDMG|5ZMB|68RCR|7ASPD|9MLV|aDUR
66	22123 34333	 * 	240.49	DCR|DCR|3DUR|1VULN|1AAC	1AAC|2LHND|3FEWX|456DUR|7aRCR|8RAT|9VULN
67	26123 64333	   	240.49	DCR|DCR|3DUR|1VULN|1AAC	1AAC|245DUR|3FEWX|6BEXP|7aRCR|8RAT|9VULN
68	26125 34333	   	240.49	DCR|DCR|3DUR|1VULN|1AAC	1AAC|246DUR|3FEWX|5LWND|7aRCR|8RAT|9VULN
69	26226 34333	   	240.49	DCR|DCR|3DUR|1VULN|1AAC	1AAC|246DUR|3LHND|5FEWX|7aRCR|8RAT|9VULN
70	31623 34333	   	240.49	DCR|DCR|3DUR|1VULN|1AAC	1LWND|2FEWX|3AAC|456DUR|7aRCR|8RAT|9VULN
71	33626 34333	   	240.49	DCR|DCR|3DUR|1VULN|1AAC	1LWND|246DUR|3AAC|5FEWX|7aRCR|8RAT|9VULN
72	41623 34333	   	240.49	DCR|DCR|3DUR|1VULN|1AAC	1BEXP|2FEWX|3AAC|456DUR|7aRCR|8RAT|9VULN
