0	Index      	 *	Score 	Summary	Detail	
1	13316 15131	 * 	293.02	ACR|DCR|4VULN|2TLV|2CDMG	137aVULN|23TLV|3BPWR|49RCR|5FLTHEA|68CDMG
2	16314 23116	 * 	282.93	ACR|DCR|2VULN|2MLV|1TLV|1DMG|1CDMG	12VULN|3aMLV|49RCR|5DMG|6MDPS|7CDMG|8TLV
3	13314 23116	 * 	280.98	ACR|DCR|2VULN|2TLV|1DMG|1MLV|1CDMG	13VULN|23TLV|3BPWR|49RCR|5DMG|6MDPS|7CDMG|8AME|aMLV
4	13316 15136	 * 	279.90	ACR|DCR|3VULN|2TLV|3CDMG	137VULN|23TLV|3BPWR|49RCR|5FLTHEA|68aCDMG
5	16316 15331	 * 	277.97	ACR|DCR|4VULN|2MLV|1CDMG	127aVULN|38MLV|49RCR|5FLTHEA|6CDMG
6	16162 34132	 * 	275.41	DCR|DCR|2VULN|1TLV|1DMG	12VULN|345LIT|6RMIN|79RCR|8DMG|aTLV
7	13316 15134	   	273.86	ACR|DCR|3VULN|2TLV|2CDMG	137VULN|23TLV|3BPWR|49RCR|5FLTHEA|68CDMG|aLIT
8	13316 16131	   	273.86	ACR|DCR|3VULN|2TLV|2CDMG	13aVULN|23TLV|3BPWR|49RCR|5FLTHEA|68CDMG|7RCVC
9	13316 15132	   	273.76	ACR|DCR|3VULN|2TLV|2CDMG	137VULN|23TLV|3BPWR|49RCR|5FLTHEA|68CDMG|aDUST
10	13316 15133	   	273.76	ACR|DCR|3VULN|2TLV|2CDMG	137VULN|23TLV|3BPWR|49RCR|5FLTHEA|68CDMG|aAEFRZ
11	13316 15135	   	273.76	ACR|DCR|3VULN|2TLV|2CDMG	137VULN|23TLV|3BPWR|49RCR|5FLTHEA|68CDMG|aBBNT
12	13316 12131	   	273.76	ACR|DCR|3VULN|2TLV|2CDMG	13aVULN|23TLV|3BPWR|49RCR|5FLTHEA|68CDMG|7AEWIND
13	13314 61313	 * 	272.03	ACR|DCR|2VULN|3TLV|1DMG|1CDMG	13VULN|238TLV|3BPWR|49RCR|5DMG|6CDMG|7CGEN|aRAT
14	13314 61315	   	272.03	ACR|DCR|2VULN|3TLV|1DMG|1CDMG	13VULN|238TLV|3BPWR|49RCR|5DMG|6CDMG|7aCGEN
15	13314 61316	   	272.03	ACR|DCR|2VULN|3TLV|1DMG|1CDMG	13VULN|238TLV|3BPWR|49RCR|5DMG|6CDMG|7CGEN|aZMB
16	16316 15131	   	271.99	ACR|DCR|4VULN|2CDMG|1MLV	127aVULN|3MLV|49RCR|5FLTHEA|68CDMG
17	13314 61311	   	271.93	ACR|DCR|2VULN|3TLV|1DMG|1CDMG	13VULN|238TLV|3BPWR|49RCR|5DMG|6CDMG|7CGEN|aBBNT
18	13314 61312	   	271.93	ACR|DCR|2VULN|3TLV|1DMG|1CDMG	13VULN|238TLV|3BPWR|49RCR|5DMG|6CDMG|7CGEN|aMBVNT
