0	Index      	 *	Score 	Summary	Detail	
1	21128 47534	 * 	285.50	DCR|DCR|2VULN|1MLV|1DUR|1AART|1CDMG	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9MLV|aCDMG
2	21128 47544	 * 	275.63	DCR|DCR|2VULN|2DUR|1AART	19DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|aASPD
3	21128 47531	   	271.85	DCR|DCR|2VULN|1MLV|1DUR|1AART	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9MLV|aRPLT
4	21128 47532	   	271.85	DCR|DCR|2VULN|1MLV|1DUR|1AART	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9MLV|aLHND
5	21128 47533	   	271.85	DCR|DCR|2VULN|1MLV|1DUR|1AART	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9MLV|aRAT
6	21128 47514	   	269.89	DCR|DCR|2VULN|1DUR|1AART|1CDMG|1AAC	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9AAC|aCDMG
7	21128 47511	   	269.79	DCR|DCR|2VULN|1DUR|1AART|1AAC	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9AAC|aRPLT
8	21128 47512	   	269.79	DCR|DCR|2VULN|1DUR|1AART|1AAC	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9AAC|aLWND
9	21128 47513	   	269.79	DCR|DCR|2VULN|1DUR|1AART|1AAC	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9AAC|aRAT
10	55132 21252	 * 	269.67	ACR|DCR|3VULN|1TLV|1FLTARM|1AAC	123VULN|4aRCR|5AAC|6FEWX|7FLTARM|8TLV|9ERES
11	21128 47542	   	268.69	DCR|DCR|2VULN|2DUR|1AART	19DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|aLHND
12	21128 47543	   	268.69	DCR|DCR|2VULN|2DUR|1AART	19DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|aRMIN
13	51411 61221	 * 	268.69	DCR|DCR|2VULN|1FLTARM|1AART	1aVULN|2AETHUN|3AART|4RMIN|5BBNT|69RCR|7FLTARM|8ERES
14	21128 47541	   	268.59	DCR|DCR|2VULN|2DUR|1AART	19DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|aBBNT
15	21128 47524	   	263.18	DCR|DCR|2VULN|1DUR|1AART	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9RCVC|aASPD
16	25123 15423	 * 	259.99	DCR|3VULN|2DMG|2DUR|1MSLTOX|1AART	17DUR|279VULN|3CGEN|4AART|5ZMB|67DMG|7BPWR|8MSLTOX|aRCR
17	25223 15423	   	259.89	DCR|3VULN|2DMG|2DUR|1MSLTOX|1AART	17DUR|279VULN|3AME|4AART|5ZMB|67DMG|7BPWR|8MSLTOX|aRCR
18	31432 21411	 * 	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1RAT|2TLV|3AEFBLL|4VULN|5DUR|69RCR|7FEWX|8RPLT|aMLV
19	31432 25411	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1RAT|2TLV|3AEFBLL|4VULN|5DUR|69RCR|7LWND|8RPLT|aMLV
20	55132 21632	   	257.11	ACR|DCR|3VULN|1FLTARM|1DUR|1AAC	123VULN|4aRCR|5AAC|6FEWX|7FLTARM|8DUR|9AEPOI
21	31161 13364	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1RAT|2TLV|3BEXP|4LIT|5DUR|6CDMG|7RPLT|89RCR|aVULN
22	21128 47522	   	256.24	DCR|DCR|2VULN|1DUR|1AART	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9RCVC|aLHND
23	21128 47523	   	256.24	DCR|DCR|2VULN|1DUR|1AART	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9RCVC|aRMIN
24	31432 23633	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	17RAT|2TLV|3AEFBLL|4VULN|5DUR|6aRCR|8LSRHEA|9AART
25	21128 47521	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1DUR|26AEWIND|36VULN|4MBVNT|5AART|6BPWR|78RCR|9RCVC|aBBNT
26	22226 61221	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1DUR|2BBNT|3RMIN|4AART|5aVULN|69RCR|7TSLFST|8ERES
27	23226 61221	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1DUR|2TBNT|3RMIN|4AART|5aVULN|69RCR|7TSLFST|8ERES
28	25121 61221	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1DUR|2aVULN|3CGEN|4AART|5BBNT|69RCR|7MSLFST|8ERES
29	25411 61221	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1DUR|2aVULN|3AART|4RMIN|5BBNT|69RCR|7TSLFST|8ERES
30	31432 26633	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1RAT|2TLV|3AEFBLL|4VULN|5DUR|6aRCR|7AEWIND|8LSRHEA|9AART
31	51411 61223	   	256.14	DCR|DCR|1VULN|1FLTARM|1DUR|1AART	1VULN|2AETHUN|3AART|4RMIN|5BBNT|69RCR|7FLTARM|8ERES|aDUR
32	25221 61221	   	256.04	DCR|DCR|2VULN|1AART|1DUR	1DUR|2aVULN|3AME|4AART|5BBNT|69RCR|7MSLFST|8ERES
