0	Index      	 *	Score 	Summary	Detail	
1	24123 16613	 * 	262.85	DCR|DCR|2VULN|1DMG|1DUR	1LWND|2DMG|3RAT|4ZMB|59VULN|6RPLT|7DUR|8aRCR
2	13145 21222	 * 	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1BOSS|2CGEN|36RCR|4ERES|5DMG|78VULN|9DUR|aTLV
3	13115 21234	 * 	255.01	ACR|DCR|3VULN|2DMG	1BOSS|2CGEN|36RCR|4RMIN|5aDMG|789VULN
4	15411 16312	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7DMG|8DUR|aLIT
5	15411 16311	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1MSE	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7DMG|8DUR|aMSE
6	15411 16313	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7DMG|8DUR|aMDPS
7	24123 11613	   	249.20	DCR|DCR|2VULN|1DMG	1LWND|2DMG|3RAT|4ZMB|59VULN|6RPLT|7LHND|8aRCR
8	12121 65521	   	249.00	DCR|DCR|2VULN|1DMG	1BOSS|29VULN|3DMG|4LIT|5AME|6RAT|7aRCR|8BBNT
9	13115 21647	   	246.62	ACR|DCR|2VULN|2DMG|1DUR	1BOSS|29CGEN|36RCR|4RMIN|59DMG|79VULN|8MBVNT|9BPWR|aDUR
10	15411 11115	   	245.44	DCR|DCR|1VULN|1DMG|1MLV	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7ASPD|8FEWX|aDMG
11	15611 13115	   	245.44	DCR|DCR|1VULN|1DMG|1MLV	1BOSS|2TBNT|3ASPD|4VULN|5LWND|69RCR|7MLV|8FEWX|aDMG
12	44251 31322	   	242.78	ACR|DCR|2VULN|1DMG|1AART|1CDMG	1aBEXP|2DMG|3aCGEN|4CDMG|58RCR|6FEWX|7aVULN|9AART|aBPWR
13	64251 31321	   	242.48	ACR|DCR|1VULN|1TLV|1DMG|1CDMG|1AAC	1DUST|2DMG|3CGEN|4CDMG|58RCR|6FEWX|7VULN|9TLV|aAAC
14	13145 21262	   	241.39	ACR|DCR|2VULN|1TLV|1DMG	1BOSS|2CGEN|36RCR|4ERES|5DMG|78VULN|9LHND|aTLV
15	13145 21226	 * 	241.29	ACR|DCR|2VULN|2DUR|1DMG	1BOSS|2CGEN|36RCR|4ERES|5DMG|78VULN|9aDUR
16	13145 21232	   	241.29	ACR|DCR|2VULN|1TLV|1DMG	1BOSS|2CGEN|36RCR|4ERES|5DMG|78VULN|9DUST|aTLV
17	15311 16116	 * 	240.49	DCR|DCR|2DMG|1VULN	1BOSS|2TBNT|3CGEN|4VULN|5LWND|69RCR|7aDMG|8FEWX
18	12633 16116	   	240.39	DCR|DCR|2DMG|1VULN	1BOSS|2VULN|3LWND|4BBNT|5AME|69RCR|7aDMG|8FEWX
19	52621 15232	 * 	240.12	DCR|3VULN|3DUR|2TLV	1AETHUN|27aVULN|3BASICY|49aDUR|5aTLV|6RCR|8TBNT|aBPWR
20	33212 62551	 * 	239.13	DCR|DCR|2TLV|1VULN|1SELL	1RPLT|2MDPS|37AEBURN|47FRZARM|5SELL|67TLV|7BPWR|89RCR|aVULN
21	15411 11612	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7ASPD|8DUR|aLIT
22	15611 13612	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2TBNT|3ASPD|4VULN|5LWND|69RCR|7MLV|8DUR|aLIT
23	22462 61113	 * 	238.95	DCR|2VULN|3DMG|2MLV|1DUR	1aLWND|2AETHUN|3aVULN|45MLV|6RCR|7DUR|89aDMG|aBPWR
24	15411 11611	   	238.93	DCR|DCR|1VULN|1MLV|1DUR|1MSE	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7ASPD|8DUR|aMSE
25	15411 11613	   	238.93	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7ASPD|8DUR|aMDPS
26	15611 13611	   	238.93	DCR|DCR|1VULN|1MLV|1DUR|1MSE	1BOSS|2TBNT|3ASPD|4VULN|5LWND|69RCR|7MLV|8DUR|aMSE
27	15611 13613	   	238.93	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2TBNT|3ASPD|4VULN|5LWND|69RCR|7MLV|8DUR|aMDPS
28	15411 16112	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7DMG|8FEWX|aLIT
29	15411 16111	   	238.40	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7DMG|8FEWX|aMSE
30	15411 16113	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1BOSS|2TBNT|3MLV|4VULN|5LWND|69RCR|7DMG|8FEWX|aMDPS
31	25134 32342	   	238.03	ACR|DCR|1VULN|1TLV|1MLV|1DUR|1AART	1LWND|2DUR|3AART|46RCR|5MLV|7AEBURN|8FRZICY|9TLV|aVULN
32	25141 32342	   	238.03	ACR|DCR|1VULN|1TLV|1MLV|1DUR|1AART	1LWND|2DUR|3AART|4MLV|56RCR|7AEBURN|8FRZICY|9TLV|aVULN
33	16452 21233	   	237.85	ACR|DCR|3VULN|1AART	1BOSS|2RCVC|36RCR|4ASPD|5DUST|789VULN|aAART
34	13115 21221	   	237.42	ACR|DCR|3VULN|1DMG	1BOSS|2CGEN|36RCR|4RMIN|5DMG|78aVULN|9LIT
35	13115 21236	   	237.42	ACR|DCR|3VULN|1DMG	1BOSS|2CGEN|36RCR|4RMIN|5DMG|789VULN|aFEWX
36	13115 21231	   	237.32	ACR|DCR|3VULN|1DMG	1BOSS|2CGEN|36RCR|4RMIN|5DMG|789VULN|aBLAICY
37	13115 21232	   	237.32	ACR|DCR|3VULN|1DMG	1BOSS|2CGEN|36RCR|4RMIN|5DMG|789VULN|aDUST
38	13115 21233	   	237.32	ACR|DCR|3VULN|1DMG	1BOSS|2CGEN|36RCR|4RMIN|5DMG|789VULN|aERES
39	15311 16312	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2TBNT|3CGEN|4VULN|5LWND|69RCR|7DMG|8DUR|aLIT
40	15311 16314	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2TBNT|3CGEN|4VULN|5LWND|69RCR|7DMG|8DUR|aFEWX
41	15311 16316	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2TBNT|3CGEN|4VULN|5LWND|69RCR|7DMG|8DUR|aLHND
42	12633 16312	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2VULN|3LWND|4BBNT|5AME|69RCR|7DMG|8DUR|aLIT
43	12633 16314	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2VULN|3LWND|4BBNT|5AME|69RCR|7DMG|8DUR|aFEWX
44	12633 16316	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2VULN|3LWND|4BBNT|5AME|69RCR|7DMG|8DUR|aLHND
45	15311 16311	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1MSE	1BOSS|2TBNT|3CGEN|4VULN|5LWND|69RCR|7DMG|8DUR|aMSE
46	15311 16313	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2TBNT|3CGEN|4VULN|5LWND|69RCR|7DMG|8DUR|aMDPS
47	15311 16315	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2TBNT|3CGEN|4VULN|5LWND|69RCR|7DMG|8DUR|aFRZFST
