0	Index      	 *	Score 	Summary	Detail	
1	64484 32344	 * 	293.99	DCR|DCR|2DMG|1VULN|1TLV|1DUR|1CDMG	1MBVNT|2TLV|34DMG|5CDMG|6VULN|7RPLT|8aRCR|9DUR
2	64484 22354	   	280.34	DCR|DCR|2DMG|1VULN|1TLV|1CDMG	1MBVNT|2TLV|34DMG|5CDMG|6LHND|7RPLT|8aRCR|9VULN
3	64484 32314	   	280.34	DCR|DCR|2DMG|1VULN|1TLV|1CDMG	1MBVNT|2TLV|34DMG|5CDMG|6VULN|7RPLT|8aRCR|9BEXP
4	23253 46123	 * 	276.30	DCR|DCR|2VULN|1DMG|1DUR|1CDMG	17VULN|2TSLFST|3CGEN|4DMG|5DUR|69RCR|8DUST|aCDMG
5	64824 32344	   	276.30	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1MBVNT|2TLV|3AEBURN|4DMG|5CDMG|6VULN|7RPLT|8aRCR|9DUR
6	22262 23163	 * 	275.11	DCR|DCR|2VULN|2DUR|1DMG	14VULN|2BBNT|3FEWX|5aDUR|6AETHUN|78RCR|9DMG
7	22662 33163	   	275.11	DCR|DCR|2VULN|2DUR|1DMG	14VULN|2BBNT|3DUST|5aDUR|6BEXP|78RCR|9DMG
8	22662 23163	   	275.01	DCR|DCR|2VULN|2DUR|1DMG	14VULN|2BBNT|3DUST|5aDUR|6AETHUN|78RCR|9DMG
9	22262 23162	   	269.59	DCR|DCR|2VULN|1DMG|1DUR	14VULN|2BBNT|3FEWX|5DUR|6AETHUN|78RCR|9DMG|aASPD
10	22662 33162	   	269.59	DCR|DCR|2VULN|1DMG|1DUR	14VULN|2BBNT|3DUST|5DUR|6BEXP|78RCR|9DMG|aASPD
11	22662 23162	   	269.49	DCR|DCR|2VULN|1DMG|1DUR	14VULN|2BBNT|3DUST|5DUR|6AETHUN|78RCR|9DMG|aASPD
12	26123 43123	 * 	268.79	DCR|DCR|2VULN|1TLV|1DUR	19VULN|2CGEN|3DUR|4LWND|5TBNT|6ERES|78RCR|aTLV
13	22331 43123	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	19VULN|2BBNT|3CGEN|4DUR|5AETHUN|6ERES|78RCR|aTLV
14	22662 23133	   	268.59	DCR|DCR|2VULN|1TLV|1DUR	14VULN|2BBNT|39DUST|5DUR|6AETHUN|78RCR|aTLV
15	62484 32344	   	267.79	DCR|DCR|2DMG|1VULN|1DUR|1CDMG	1MBVNT|2CGEN|34DMG|5CDMG|6VULN|7RPLT|8aRCR|9DUR
16	22262 23126	 * 	264.73	DCR|DCR|3VULN|1DUR	14aVULN|2BBNT|3FEWX|5DUR|6AETHUN|78RCR|9BEXP
17	22662 33126	   	264.73	DCR|DCR|3VULN|1DUR	14aVULN|2BBNT|3DUST|5DUR|6BEXP|78RCR|9FEWX
18	22262 23136	   	264.63	DCR|DCR|3VULN|1DUR	14aVULN|2BBNT|3FEWX|5DUR|6AETHUN|78RCR|9DUST
19	22662 23126	   	264.63	DCR|DCR|3VULN|1DUR	14aVULN|2BBNT|3DUST|5DUR|6AETHUN|78RCR|9FEWX
