0	Index      	 *	Score 	Summary	Detail	
1	14374 24347	 * 	266.05	DCR|4VULN|3TLV|3DUR	14aDUR|245aVULN|3MBVNT|4aBPWR|69aTLV|7RCR|8DMSP
2	51324 33248	 * 	264.53	DCR|DCR|3VULN|1AART	1DLOT|2FRZFST|346VULN|5MBVNT|7TBNT|8aRCR|9AART
3	14374 24436	   	259.59	DCR|4VULN|3DUR|2TLV	14aDUR|2459VULN|3MBVNT|4aBPWR|6aTLV|7RCR|8aLIT
4	16113 27234	 * 	255.95	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	18DUR|2SELL|38DMG|4TLV|5MBVNT|6LWND|78aVULN|8BPWR|9RCR
5	16113 67234	 * 	255.95	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	18DUR|2SELL|38DMG|4TLV|5MBVNT|6FEWX|78aVULN|8BPWR|9RCR
6	21235 16622	 * 	255.24	DCR|DCR|1VULN|1FLTARM|1TLV	12RMIN|3RPLT|4VULN|5BBNT|6TLV|7BEXP|89RCR|aFLTARM
7	14371 34213	 * 	255.14	DCR|DCR|2VULN|2DUR	14DUR|24VULN|3MBVNT|4BPWR|5CGEN|6TBNT|7LHND|8aRCR|9BELT
8	14371 36213	   	255.14	DCR|DCR|2VULN|2DUR	14DUR|24VULN|3MBVNT|4BPWR|5CGEN|6TBNT|7LWND|8aRCR|9BELT
9	21235 11622	   	255.14	DCR|DCR|1VULN|1FLTARM|1TLV	12RMIN|3RPLT|4VULN|5BBNT|6TLV|7DUST|89RCR|aFLTARM
10	14233 25622	   	255.04	DCR|DCR|2VULN|2DUR	18DUR|23VULN|4BBNT|5FEWX|6AETHUN|7aRCR|9BEXP
11	14375 41213	   	255.04	DCR|DCR|2VULN|2DUR	14DUR|24VULN|3MBVNT|4BPWR|5BBNT|6LWND|7ERES|8aRCR|9BELT
12	14376 41213	   	255.04	DCR|DCR|2VULN|2DUR	14DUR|24VULN|3MBVNT|4BPWR|5TBNT|6LWND|7ERES|8aRCR|9BELT
13	22433 13622	   	255.04	DCR|DCR|1VULN|1FLTARM|1TLV	1RMIN|2RPLT|3AEPOI|4TBNT|5DUST|6TLV|7VULN|89RCR|aFLTARM
14	22436 11622	   	255.04	DCR|DCR|1VULN|1FLTARM|1TLV	1RMIN|2RPLT|3AEPOI|4TBNT|5VULN|6TLV|7DUST|89RCR|aFLTARM
15	14375 21213	   	254.94	DCR|DCR|2VULN|2DUR	14DUR|24VULN|3MBVNT|4BPWR|5BBNT|6AETHUN|7ERES|8aRCR|9BELT
16	14376 21213	   	254.94	DCR|DCR|2VULN|2DUR	14DUR|24VULN|3MBVNT|4BPWR|5TBNT|6AETHUN|7ERES|8aRCR|9BELT
17	14374 24438	 * 	254.50	DCR|5VULN|2DUR|1TLV	14DUR|2459aVULN|3MBVNT|4BPWR|6TLV|7RCR|8LIT
18	14374 24432	   	253.21	DCR|4VULN|2DUR|1TLV|1MLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8LIT|aMLV
19	14374 24733	   	253.21	DCR|4VULN|2DUR|1TLV|1MLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8LWND|aMLV
20	14374 24151	   	251.16	DCR|4VULN|2DUR|1TLV|1CDMG	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8TBNT|aCDMG
21	14374 26214	   	251.16	DCR|4VULN|2DUR|1TLV|1CDMG	14DUR|2458VULN|3MBVNT|4BPWR|6TLV|7MDPS|9RCR|aCDMG
22	11351 26234	 * 	249.76	DCR|2VULN|2DMG|2DUR|1TLV|1MLV	18DUR|2RPLT|38DMG|4TLV|5RCVC|6LWND|78VULN|8BPWR|9RCR|aMLV
23	16113 27235	   	249.41	DCR|2VULN|2DMG|2DUR|1TLV|1MLV|1SELL	18DUR|2SELL|38DMG|4TLV|5MBVNT|6LWND|78VULN|8BPWR|9RCR|aMLV
24	14374 24434	   	249.05	DCR|4VULN|3DUR|1TLV	14aDUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8LIT
