0	Index      	 *	Score 	Summary	Detail	
1	51161 32242	 * 	290.89	DCR|DCR|3VULN|1TLV|1DUR|1SELL	146VULN|2FEWX|3BEXP|5SELL|79RCR|8DUR|aTLV
2	36426 23322	 * 	278.26	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1AAC	1VENFST|2DMG|3MDPS|4AAC|5DUR|67RCR|8VULN|9TLV|aMLV
3	53733 33116	 * 	275.60	DCR|3VULN|3MLV|2DUR|3CDMG|1DMG	178VULN|2MBVNT|36DUR|478MLV|578CDMG|78BPWR|9DMG|aRCR
4	36311 22332	 * 	275.31	DCR|DCR|2VULN|1TLV|1DMG	1VENFST|2DMG|3LWND|4LHND|58VULN|6BELT|79RCR|aTLV
5	46311 22332	   	275.31	DCR|DCR|2VULN|1TLV|1DMG	1LSRICY|2DMG|3LWND|4LHND|58VULN|6BELT|79RCR|aTLV
6	51633 24345	   	271.85	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1VULN|2FEWX|3DUR|4MLV|5CDMG|6MBVNT|7TSLARM|89RCR|aTLV
7	53133 34345	   	271.85	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3BEXP|4MLV|5CDMG|6DUR|7TSLARM|89RCR|aTLV
8	53133 36345	   	271.85	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3BEXP|4MLV|5CDMG|6DUR|7CANSTR|89RCR|aTLV
9	53633 34345	   	271.85	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3LHND|4MLV|5CDMG|6DUR|7TSLARM|89RCR|aTLV
10	53733 14345	   	271.85	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3DUR|4MLV|5CDMG|6FEWX|7TSLARM|89RCR|aTLV
11	51152 32242	   	268.75	DCR|DCR|2VULN|1TLV|1DUR|1SELL	16VULN|2FEWX|3BEXP|4SELL|5DMSP|79RCR|8DUR|aTLV
12	51153 32242	   	268.75	DCR|DCR|2VULN|1TLV|1DUR|1SELL	16VULN|2FEWX|35BEXP|4SELL|79RCR|8DUR|aTLV
13	21133 33115	 * 	266.79	DCR|DCR|2VULN|3DUR	1aFEWX|2BELT|38aDUR|4AME|5LWND|67RCR|9aVULN|aBPWR
14	35631 61343	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1VENFST|2VULN|3LWND|4MBVNT|5DUR|6CDMG|7MLV|89RCR|aDMG
15	53133 34343	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3BEXP|4MLV|5CDMG|6DUR|7TSLARM|89RCR|aDMG
16	53133 36343	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3BEXP|4MLV|5CDMG|6DUR|7CANSTR|89RCR|aDMG
17	53733 84343	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3DUR|4MLV|5CDMG|6SPLJET|7BEXP|89RCR|aDMG
18	53733 54343	   	265.61	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3DUR|4MLV|5CDMG|6DUST|7TSLARM|89RCR|aDMG
19	36311 22336	   	264.71	DCR|DCR|2VULN|1DMG|1MLV	1VENFST|2DMG|3LWND|4LHND|58VULN|6BELT|79RCR|aMLV
20	46311 22336	   	264.71	DCR|DCR|2VULN|1DMG|1MLV	1LSRICY|2DMG|3LWND|4LHND|58VULN|6BELT|79RCR|aMLV
21	51161 32241	 * 	264.69	DCR|DCR|3VULN|1DUR|1SELL	146VULN|2aFEWX|3BEXP|5SELL|79RCR|8DUR
22	51161 32243	 * 	264.59	DCR|DCR|3VULN|1DUR|1SELL	146VULN|2FEWX|3BEXP|5SELL|79RCR|8DUR|aAIRARM
23	36311 22335	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1VENFST|2DMG|3LWND|4LHND|58VULN|6BELT|79RCR|aDUR
24	46311 22335	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1LSRICY|2DMG|3LWND|4LHND|58VULN|6BELT|79RCR|aDUR
25	31161 22231	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1VENFST|2DUR|3LWND|4DMG|5aVULN|6BELT|79RCR|8TBNT
26	41161 22231	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1LSRICY|2DUR|3LWND|4DMG|5aVULN|6BELT|79RCR|8TBNT
27	36426 23321	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1VENFST|2DMG|3MDPS|4AAC|5DUR|67RCR|8VULN|9TLV|aFEWX
28	36426 23323	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1VENFST|2DMG|3MDPS|4AAC|5DUR|67RCR|8VULN|9TLV|aDUST
