0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22223 35636	8	 * 	271.10	橙3易伤3伤害1等级1时间	178最后敌人2随机矿378伤害4等级5金币生成678易伤78序列升级9时间a核
2	63842 73444	8	 * 	270.51	橙4易伤3伤害1全技能	19a掉矿2加一349a易伤5双倍矿6核7全技能89a伤害9a序列升级
3	21223 35642	8	 * 	268.25	橙4易伤3时间1等级	178最后敌人2立即金币378时间4等级5金币生成6789易伤78序列升级a核
4	12222 35615	8	   	265.87	橙3易伤3时间1等级1攻速1核弹1全技能	1核弹278掉矿378时间4等级5攻速678易伤78序列升级9全技能a核
5	12222 35625	9	   	265.87	橙3易伤3时间1等级1攻速1核弹1全技能	1核弹278掉矿378时间4等级5攻速678易伤78序列升级9全技能a核
6	56125 11311	10	 * 	261.65	橙3易伤2伤害2时间1卖塔	1卖塔2立即金币3a伤害4雷电5额外掉落68a易伤7核9a时间a序列升级
7	63833 53243	3	   	260.64	橙4易伤3伤害	1掉矿2加一359a易伤456伤害5序列升级7核8赏金邻近
8	63833 53313	3	   	260.64	橙4易伤3伤害	1掉矿2加一358a易伤456伤害5序列升级7核9赏金塔
9	63833 53333	3	   	260.64	橙4易伤3伤害	1掉矿2加一358a易伤456伤害5序列升级7核9赏金邻近
10	51321 53214	2	 * 	259.33	橙5易伤1等级1时间1卖塔	1卖塔24569易伤3时间7等级8敌人爆炸a核
11	64332 22336	1	   	259.25	橙4易伤1等级1时间1攻速	1掉矿2攻速3579易伤4等级6雷电8核a时间
12	51321 53314	2	 * 	259.23	橙5易伤1等级1时间1卖塔	1卖塔24569易伤3时间7等级8挖青a核
13	22231 52313	4	   	257.71	橙3易伤3伤害1攻速	19最后敌人2随机矿369伤害4攻速5雷电789易伤9序列升级a核
14	63814 44472	9	 * 	256.88	橙3易伤3暴击1伤害1时间1全技能	19a掉矿2加一39a易伤4时间5伤害6全技能7核89a暴击9a序列升级
15	63284 53312	5	 * 	255.68	橙2易伤3伤害2时间1暴击	1掉矿2加一356伤害45时间5序列升级7核8a易伤9暴击
16	63284 63312	6	   	255.68	橙2易伤3伤害2时间1暴击	1掉矿2加一356伤害45时间5序列升级7核8a易伤9暴击
17	63442 42837	3	 * 	255.25	橙5易伤1伤害	1掉矿2加一3雷电45679易伤8核a伤害
18	63442 42837	2	   	255.25	橙5易伤1伤害	1掉矿2加一3雷电45679易伤8核a伤害
19	63442 42837	4	   	255.25	橙5易伤1伤害	1掉矿2加一3雷电45679易伤8核a伤害
20	12221 35615	8	   	254.87	橙3易伤3时间1等级1核弹1全技能	1核弹278掉矿378时间4等级5策反678易伤78序列升级9全技能a核
21	12221 35625	9	   	254.87	橙3易伤3时间1等级1核弹1全技能	1核弹278掉矿378时间4等级5策反678易伤78序列升级9全技能a核
22	22223 35616	9	   	254.85	橙3易伤3伤害1等级	178最后敌人2随机矿378伤害4等级5金币生成678易伤78序列升级9基地爆炸a核
23	22223 35616	8	   	254.85	橙3易伤3伤害1等级	178最后敌人2随机矿378伤害4等级5金币生成678易伤78序列升级9基地爆炸a核
24	22223 35636	9	   	254.85	橙3易伤3伤害1等级	178最后敌人2随机矿378伤害4等级5金币生成678易伤78序列升级9敌人爆炸a核
25	63814 14632	8	   	254.85	橙3易伤2伤害1等级1时间	1掉矿2加一389易伤4时间56伤害7核a等级
26	16213 16362	10	 * 	254.66	橙2易伤3时间2伤害2雷电1核弹	1核弹25a时间3a伤害4低血量敌人67雷电8a易伤9核a序列升级
27	63833 53442	3	   	254.35	橙3易伤3伤害1等级	1掉矿2加一35a易伤456伤害5序列升级7核8敌人爆炸9等级
28	16226 35121	7	   	253.83	橙2易伤2伤害2时间1等级1攻速1核弹	1核弹27时间37伤害4等级5矿等67易伤7序列升级8攻速9核a平台
29	16226 35123	7	   	253.83	橙2易伤2伤害2时间1等级1攻速1核弹	1核弹27时间37伤害4等级5矿等67易伤7序列升级8攻速9核a敌人爆炸
30	16226 35122	7	   	253.73	橙2易伤2伤害2时间1等级1攻速1核弹	1核弹27时间37伤害4等级5矿等67易伤7序列升级8攻速9核a赏金塔
31	21112 31524	4	 * 	253.58	橙3易伤2伤害2时间	1a最后敌人2立即金币3额外掉落47时间5a伤害68a易伤9核a序列升级
32	21132 21524	7	   	253.58	橙3易伤2伤害2时间	1a最后敌人2立即金币3额外掉落45伤害68a易伤7a时间9核a序列升级
33	21132 25524	6	   	253.58	橙3易伤2伤害2时间	1a最后敌人2立即金币3额外掉落45伤害68a易伤7a时间9核a序列升级
34	21132 61524	5	   	253.58	橙3易伤2伤害2时间	1a最后敌人2立即金币3额外掉落45伤害6a时间78a易伤9核a序列升级
35	31622 31524	1	   	253.58	橙3易伤2伤害2时间	1a基地爆炸2立即金币3额外掉落47时间5a伤害68a易伤9核a序列升级
36	31622 31524	2	   	253.58	橙3易伤2伤害2时间	1a基地爆炸2立即金币3额外掉落47时间5a伤害68a易伤9核a序列升级
37	52233 43433	2	   	253.34	橙3易伤2伤害2时间1卖塔	1卖塔2a策反36伤害4随机矿56a易伤6a序列升级7赏金邻近8a时间9核
38	52333 43433	3	   	253.34	橙3易伤2伤害2时间1卖塔	1卖塔2a策反36伤害4随机矿56a易伤6a序列升级7赏金邻近8a时间9核
39	63814 14633	8	   	253.18	橙3易伤2伤害2时间	1掉矿2加一389易伤4a时间56伤害7核
40	34152 22336	2	 * 	252.06	橙4易伤2等级1时间	1基地爆炸23等级4579易伤6雷电8核a时间
