0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56313 23143	5	 * 	280.06	橙3易伤3时间3攻速1伤害	1随机矿2双倍物品3平台478易伤578攻速678时间78序列升级9伤害a核
2	15252 13433	10	 * 	277.98	橙5易伤2时间1伤害	1a掉矿2345a易伤6伤害7低血量敌人8核9a时间a序列升级
3	42252 13433	10	   	277.98	橙5易伤2时间1伤害	1345a易伤2a掉矿6伤害7低血量敌人8核9a时间a序列升级
4	41612 25312	10	 * 	276.89	橙3易伤2伤害2时间1暴击1全技能	178易伤2低血量敌人38时间4全技能58伤害6随机矿8序列升级9暴击a核
5	43534 13121	7	 * 	276.22	橙4易伤2伤害2时间	1789易伤27基地爆炸3敌人爆炸4a伤害57时间6核7序列升级
6	52247 42124	2	   	276.02	橙4易伤2伤害2时间	1随机矿2a时间3加一4掉矿5a伤害6核789a易伤a序列升级
7	46128 33134	5	 * 	272.12	橙4易伤3时间1攻速1全技能1卖塔	178a易伤2加一3卖塔4全技能578时间6核78序列升级9攻速
8	46425 24243	10	   	270.00	橙3易伤2伤害1等级1时间2雷电	15a易伤2加一3敌人爆炸4a雷电6核7时间8等级9a伤害a序列升级
9	46425 24244	9	   	270.00	橙3易伤2伤害1等级1时间2雷电	15a易伤2加一3敌人爆炸4a雷电6核7时间8等级9a伤害a序列升级
10	52247 42154	2	 * 	269.04	橙3易伤3伤害2时间	1随机矿2a时间3加一4掉矿59a伤害6核78a易伤a序列升级
11	41231 22836	1	   	268.94	橙3易伤3伤害2时间	15a易伤29掉矿3加一48a伤害6a时间7核a序列升级
12	42231 22836	2	   	268.94	橙3易伤3伤害2时间	15a易伤29掉矿3加一48a伤害6a时间7核a序列升级
13	41531 31111	4	   	268.41	橙4易伤1伤害1时间1等级	1589易伤2低血量敌人3等级4伤害6雷电7核a时间
14	44531 31111	4	   	268.31	橙4易伤1伤害1等级1时间	1589易伤2挖尘3等级4伤害6雷电7核a时间
15	42241 43223	9	 * 	267.85	橙4易伤3时间1等级	136a易伤2掉矿4等级568时间6序列升级7低血量敌人9核
16	52231 21124	4	   	267.03	橙3易伤2伤害2时间1暴击	1随机矿26时间359易伤47伤害8暴击a核
17	16531 21124	1	   	266.93	橙3易伤2伤害2时间1暴击	1掉矿26时间359易伤47伤害8暴击a核
18	26482 42724	4	 * 	266.81	橙3易伤3时间2伤害	139敌人爆炸2加一4a伤害59a时间6核79a易伤8赏金塔9a序列升级
19	41231 22136	1	   	266.51	橙3易伤3时间2伤害	15a易伤29掉矿3加一4a伤害68a时间7核a序列升级
20	42231 22136	2	   	266.51	橙3易伤3时间2伤害	15a易伤29掉矿3加一4a伤害68a时间7核a序列升级
21	46331 22136	3	   	266.51	橙3易伤3时间2伤害	15a易伤2加一39掉矿4a伤害68a时间7核a序列升级
22	46331 22136	4	   	266.51	橙3易伤3时间2伤害	15a易伤2加一39掉矿4a伤害68a时间7核a序列升级
23	46334 22136	6	   	266.51	橙3易伤3时间2伤害	16a易伤2加一39掉矿4a伤害58a时间7核a序列升级
24	15254 23333	8	   	266.12	橙5易伤2时间	18掉矿23467易伤56时间6序列升级9雷电a核
25	41612 21362	8	   	265.81	橙2易伤3时间2伤害1等级1全技能	18易伤2低血量敌人378时间4全技能58伤害6随机矿8序列升级9核a等级
26	46732 44344	2	   	265.71	橙4易伤1伤害1时间1暴击	134a易伤2加一5暴击6伤害7时间8核9雷电
27	52231 21156	7	 * 	265.62	橙3易伤2时间2等级1伤害1全技能	1随机矿2a时间36a易伤4伤害5基地爆炸7核8全技能9a等级a序列升级
28	52231 21256	8	   	265.62	橙3易伤2时间2等级1伤害1全技能	1随机矿2a时间36a易伤4伤害5基地爆炸7核8全技能9a等级a序列升级
29	43534 13312	9	   	265.47	橙3易伤3时间1伤害1等级	179易伤27基地爆炸3敌人爆炸4伤害578时间6核7序列升级a等级
30	15252 11513	8	 * 	264.73	橙5易伤2伤害	19掉矿23459易伤69伤害78双倍矿9序列升级a核
31	42252 11513	8	   	264.73	橙5易伤2伤害	13459易伤29掉矿69伤害78双倍矿9序列升级a核
