0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11332 31666	9	 * 	277.98	橙5易伤2时间3雷电	1立即金币24579易伤37时间678雷电7序列升级a核
2	31334 51235	8	 * 	276.40	橙4易伤2伤害1时间2雷电	19雷电2基地爆炸3双倍物品49伤害5789易伤6核9序列升级a时间
3	32413 53136	10	 * 	275.11	橙3易伤2伤害3雷电1等级1时间	124雷电346易伤46序列升级56伤害7敌人爆炸8时间9等级a核
4	11332 31526	10	 * 	273.49	橙4易伤2时间1伤害2雷电	1立即金币2457易伤37时间67雷电7序列升级8伤害9额外掉落a核
5	11332 31141	8	   	272.97	橙5易伤2时间2雷电	1立即金币24579易伤37时间67雷电7序列升级8低血量敌人a核
6	11332 31241	7	   	272.97	橙5易伤2时间2雷电	1立即金币24579易伤37时间67雷电7序列升级8低血量敌人a核
7	11332 31241	8	   	272.97	橙5易伤2时间2雷电	1立即金币24579易伤37时间67雷电7序列升级8敌人爆炸a核
8	45621 42434	1	   	272.54	橙4易伤2伤害1时间1攻速	18敌人爆炸2348易伤5加一6核78伤害8序列升级9时间a攻速
9	46621 42434	2	   	272.54	橙4易伤2伤害1时间1攻速	18敌人爆炸2348易伤5加一6核78伤害8序列升级9时间a攻速
10	11323 22146	10	 * 	271.86	橙4易伤3时间3等级	1立即金币2689易伤389时间4最后敌人5策反789等级89序列升级a核
11	45621 42423	1	   	271.20	橙4易伤2伤害1等级1全技能	18敌人爆炸2348易伤5加一6核78伤害8序列升级9全技能a等级
12	46621 42423	2	   	271.20	橙4易伤2伤害1等级1全技能	18敌人爆炸2348易伤5加一6核78伤害8序列升级9全技能a等级
13	31334 51236	8	   	271.15	橙4易伤2伤害2雷电1攻速	19雷电2基地爆炸3双倍物品49伤害5789易伤6核9序列升级a攻速
14	15332 22246	9	 * 	270.33	橙3易伤3时间2攻速1伤害	1立即金币24攻速347时间4序列升级5伤害68a易伤9核
15	11313 12631	9	 * 	270.06	橙4易伤3暴击3雷电1时间	1立即金币279a易伤3时间4随机矿59a暴击6核89a雷电9a序列升级
16	11332 21214	7	   	269.44	橙4易伤2时间1伤害1攻速	1立即金币2456易伤37时间8攻速9伤害a核
17	32454 21331	4	 * 	268.88	橙4易伤2攻速3雷电2暴击	12a雷电358a易伤45暴击5a序列升级6基地爆炸7a攻速9核
18	33224 65233	3	 * 	268.54	橙3易伤2伤害2时间2雷电	1a雷电26时间3立即金币46a易伤5额外掉落6a序列升级7随机矿8核9a伤害
19	33134 12131	9	 * 	266.70	橙2易伤3时间3攻速3雷电1暴击	19a雷电29a时间3暴击4双倍矿58易伤6核79a攻速9a序列升级
20	11332 31231	8	   	266.66	橙4易伤3时间2雷电	1立即金币2457易伤379时间67雷电7序列升级8敌人爆炸a核
21	11332 21244	7	   	265.63	橙4易伤2时间1等级1攻速	1立即金币2456易伤37时间8攻速9等级a核
22	33331 66532	3	 * 	265.27	橙3易伤3时间3雷电1等级	19a雷电29a时间3双倍物品4立即金币5等级6核7掉矿89a易伤9a序列升级
23	46321 42484	3	 * 	264.83	橙5易伤2伤害	138敌人爆炸2489a易伤5加一6核78伤害8序列升级
24	46331 42484	4	   	264.83	橙5易伤2伤害	138敌人爆炸2489a易伤5加一6核78伤害8序列升级
25	33223 51635	3	   	264.62	橙3易伤3时间1等级1攻速	1雷电259时间3立即金币458易伤5序列升级6等级7攻速a核
26	11336 24342	9	   	264.59	橙3易伤2伤害2时间1攻速	1立即金币249易伤39时间5攻速68基地爆炸79伤害9序列升级a核
27	32413 15336	7	   	264.49	橙3易伤3雷电1伤害1时间1暴击1全技能	124雷电347易伤4序列升级5伤害6全技能8暴击9核a时间
28	11336 63143	7	   	264.02	橙3易伤3时间2攻速1暴击	1立即金币247易伤379时间57攻速6额外掉落7序列升级8核a暴击
29	33463 33334	8	 * 	263.56	紫5易伤3时间2雷电1全技能	1a雷电28a时间3核4679a易伤5全技能a序列升级
30	33322 61223	3	   	263.32	橙3易伤2伤害1时间2雷电1全技能	18雷电2时间3双倍物品4赏金塔58伤害6全技能789易伤8序列升级a核
31	33362 61223	3	   	263.32	橙3易伤2伤害1时间2雷电1全技能	18雷电2时间3双倍物品4赏金邻近58伤害6全技能789易伤8序列升级a核
32	32452 21331	4	   	262.47	橙4易伤2攻速3雷电1暴击	12a雷电358a易伤4暴击6基地爆炸7a攻速9核a序列升级
33	32454 21331	5	   	262.47	橙4易伤2攻速3雷电1暴击	12a雷电358a易伤4暴击6基地爆炸7a攻速9核a序列升级
34	32413 51632	6	 * 	261.85	5易伤3伤害2时间3雷电1攻速	124雷电34689易伤468序列升级568伤害78时间a攻速
35	11321 45547	3	   	261.79	橙3易伤2伤害2时间	1立即金币24a易伤3a时间5加一6核7最后敌人8雷电9a伤害a序列升级
36	11331 45547	4	   	261.79	橙3易伤2伤害2时间	1立即金币24a易伤3a时间5加一6核7最后敌人8雷电9a伤害a序列升级
37	11313 36447	3	   	261.79	橙3易伤2伤害2时间	1立即金币25a易伤3a时间4最后敌人6雷电7核8加一9a伤害a序列升级
38	11323 36447	3	   	261.79	橙3易伤2伤害2时间	1立即金币24a易伤3a时间5最后敌人6雷电7核8加一9a伤害a序列升级
