0	Index      	 *	Score 	Summary	Detail	
1	12332 33222	 * 	254.62	ACR|DCR|3VULN|1MLV|1SELL	18LHND|2SELL|38LIT|4RMIN|57RCR|689VULN|8BPWR|aMLV
2	22312 33563	 * 	254.14	ACR|DCR|2VULN|1MLV|1ASPD|1DUR|1SELL	16VULN|2SELL|3LIT|4MLV|59RCR|7DUR|8LEGI|aASPD
3	16333 52212	 * 	251.16	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	12LHND|3LIT|4DMG|5ZMB|6ASPD|7AAC|8aRCR|9VULN
4	22312 33661	 * 	247.14	ACR|DCR|2VULN|1MLV|2DUR|1SELL	16VULN|2SELL|3LIT|4MLV|59RCR|7aDUR|8FEWX
5	62332 33223	 * 	245.39	ACR|DCR|3VULN|1DUR|1SELL	18LWND|2SELL|38LIT|4RMIN|57RCR|689VULN|8BPWR|aDUR
6	22332 23223	 * 	245.19	ACR|DCR|3VULN|1DUR|1SELL	189VULN|2SELL|38LIT|4RMIN|57RCR|68DUST|8BPWR|aDUR
7	23235 53333	 * 	245.05	DCR|3VULN|3MLV|3DUR	19aVULN|2MSLFST|39aDUR|4FEWX|5LHND|69aMLV|7RCR|8BBNT|9aBPWR
8	23161 23412	 * 	244.49	DCR|DCR|1VULN|1MLV|1AART	1VULN|2MSLFST|3AELOIC|4BELT|5AME|6MULARM|7aRCR|8MLV|9AART
9	22653 42483	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1VULN|2SELL|3BBNT|4MBVNT|5RPLT|6AME|7MLV|8MDPS|9aRCR
10	25133 33211	 * 	243.90	DCR|DCR|2VULN	19VULN|2LHND|38FEWX|46LIT|5RCVC|7aRCR
11	25133 33411	   	243.90	DCR|DCR|2VULN	19VULN|28LHND|3FEWX|46LIT|5RCVC|7aRCR
12	25134 33211	   	243.90	DCR|DCR|2VULN	19VULN|25LHND|38FEWX|46LIT|7aRCR
13	25134 33411	   	243.90	DCR|DCR|2VULN	19VULN|258LHND|3FEWX|46LIT|7aRCR
14	56214 33211	   	243.80	DCR|DCR|2VULN	1TLV|26LIT|38FEWX|49VULN|5ERES|7aRCR
15	13152 52222	   	243.23	DCR|DCR|1VULN|1MLV|1DUR	1LHND|2MGNSTR|3VULN|4DUR|5MLV|6TSLARM|7FEWX|8TSLFST|9aRCR
16	21142 54222	   	243.13	DCR|DCR|1VULN|1MLV|1DUR	1VULN|2LEGI|3FEWX|4VENFST|5MLV|6TSLARM|7DUR|8TSLFST|9aRCR
17	21552 52222	   	243.13	DCR|DCR|1VULN|1MLV|1DUR	1VULN|2LEGI|3BASICY|4DUR|5MLV|6TSLARM|7FEWX|8TSLFST|9aRCR
18	21342 54222	   	243.03	DCR|DCR|1VULN|1MLV|1DUR	1VULN|2LEGI|3DUST|4VENFST|5MLV|6TSLARM|7DUR|8TSLFST|9aRCR
19	12312 32164	 * 	241.94	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	1LHND|2SELL|3LIT|4MLV|5aRCR|67VULN|8CGEN|9RPLT
20	22312 34164	 * 	241.94	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	16VULN|2SELL|3LIT|4MLV|5aRCR|7FEWX|8CGEN|9RPLT
21	22312 35164	 * 	241.94	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	16VULN|2SELL|3LIT|4MLV|5aRCR|7LWND|8CGEN|9RPLT
22	62312 32164	 * 	241.94	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	1LWND|2SELL|3LIT|4MLV|5aRCR|67VULN|8CGEN|9RPLT
23	22312 22164	 * 	241.84	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	17VULN|2SELL|3LIT|4MLV|5aRCR|6DUST|8CGEN|9RPLT
24	22312 23463	 * 	241.84	ACR|DCR|2VULN|1MLV|1AART|1SELL	19VULN|2SELL|39LIT|4MLV|57RCR|6DUST|89FLTFST|9BPWR|aAART
25	22312 23464	 * 	241.84	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	19VULN|2SELL|39LIT|4MLV|57RCR|6DUST|89FLTFST|9BPWR|aRPLT
26	22312 36164	 * 	241.84	ACR|DCR|2VULN|1MLV|1RPLT|1SELL	16VULN|2SELL|3LIT|4MLV|5aRCR|7DUST|8CGEN|9RPLT
27	12312 33215	 * 	241.75	ACR|DCR|2MLV|1VULN|1DMG|1SELL	1LHND|2SELL|3LIT|4aMLV|57RCR|6VULN|8LWND|9DMG
28	62312 33315	 * 	241.75	ACR|DCR|2MLV|1VULN|1DMG|1SELL	1LWND|2SELL|3LIT|4aMLV|57RCR|6VULN|8BEXP|9DMG
29	22312 23346	 * 	241.74	ACR|DCR|2VULN|1MLV|1AART|1SELL	1aVULN|2SELL|3LIT|4MLV|57RCR|6DUST|8ERES|9AART
30	22312 23451	 * 	241.74	ACR|DCR|2VULN|1MLV|1AART|1SELL	1aVULN|2SELL|3LIT|4MLV|57RCR|6DUST|8FLTFST|9AART
31	22312 23215	 * 	241.65	ACR|DCR|2MLV|1VULN|1DMG|1SELL	1VULN|2SELL|3LIT|4aMLV|57RCR|6DUST|8LWND|9DMG
32	12312 33515	 * 	241.51	ACR|DCR|2MLV|1VULN|1DMG|2SELL	1LHND|28SELL|3LIT|4aMLV|57RCR|6VULN|9DMG
33	62312 33515	 * 	241.51	ACR|DCR|2MLV|1VULN|1DMG|2SELL	1LWND|28SELL|3LIT|4aMLV|57RCR|6VULN|9DMG
