0	Index      	 *	Score 	Summary	Detail	
1	43331 14221	 * 	278.51	DCR|3VULN|2DMG|3DUR|1ASPD|1CDMG|1RPLT	15aVULN|2RPLT|35aDUR|4BELT|5aBPWR|6CDMG|7ASPD|8RCR|9aDMG
2	12412 32521	 * 	273.04	DCR|DCR|2VULN|2DUR|1RPLT	1TBNT|26DUR|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aLIT
3	12412 32522	   	273.04	DCR|DCR|2VULN|2DUR|1RPLT	1TBNT|26DUR|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aRMIN
4	12412 32523	   	273.04	DCR|DCR|2VULN|2DUR|1RPLT	1TBNT|26DUR|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aLHND
5	12134 11524	   	273.04	DCR|DCR|2VULN|2DUR|1RPLT	1TBNT|2aDUR|3RPLT|4MSLREG|5aVULN|6aAME|7RMIN|89RCR|aBPWR
6	12134 21524	   	273.04	DCR|DCR|2VULN|2DUR|1RPLT	1TBNT|2aDUR|3RPLT|4MSLREG|5aVULN|6aERES|7RMIN|89RCR|aBPWR
7	12161 31524	   	273.04	DCR|DCR|2VULN|2DUR|1RPLT	1TBNT|2aDUR|3RPLT|4ERES|5aVULN|6aVENFST|7RMIN|89RCR|aBPWR
8	12412 32524	   	272.94	DCR|DCR|2VULN|2DUR|1RPLT	1TBNT|26DUR|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aLSRHEA
9	12412 32525	   	272.94	DCR|DCR|2VULN|2DUR|1RPLT|1ZMB	1TBNT|26DUR|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aZMB
10	12412 32526	   	272.94	DCR|DCR|2VULN|2DUR|1RPLT	1TBNT|26DUR|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aAME
11	43331 14262	 * 	272.15	DCR|3VULN|2ASPD|2CDMG|1MLV|2DUR|1RPLT	159VULN|2RPLT|35DUR|4BELT|59BPWR|69CDMG|79ASPD|8RCR|aMLV
12	43323 44321	 * 	268.04	DCR|DCR|1VULN|2CDMG|1AART|1RPLT	1VULN|2RPLT|3DUR|49CDMG|5TLV|6aRCR|7AART|8CANTOX
13	13512 32521	   	266.59	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUR|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aLIT
14	13512 32522	   	266.59	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUR|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aRMIN
15	13512 32523	   	266.59	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUR|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aLHND
16	13512 32524	   	266.49	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUR|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aLSRHEA
17	13512 32525	   	266.49	DCR|DCR|2VULN|1RPLT|1ZMB	1TBNT|26BEXP|3DUR|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aZMB
18	13512 32526	   	266.49	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUR|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aAME
19	12265 14311	   	266.49	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1TBNT|23DUR|3BPWR|4DLOT|5MLV|68RCR|7VULN|9TLV|aCDMG
20	12265 14331	   	266.39	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1TBNT|23DUR|3BPWR|4DLOT|5MLV|68RCR|7VULN|9ERES|aCDMG
21	12265 14321	   	262.50	DCR|DCR|1VULN|1MLV|2DUR|1AART	1TBNT|23DUR|3BPWR|4DLOT|5MLV|68RCR|7VULN|9FRZICY|aAART
22	43332 12536	 * 	258.58	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2RPLT|3DUR|4BELT|5FEWX|6TBNT|7aRCR|8DMG|9BBNT
23	13161 31524	   	258.19	DCR|DCR|2VULN|1RPLT	1TBNT|2aBEXP|3RPLT|4ERES|5aVULN|6aVENFST|7RMIN|89RCR|aBPWR
24	13412 32521	   	258.19	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aLIT
25	13412 32522	   	258.19	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aRMIN
26	13412 32523	   	258.19	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aLHND
27	13412 32524	   	258.09	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aLSRHEA
28	13412 32525	   	258.09	DCR|DCR|2VULN|1RPLT|1ZMB	1TBNT|26BEXP|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aZMB
29	13412 32526	   	258.09	DCR|DCR|2VULN|1RPLT	1TBNT|26BEXP|3DUST|4AIRARM|56VULN|6BPWR|7RPLT|89RCR|aAME
30	12114 32214	   	255.80	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1TBNT|2DUR|3RPLT|4BEXP|5VULN|6aRCR|7MLV|8SELL|9BBNT
31	12144 32214	   	255.80	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1TBNT|2DUR|3RPLT|4LHND|5VULN|6aRCR|7MLV|8SELL|9BBNT
32	43331 14241	   	254.62	DCR|3VULN|2ASPD|2CDMG|2DUR|1RPLT	15aVULN|2RPLT|35DUR|4BELT|5aBPWR|6aCDMG|7aASPD|8RCR|9RMIN
33	43331 14261	   	254.62	DCR|3VULN|2ASPD|2CDMG|2DUR|1RPLT	159VULN|2RPLT|35DUR|4BELT|59BPWR|69CDMG|79ASPD|8RCR|aBEXP
34	43331 14263	   	254.62	DCR|3VULN|2ASPD|2CDMG|2DUR|1RPLT	159VULN|2RPLT|35DUR|4BELT|59BPWR|69CDMG|79ASPD|8RCR|aTLV
35	12265 14312	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1TBNT|23DUR|3BPWR|4DLOT|5MLV|68RCR|7VULN|9TLV|aCGEN
36	12265 14322	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1TBNT|23DUR|3BPWR|4DLOT|5MLV|68RCR|7VULN|9FRZICY|aCGEN
37	12265 14323	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1TBNT|23DUR|3BPWR|4DLOT|5MLV|68RCR|7VULN|9FRZICY|aLIT
