0	Index      	 *	Score 	Summary	Detail	
1	32423 32236	 * 	311.96	DCR|DCR|4VULN|1DMG|1SELL	1SELL|248aVULN|3BEXP|5DUST|69RCR|7DMG
2	32425 32236	 * 	309.50	DCR|DCR|3VULN|2DMG|1SELL	1SELL|24aVULN|3BEXP|5LHND|69RCR|78DMG
3	32625 32236	 * 	309.40	DCR|DCR|3VULN|2DMG|1SELL	1SELL|24aVULN|3LEGI|5LHND|69RCR|78DMG
4	32623 32236	 * 	309.30	DCR|DCR|3VULN|2DMG|1SELL	1SELL|24aVULN|3LEGI|5DUST|69RCR|78DMG
5	32424 32235	 * 	306.76	DCR|DCR|3VULN|1DMG|2DUR|1SELL	1SELL|248VULN|3BEXP|5aDUR|69RCR|7DMG
6	32423 36236	 * 	305.54	DCR|DCR|4VULN|1ASPD|1SELL	1SELL|248aVULN|3BEXP|5DUST|69RCR|7ASPD
7	51112 25141	 * 	300.25	ACR|DCR|3VULN|3MLV	169VULN|2MBVNT|369MLV|4RCVC|5aRCR|69BPWR|79LHND|8RPLT
8	32424 32231	 * 	300.21	DCR|DCR|3VULN|1DMG|1SELL	1SELL|248VULN|3BEXP|5DUR|69RCR|7DMG|aCGEN
9	32424 32236	 * 	300.21	DCR|DCR|3VULN|1DMG|1SELL	1SELL|248VULN|3BEXP|5DUR|69RCR|7DMG|aLSRICY
10	32423 32235	 * 	300.11	DCR|DCR|3VULN|1DMG|1SELL	1SELL|248VULN|3BEXP|5DUST|69RCR|7DMG|aDUR
11	32424 32232	 * 	300.11	DCR|DCR|3VULN|1DMG|1SELL	1SELL|248VULN|3BEXP|5DUR|69RCR|7DMG|aSPLARM
12	32424 32233	 * 	300.11	DCR|DCR|3VULN|1DMG|1SELL|1MSE	1SELL|248VULN|3BEXP|5DUR|69RCR|7DMG|aMSE
13	32424 32234	 * 	300.11	DCR|DCR|3VULN|1DMG|1SELL	1SELL|248VULN|3BEXP|5DUR|69RCR|7DMG|aMDPS
14	32425 32235	 * 	294.34	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3BEXP|5LHND|69RCR|78DMG|aDUR
15	32625 32235	 * 	294.24	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3LEGI|5LHND|69RCR|78DMG|aDUR
16	32623 32235	 * 	294.14	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3LEGI|5DUST|69RCR|78DMG|aDUR
17	32623 32133	 * 	294.08	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1SELL|24VULN|3LEGI|5DUST|69RCR|7DMG|8DUR|aMLV
18	32424 36231	 * 	293.80	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|248VULN|3BEXP|5DUR|69RCR|7ASPD|aCGEN
19	32423 36235	 * 	293.70	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|248VULN|3BEXP|5DUST|69RCR|7ASPD|aDUR
20	32424 36232	 * 	293.70	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|248VULN|3BEXP|5DUR|69RCR|7ASPD|aSPLARM
21	32424 36233	 * 	293.70	DCR|DCR|3VULN|1ASPD|1SELL|1MSE	1SELL|248VULN|3BEXP|5DUR|69RCR|7ASPD|aMSE
22	32423 32231	 * 	291.81	DCR|DCR|3VULN|1DMG|1SELL	1SELL|248VULN|3BEXP|5DUST|69RCR|7DMG|aCGEN
23	32423 32232	 * 	291.71	DCR|DCR|3VULN|1DMG|1SELL	1SELL|248VULN|3BEXP|5DUST|69RCR|7DMG|aSPLARM
24	32423 32233	 * 	291.71	DCR|DCR|3VULN|1DMG|1SELL|1MSE	1SELL|248VULN|3BEXP|5DUST|69RCR|7DMG|aMSE
25	32423 32234	 * 	291.71	DCR|DCR|3VULN|1DMG|1SELL	1SELL|248VULN|3BEXP|5DUST|69RCR|7DMG|aMDPS
26	21322 32134	 * 	290.45	DCR|DCR|2VULN|1DMG|1CDMG	1CGEN|2CDMG|3DUST|4aVULN|5ERES|69RCR|7DMG|8DUR
27	32624 32135	   	288.21	DCR|DCR|2VULN|3DUR|1DMG|1SELL	1SELL|24VULN|3LEGI|58aDUR|69RCR|7DMG
28	51134 34672	   	287.92	DCR|DCR|2VULN|1MLV|1ASPD	1aVULN|2MBVNT|3MLV|4DUR|5CANTOX|69RCR|7ASPD|8LSRICY
29	51134 34472	   	287.82	DCR|DCR|2VULN|1MLV|1ASPD	1aVULN|2MBVNT|3MLV|4DUR|5CANTOX|69RCR|7ASPD|8LSRREG
30	51173 34472	   	287.82	DCR|DCR|2VULN|1MLV|1ASPD	1aVULN|2MBVNT|3MLV|4MGNSTR|5DUR|69RCR|7ASPD|8LSRREG
31	32623 36133	   	287.67	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1SELL|24VULN|3LEGI|5DUST|69RCR|7ASPD|8DUR|aMLV
32	32623 32135	   	286.21	DCR|DCR|2VULN|1DMG|1SELL	1SELL|24VULN|3LEGI|5DUST|69RCR|7DMG|8DUR|aRPLT
33	51434 34381	 * 	286.18	DCR|DCR|2VULN|2DMG	17VULN|2MBVNT|3MDPS|4MULARM|578LWND|67DMG|7BPWR|9aRCR
34	32425 32231	   	286.03	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3BEXP|5LHND|69RCR|78DMG|aCGEN
35	32625 32231	   	285.93	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3LEGI|5LHND|69RCR|78DMG|aCGEN
36	32425 32232	   	285.93	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3BEXP|5LHND|69RCR|78DMG|aSPLARM
37	32425 32233	   	285.93	DCR|DCR|2VULN|2DMG|1SELL|1MSE	1SELL|24VULN|3BEXP|5LHND|69RCR|78DMG|aMSE
38	32425 32234	   	285.93	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3BEXP|5LHND|69RCR|78DMG|aMDPS
39	32623 32231	   	285.83	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3LEGI|5DUST|69RCR|78DMG|aCGEN
40	32625 32232	   	285.83	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3LEGI|5LHND|69RCR|78DMG|aSPLARM
41	32625 32233	   	285.83	DCR|DCR|2VULN|2DMG|1SELL|1MSE	1SELL|24VULN|3LEGI|5LHND|69RCR|78DMG|aMSE
42	32625 32234	   	285.83	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3LEGI|5LHND|69RCR|78DMG|aMDPS
43	32623 32232	   	285.73	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3LEGI|5DUST|69RCR|78DMG|aSPLARM
44	32623 32233	   	285.73	DCR|DCR|2VULN|2DMG|1SELL|1MSE	1SELL|24VULN|3LEGI|5DUST|69RCR|78DMG|aMSE
45	32623 32234	   	285.73	DCR|DCR|2VULN|2DMG|1SELL	1SELL|24VULN|3LEGI|5DUST|69RCR|78DMG|aMDPS
46	32423 36231	 * 	285.40	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|248VULN|3BEXP|5DUST|69RCR|7ASPD|aCGEN
47	32423 36232	 * 	285.30	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|248VULN|3BEXP|5DUST|69RCR|7ASPD|aSPLARM
48	32423 36233	 * 	285.30	DCR|DCR|3VULN|1ASPD|1SELL|1MSE	1SELL|248VULN|3BEXP|5DUST|69RCR|7ASPD|aMSE
49	32423 36234	 * 	285.30	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|248VULN|3BEXP|5DUST|69RCR|7ASPD|aMDPS
50	51112 27381	   	284.90	ACR|DCR|2VULN|3MLV	16VULN|2MBVNT|367MLV|4RCVC|5aRCR|6BPWR|8RPLT|9DUR
51	21322 36134	   	284.03	DCR|DCR|2VULN|1ASPD|1CDMG	1CGEN|2CDMG|3DUST|4aVULN|5ERES|69RCR|7ASPD|8DUR
52	53143 12163	   	284.03	ACR|DCR|3VULN|1MLV|1CDMG	15aVULN|2BEXP|3MLV|49RCR|6CDMG|7AART|8LWND
53	32624 32131	   	283.20	DCR|DCR|2VULN|1DMG|2DUR|1SELL	1SELL|24VULN|3LEGI|58DUR|69RCR|7DMG|aCGEN
54	32624 32136	   	283.20	DCR|DCR|2VULN|1DMG|2DUR|1SELL	1SELL|24VULN|3LEGI|58DUR|69RCR|7DMG|aLSRICY
55	32624 32132	   	283.10	DCR|DCR|2VULN|1DMG|2DUR|1SELL	1SELL|24VULN|3LEGI|58DUR|69RCR|7DMG|aSPLARM
56	32624 32133	   	283.10	DCR|DCR|2VULN|1DMG|2DUR|1SELL|1MSE	1SELL|24VULN|3LEGI|58DUR|69RCR|7DMG|aMSE
57	32624 32134	   	283.10	DCR|DCR|2VULN|1DMG|2DUR|1SELL	1SELL|24VULN|3LEGI|58DUR|69RCR|7DMG|aMDPS
