0	Index      	 *	Score 	Summary	Detail	
1	44242 22222	 * 	298.98	DCR|DCR|2VULN|3ASPD|1MLV	1aVULN|246ASPD|3CGEN|5MLV|7LHND|89RCR
2	42341 52322	 * 	281.39	DCR|DCR|2VULN|1DMG|1MLV	1aVULN|2DMG|3LWND|45CGEN|68RCR|7MDPS|9MLV
3	42553 12222	 * 	280.66	DCR|DCR|3DMG|1VULN	1VULN|234DMG|5TLV|6LWND|7CGEN|89RCR|aRPLT
4	42553 32222	   	280.56	DCR|DCR|3DMG|1VULN	1VULN|234DMG|5TLV|6ERES|7LHND|89RCR|aRPLT
5	42232 52341	   	273.42	DCR|DCR|2VULN|1DMG	1aVULN|2DMG|3CGEN|4TLV|5ERES|68RCR|7MDPS|9AART
6	44242 22221	   	272.78	DCR|DCR|3ASPD|1VULN|1MLV	1VULN|246ASPD|3CGEN|5MLV|7LHND|89RCR|aTLV
7	44242 22223	   	272.78	DCR|DCR|3ASPD|1VULN|1MLV	1VULN|246ASPD|3CGEN|5MLV|7LHND|89RCR|aRMIN
8	42553 12221	   	271.00	DCR|DCR|3DMG|1VULN	1VULN|234DMG|5aTLV|6LWND|7CGEN|89RCR
9	42553 12223	   	271.00	DCR|DCR|3DMG|1VULN	1VULN|234DMG|5TLV|6LWND|7CGEN|89RCR|aBEXP
10	42553 32221	   	270.90	DCR|DCR|3DMG|1VULN	1VULN|234DMG|5aTLV|6ERES|7LHND|89RCR
11	42553 32223	   	270.90	DCR|DCR|3DMG|1VULN	1VULN|234DMG|5TLV|6ERES|7LHND|89RCR|aBEXP
12	63322 13224	 * 	269.84	DCR|DCR|3ASPD|2MLV|1CDMG	157ASPD|2TLV|36MLV|4MDPS|89RCR|aCDMG
13	42612 37234	   	269.03	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1VULN|2DMG|3MBVNT|4ZMB|5AART|6CDMG|7BBNT|8DUR|9aRCR
