0	Index      	 *	Score 	Summary	Detail	
1	42513 13242	 * 	286.74	ACR|DCR|5VULN|1CDMG	17RCR|2LWND|3458aVULN|6DUST|9CDMG
2	42513 13241	   	283.50	ACR|DCR|4VULN|1ASPD|1CDMG	17RCR|2LWND|3458VULN|6DUST|9CDMG|aASPD
3	42513 63222	   	281.25	ACR|DCR|5VULN|1SELL	17RCR|2LWND|3458aVULN|6DUR|9SELL
4	42513 63221	   	278.01	ACR|DCR|4VULN|1ASPD|1SELL	17RCR|2LWND|3458VULN|6DUR|9SELL|aASPD
5	42513 63223	   	278.01	ACR|DCR|4VULN|1CDMG|1SELL	17RCR|2LWND|3458VULN|6DUR|9SELL|aCDMG
6	42513 13243	 * 	276.16	ACR|DCR|4VULN|2CDMG	17RCR|2LWND|3458VULN|6DUST|9aCDMG
7	33263 26313	 * 	274.88	DCR|3VULN|2DMG|2MLV|2ASPD	1TBNT|2aMLV|35ASPD|45aVULN|5aBPWR|6FEWX|7LIT|8aDMG|9RCR
8	33563 26313	   	274.88	DCR|3VULN|2DMG|2MLV|2ASPD	1TBNT|2aMLV|35DMG|45aVULN|5aBPWR|6FEWX|7LIT|8aASPD|9RCR
9	42513 63212	   	274.26	ACR|DCR|4VULN|1RPLT	17RCR|2LWND|3458VULN|6DUR|9LHND|aRPLT
10	42513 63232	   	274.16	ACR|DCR|4VULN|1RPLT	17RCR|2LWND|3458VULN|6DUR|9DUST|aRPLT
11	42513 13263	   	273.73	ACR|DCR|4VULN|1MLV	17RCR|2LWND|3458VULN|6DUST|9FLTARM|aMLV
12	42513 53222	   	272.94	ACR|DCR|5VULN|1SELL	17RCR|2LWND|3458aVULN|6FEWX|9SELL
13	42513 13222	   	272.84	ACR|DCR|5VULN|1SELL	17RCR|2LWND|3458aVULN|6DUST|9SELL
14	42513 62323	   	272.74	ACR|DCR|3VULN|1ASPD|1CDMG	1aRCR|2LWND|345VULN|6DUR|7AAC|8CDMG|9ASPD
15	42522 33242	   	269.95	ACR|DCR|4VULN|1CDMG	17RCR|2LWND|358aVULN|46BEXP|9CDMG
16	42513 53221	   	269.70	ACR|DCR|4VULN|1ASPD|1SELL	17RCR|2LWND|3458VULN|6FEWX|9SELL|aASPD
17	42513 53223	   	269.70	ACR|DCR|4VULN|1CDMG|1SELL	17RCR|2LWND|3458VULN|6FEWX|9SELL|aCDMG
18	42513 13221	   	269.60	ACR|DCR|4VULN|1ASPD|1SELL	17RCR|2LWND|3458VULN|6DUST|9SELL|aASPD
19	42513 13223	   	269.60	ACR|DCR|4VULN|1CDMG|1SELL	17RCR|2LWND|3458VULN|6DUST|9SELL|aCDMG
20	15122 63241	   	268.50	ACR|DCR|3VULN|1ASPD|1RPLT|1ZMB	1DUR|2ZMB|369VULN|4LHND|57RCR|8ASPD|aRPLT
21	15132 63241	   	268.50	ACR|DCR|3VULN|1ASPD|1RPLT|1ZMB	1DUR|2ZMB|369VULN|4LWND|57RCR|8ASPD|aRPLT
22	33546 12313	 * 	266.81	DCR|2VULN|3MLV|2DMG|2ASPD	1TBNT|24aMLV|34DMG|4aBPWR|5aASPD|6LIT|7LWND|8aVULN|9RCR
23	42513 53212	   	265.96	ACR|DCR|4VULN|1RPLT	17RCR|2LWND|3458VULN|6FEWX|9LHND|aRPLT
24	42513 13212	   	265.86	ACR|DCR|4VULN|1RPLT	17RCR|2LWND|3458VULN|6DUST|9LHND|aRPLT
25	42513 53232	   	265.86	ACR|DCR|4VULN|1RPLT	17RCR|2LWND|3458VULN|6FEWX|9DUST|aRPLT
26	42513 63213	   	264.60	ACR|DCR|4VULN	17RCR|2LWND|3458VULN|6DUR|9LHND|aCGEN
27	42513 13215	   	264.50	ACR|DCR|4VULN	17RCR|2LWND|3458VULN|6DUST|9LHND|aDUR
28	42513 63211	   	264.50	ACR|DCR|4VULN	17RCR|2LWND|3458VULN|6DUR|9LHND|aMBVNT
29	42513 63233	   	264.50	ACR|DCR|4VULN	17RCR|2LWND|3458VULN|6DUR|9DUST|aCGEN
30	33141 31615	 * 	264.49	DCR|DCR|2MLV|1VULN|1CDMG	1TBNT|24MLV|3RMIN|4BPWR|5CDMG|6aRCR|7VULN|8BEXP|9CGEN
31	42522 33241	   	264.43	ACR|DCR|3VULN|1ASPD|1CDMG	17RCR|2LWND|358VULN|46BEXP|9CDMG|aASPD
32	42513 63231	   	264.40	ACR|DCR|4VULN	17RCR|2LWND|3458VULN|6DUR|9DUST|aMBVNT
33	33141 31135	   	264.39	DCR|DCR|2MLV|1VULN|1CDMG	1TBNT|24MLV|3RMIN|4BPWR|5CDMG|6aRCR|7VULN|8ERES|9FEWX
34	33141 36115	   	264.39	DCR|DCR|2MLV|1VULN|1CDMG	1TBNT|24MLV|3RMIN|4BPWR|5CDMG|6aRCR|7ERES|8LHND|9VULN
35	33141 36235	   	264.39	DCR|DCR|2MLV|1VULN|1CDMG	1TBNT|24MLV|3RMIN|4BPWR|5CDMG|6aRCR|7ERES|8VULN|9FEWX
36	33141 36315	   	264.39	DCR|DCR|2MLV|1VULN|1CDMG	1TBNT|24MLV|3RMIN|4BPWR|5CDMG|6aRCR|7ERES|8BEXP|9VULN
37	33541 31521	 * 	264.05	DCR|2VULN|3DMG|2MLV|1CDMG	1TBNT|24MLV|349DMG|4BPWR|5CDMG|6RCR|78VULN|aDUR
38	33263 52631	 * 	263.89	DCR|4VULN|2ASPD|1MLV|1CDMG|1RPLT	1TBNT|2MLV|35ASPD|4568VULN|5BPWR|7RPLT|9RCR|aCDMG
39	62532 22163	 * 	261.86	DCR|DCR|2VULN|1AART	1BELT|2TBNT|3DUR|4BBNT|56VULN|7AART|8aRCR|9LIT
40	42521 63211	 * 	261.16	ACR|DCR|2VULN|2ASPD|1DMG	17RCR|2LWND|36VULN|4BEXP|5DMG|8aASPD|9LIT
41	42522 23241	   	260.44	ACR|DCR|3VULN|1ASPD|1RPLT	17RCR|2LWND|359VULN|4BEXP|6AAC|8ASPD|aRPLT
42	42513 13431	   	260.34	ACR|DCR|3VULN|1ASPD|1RPLT	17RCR|2LWND|345VULN|6DUST|8RPLT|9ASPD|aFEWX
43	42513 13432	   	260.34	ACR|DCR|3VULN|1ASPD|1RPLT	17RCR|2LWND|345VULN|6DUST|8RPLT|9ASPD|aBBNT
44	42513 13433	   	260.34	ACR|DCR|3VULN|1ASPD|1RPLT	17RCR|2LWND|345VULN|6DUST|8RPLT|9ASPD|aLHND
45	33263 42631	   	260.34	DCR|3VULN|2MLV|2ASPD|1CDMG|1RPLT	1TBNT|26MLV|35ASPD|458VULN|5BPWR|7RPLT|9RCR|aCDMG
46	25122 63241	   	260.20	ACR|DCR|3VULN|1ASPD|1RPLT|1ZMB	1FEWX|2ZMB|369VULN|4LHND|57RCR|8ASPD|aRPLT
47	25132 63241	   	260.20	ACR|DCR|3VULN|1ASPD|1RPLT|1ZMB	1FEWX|2ZMB|369VULN|4LWND|57RCR|8ASPD|aRPLT
48	33241 31535	   	258.99	DCR|3VULN|2MLV|2ASPD|1CDMG	1TBNT|24MLV|34ASPD|4BPWR|5CDMG|6RCR|78aVULN|9DUR
49	15122 63242	   	258.84	ACR|DCR|3VULN|1ASPD|1ZMB	1DUR|2ZMB|369VULN|4LHND|57RCR|8ASPD|aAAC
50	15122 63243	   	258.84	ACR|DCR|3VULN|1ASPD|1ZMB	1DUR|2ZMB|369VULN|4LHND|57RCR|8ASPD|aTLV
