0	Index      	 *	Score 	Summary	Detail	
1	31535 32341	 * 	288.58	DCR|DCR|2VULN|2CDMG|2DUR|1RPLT	1aCDMG|2LHND|3aVULN|4AAC|5BELT|6RPLT|78RCR|9aDUR|aBPWR
2	31535 32352	 * 	278.66	DCR|DCR|2DMG|1VULN|1CDMG|1RPLT	1CDMG|2LHND|3VULN|4AAC|5BELT|6RPLT|78RCR|9aDMG
3	31535 32343	   	275.51	DCR|DCR|2VULN|1CDMG|1RPLT	1CDMG|2LHND|3aVULN|4AAC|5BELT|6RPLT|78RCR|9DUR
4	31535 32331	   	273.72	DCR|DCR|2VULN|2CDMG|1RPLT	1aCDMG|2LHND|3aVULN|4AAC|5BELT|6RPLT|78RCR|9aLWND|aBPWR
5	42213 56332	 * 	272.64	DCR|3VULN|3DMG|2MLV	178VULN|2DUR|37MLV|467DMG|5RMIN|7BPWR|9TLV|aRCR
6	42213 56322	   	272.54	DCR|3VULN|3DMG|2MLV	178VULN|2DUR|37MLV|467DMG|5RMIN|7BPWR|9ERES|aRCR
7	31535 32313	   	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	1CDMG|2LHND|3aVULN|49AAC|5BELT|6RPLT|78RCR
8	31535 32333	   	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	1CDMG|2LHND|3aVULN|4AAC|5BELT|6RPLT|78RCR|9LWND
9	31535 32363	   	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	1CDMG|2LHND|3aVULN|4AAC|5BELT|6RPLT|78RCR|9RCVC
10	36535 32313	   	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	1CDMG|2LWND|3aVULN|49AAC|5BELT|6RPLT|78RCR
11	36535 32333	   	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	1CDMG|29LWND|3aVULN|4AAC|5BELT|6RPLT|78RCR
12	42212 24521	 * 	265.11	DCR|4VULN|2MLV|1DMG|2DUR	167aVULN|2aDUR|35MLV|4DMG|8RCR|9aCGEN|aBPWR
13	44213 52332	   	264.33	DCR|3VULN|3DMG|2MLV	178VULN|2BEXP|37MLV|467DMG|5RMIN|7BPWR|9TLV|aRCR
14	45213 52332	   	264.33	DCR|3VULN|3DMG|2MLV	178VULN|2FEWX|37MLV|467DMG|5RMIN|7BPWR|9TLV|aRCR
15	43213 56332	   	264.23	DCR|3VULN|3DMG|2MLV	178VULN|2LEGI|37MLV|467DMG|5RMIN|7BPWR|9TLV|aRCR
16	44213 52322	   	264.23	DCR|3VULN|3DMG|2MLV	178VULN|2BEXP|37MLV|467DMG|5RMIN|7BPWR|9ERES|aRCR
17	45213 52322	   	264.23	DCR|3VULN|3DMG|2MLV	178VULN|2FEWX|37MLV|467DMG|5RMIN|7BPWR|9ERES|aRCR
18	43213 56322	   	264.13	DCR|3VULN|3DMG|2MLV	178VULN|2LEGI|37MLV|467DMG|5RMIN|7BPWR|9ERES|aRCR
19	42213 56132	   	263.90	DCR|2VULN|3DMG|2MLV|1CDMG|1SELL	17VULN|2DUR|37MLV|467DMG|5RMIN|7BPWR|8SELL|9CDMG|aRCR
20	31535 32351	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2LHND|3VULN|4AAC|5BELT|6RPLT|78RCR|9DMG|aBEXP
21	31535 32353	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1CDMG|2LHND|3VULN|4AAC|5BELT|6RPLT|78RCR|9DMG|aCGEN
22	34223 65223	 * 	260.70	DCR|4VULN|2DMG|3CDMG	158CDMG|28LIT|3ERES|459aVULN|58BPWR|68DMG|7RCR
