0	Index      	 *	Score 	Summary	Detail	
1	11436 13168	 * 	301.70	DCR|DCR|4VULN	1BASARM|2MBVNT|3RPLT|469aVULN|5BEXP|78RCR
2	11436 13134	   	301.61	DCR|DCR|3VULN|1DMG	1BASARM|2MBVNT|3RPLT|46aVULN|5BEXP|78RCR|9DMG
3	11436 13138	 * 	295.74	DCR|DCR|2VULN|2DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9aDMG
4	11436 13161	   	289.86	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|469VULN|5BEXP|78RCR|aDUR
5	11436 63134	   	283.35	DCR|DCR|2VULN|1DMG|2RPLT	1BASARM|2MBVNT|36RPLT|4aVULN|5BEXP|78RCR|9DMG
6	11436 13144	   	281.55	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|46aVULN|5BEXP|78RCR|9TLV
7	11436 13164	   	281.55	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|469VULN|5BEXP|78RCR|aLHND
8	11436 13167	   	281.55	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|469VULN|5BEXP|78RCR|aLWND
9	11436 13174	   	281.55	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|46aVULN|5BEXP|78RCR|9CGEN
10	11436 13183	   	281.55	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|46aVULN|5BEXP|78RCR|9BBNT
11	11436 43168	   	281.55	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|49aVULN|5BEXP|6RCVC|78RCR
12	11436 13154	   	281.45	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|46aVULN|5BEXP|78RCR|9AME
13	11436 13162	   	281.45	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|469VULN|5BEXP|78RCR|aAELOIC
14	11436 13163	   	281.45	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|469VULN|5BEXP|78RCR|aAME
15	11436 13165	   	281.45	DCR|DCR|3VULN|1ZMB	1BASARM|2MBVNT|3RPLT|469VULN|5BEXP|78RCR|aZMB
16	11436 13166	   	281.45	DCR|DCR|3VULN	1BASARM|2MBVNT|3RPLT|469VULN|5BEXP|78RCR|aMULHEA
17	11436 13133	   	278.15	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9DMG|aFRZARM
18	11436 13135	   	278.15	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9DMG|aAAC
19	11436 13136	   	278.15	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9DMG|aLWND
20	11436 13148	   	278.15	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9TLV|aDMG
21	11436 13178	   	278.15	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9CGEN|aDMG
22	11436 43134	   	278.15	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|4aVULN|5BEXP|6RCVC|78RCR|9DMG
23	11436 13131	   	278.05	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9DMG|aAME
24	11436 13132	   	278.05	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9DMG|aERES
25	11436 13137	   	278.05	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9DMG|aSPLARM
26	11436 13158	   	278.05	DCR|DCR|2VULN|1DMG	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9AME|aDMG
27	11436 13141	   	275.62	DCR|DCR|2VULN|1MLV	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9TLV|aMLV
28	11436 13171	   	275.62	DCR|DCR|2VULN|1MLV	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9CGEN|aMLV
29	11436 13151	   	275.52	DCR|DCR|2VULN|1MLV	1BASARM|2MBVNT|3RPLT|46VULN|5BEXP|78RCR|9AME|aMLV
30	21426 53233	 * 	275.05	DCR|5VULN|3DMG	149AAC|2367aVULN|567DMG|67BPWR|8RCR
31	21426 53211	   	274.95	DCR|5VULN|3DMG	14AAC|2367aVULN|567DMG|67BPWR|8RCR|9MBVNT
32	11436 63138	   	272.86	DCR|DCR|2DMG|1VULN|2RPLT	1BASARM|2MBVNT|36RPLT|4VULN|5BEXP|78RCR|9aDMG
33	21461 13224	   	271.89	DCR|DCR|3VULN	1AAC|235VULN|45TLV|5BPWR|6DUST|7aRCR|8AME|9MULARM
