0	Index      	 *	Score 	Summary	Detail	
1	24531 84443	 * 	280.66	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	1ASPD|2RPLT|3MBVNT|4NUKE|5RCVC|68RCR|7CDMG|9aVULN
2	22311 34162	 * 	279.03	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2VULN|3AART|4DUR|5RPLT|6BEXP|7aRCR|8DMG|9LWND
3	22311 44122	   	279.03	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2VULN|3AART|4DUR|5RPLT|6LHND|7aRCR|8DMG|9BEXP
4	22311 44132	   	279.03	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2VULN|3AART|4DUR|5RPLT|6LHND|7aRCR|8DMG|9LWND
5	22312 44162	   	279.03	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2VULN|3AART|4DUR|5BEXP|6RPLT|7aRCR|8DMG|9LWND
6	22414 14122	   	279.03	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2VULN|3FEWX|4RPLT|5AART|6DUR|7aRCR|8DMG|9BEXP
7	22414 14132	   	279.03	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2VULN|3FEWX|4RPLT|5AART|6DUR|7aRCR|8DMG|9LWND
8	22614 14122	   	279.03	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2VULN|3LWND|4RPLT|5AART|6DUR|7aRCR|8DMG|9BEXP
9	22614 14132	   	279.03	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1ASPD|2VULN|3LWND|4RPLT|5AART|6DUR|7aRCR|8DMG|9LHND
10	25241 33314	 * 	272.09	DCR|4VULN|3ASPD|3DUR|1MLV	179ASPD|2DMSP|3789VULN|4MDPS|579DUR|6RCR|79BPWR|aMLV
11	24541 84444	   	272.09	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT	1ASPD|2RPLT|3MBVNT|4AAC|5RCVC|68RCR|7CDMG|9VULN|aMLV
12	25241 33311	 * 	271.45	DCR|5VULN|3ASPD|3DUR	179ASPD|2DMSP|3789aVULN|4MDPS|579DUR|6RCR|79BPWR
13	25231 63234	 * 	268.64	DCR|3VULN|3DMG|3ASPD	14aASPD|2DMSP|36aVULN|57aDMG|8RCR|9NUKE|aBPWR
14	24541 84443	 * 	267.01	DCR|DCR|1VULN|2ASPD|1CDMG|1RPLT	1aASPD|2RPLT|3MBVNT|4AAC|5RCVC|68RCR|7CDMG|9VULN
15	22664 23231	 * 	264.47	DCR|2VULN|3ASPD|2MLV|1DMG|1RPLT	17aASPD|27VULN|3LWND|4DUR|5RPLT|67MLV|7BPWR|8DMG|9RCR
16	25212 43363	 * 	263.80	DCR|4VULN|2MLV|1DMG|1ASPD	1ASPD|2DMSP|356aVULN|46MLV|6BPWR|7DMG|8FEWX|9RCR
17	24531 84444	   	262.76	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1ASPD|2RPLT|3MBVNT|4NUKE|5RCVC|68RCR|7CDMG|9VULN|aDUR
18	32125 23261	   	261.76	DCR|DCR|2VULN|1AART	1LHND|2TBNT|3CGEN|4AART|5VENTOX|6aRCR|7DUR|89VULN
19	32425 23231	   	261.66	DCR|DCR|2VULN|1AART	1LHND|2TBNT|3AME|4AART|5VENTOX|6aRCR|7DUR|89VULN
20	24531 84442	 * 	260.77	DCR|DCR|1VULN|2CDMG|1ASPD|1RPLT	1ASPD|2RPLT|3MBVNT|4NUKE|5RCVC|68RCR|7aCDMG|9VULN
21	22663 33314	   	260.64	DCR|4VULN|3ASPD|1MLV	179ASPD|2789VULN|3LWND|4DUR|579BEXP|6RCR|79BPWR|aMLV
22	21631 22536	 * 	260.30	DCR|DCR|3ASPD|3DUR|1MLV|1ZMB	134ASPD|235DUR|3BPWR|6aRCR|7AELOIC|8ZMB|9MLV
23	22663 33311	   	260.00	DCR|5VULN|3ASPD	179ASPD|2789aVULN|3LWND|4DUR|579BEXP|6RCR|79BPWR
24	22163 36362	   	258.87	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1ASPD|2VULN|3DUST|4DUR|5LHND|69RCR|7BELT|8AART|aRPLT
