0	Index      	 *	Score 	Summary	Detail	
1	56122 43534	 * 	284.40	DCR|DCR|2VULN|1MLV|1ASPD|1AART|1SELL	1MLV|2SELL|3MBVNT|45VULN|6ASPD|7AART|8aRCR|9LHND
2	13366 42264	 * 	284.02	DCR|DCR|2VULN|1DMG|2CDMG	19LHND|29CDMG|3FEWX|4MBVNT|5DMG|69VULN|7aRCR|8RMIN|9BPWR
3	13366 42434	   	277.51	DCR|DCR|2VULN|1DMG|1CDMG	1LHND|2CDMG|3FEWX|4MBVNT|5DMG|68VULN|7aRCR|9TLV
4	13366 42444	   	277.41	DCR|DCR|2VULN|1DMG|1CDMG	1LHND|2CDMG|3FEWX|4MBVNT|5DMG|68VULN|7aRCR|9ERES
5	13366 42234	 * 	268.89	DCR|DCR|2DMG|1VULN|1CDMG	1LHND|2CDMG|3FEWX|4MBVNT|59DMG|6VULN|7aRCR|8RMIN
6	25222 21411	   	267.21	DCR|DCR|2VULN|1CDMG|1AART	1BBNT|2aVULN|3aDUST|4AART|5BEXP|68RCR|7CDMG|9aLIT|aBPWR
7	25226 21411	   	267.21	DCR|DCR|2VULN|1CDMG|1AART	1BBNT|2aVULN|3aDUST|4AART|5LHND|68RCR|7CDMG|9aLIT|aBPWR
8	25222 21421	   	267.11	DCR|DCR|2VULN|1CDMG|1AART	1BBNT|2aVULN|3DUST|4AART|5BEXP|68RCR|7CDMG|9LHND
9	23621 21461	   	264.32	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1RPLT	1BBNT|2LHND|3FEWX|4AART|5VULN|68RCR|7CDMG|9RPLT|aASPD
10	23221 21461	   	264.22	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1RPLT	1BBNT|2LHND|3DUST|4AART|5VULN|68RCR|7CDMG|9RPLT|aASPD
11	25222 21461	   	264.22	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1RPLT	1BBNT|2VULN|3DUST|4AART|5BEXP|68RCR|7CDMG|9RPLT|aASPD
12	15421 21431	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1LHND|2BEXP|3BBNT|4AART|5VULN|68RCR|7CDMG|9DMG|aCGEN
