0	Index      	 *	Score 	Summary	Detail	
1	32234 14467	 * 	281.19	DCR|DCR|2VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5aVULN|6BEXP|79RCR|8DUST
2	21463 33315	 * 	281.09	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367FEWX|457VULN|7BPWR|89RCR|aTLV
3	21463 33316	   	281.09	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367FEWX|457VULN|7BPWR|89RCR|aRCVC
4	21463 33311	   	280.99	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367FEWX|457VULN|7BPWR|89RCR|aDUST
5	21463 33312	   	280.99	DCR|DCR|3VULN|2DUR|1MSE	17DUR|2CGEN|367FEWX|457VULN|7BPWR|89RCR|aMSE
6	21463 33313	   	280.99	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367FEWX|457VULN|7BPWR|89RCR|aSNIFST
7	21463 33314	   	280.99	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367FEWX|457VULN|7BPWR|89RCR|aDLOT
8	21163 43312	   	280.79	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367DUST|457VULN|7BPWR|89RCR|aBEXP
9	21163 43315	   	280.79	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367DUST|457VULN|7BPWR|89RCR|aTLV
10	21163 43316	   	280.79	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367DUST|457VULN|7BPWR|89RCR|aRCVC
11	21163 43311	   	280.69	DCR|DCR|3VULN|2DUR|1MSE	17DUR|2CGEN|367DUST|457VULN|7BPWR|89RCR|aMSE
12	21163 43313	   	280.69	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367DUST|457VULN|7BPWR|89RCR|aSNIFST
13	21163 43314	   	280.69	DCR|DCR|3VULN|2DUR	17DUR|2CGEN|367DUST|457VULN|7BPWR|89RCR|aDLOT
14	63125 21631	 * 	280.56	DCR|DCR|3DMG|1VULN|1RPLT	1DLOT|2RPLT|346DMG|5VULN|7RCVC|8LWND|9aRCR
15	42321 36361	   	278.40	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1MLV|2CDMG|3DUST|4DMG|5VULN|6BBNT|79RCR|8MDPS|aRPLT
16	33234 14467	   	273.42	DCR|DCR|2VULN|1DMG|1AART	1AART|2RCVC|3MBVNT|4DMG|5aVULN|6BEXP|79RCR|8DUST
17	24613 12421	   	273.26	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DUR|2BEXP|3DMG|4ASPD|5MBVNT|6AAC|79RCR|8CDMG|aVULN
18	32234 14864	   	272.52	DCR|DCR|1VULN|1DMG|2AART|1MLV	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8MDPS|aMLV
19	23326 26136	   	272.16	DCR|DCR|2VULN|2DUR|1ASPD|1SELL	12DUR|3LIT|4ASPD|56VULN|7BEXP|8SELL|9aRCR
20	42321 36362	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1MLV|2CDMG|3DUST|4DMG|5VULN|6BBNT|79RCR|8MDPS|aLWND
21	42321 36512	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1MLV|2CDMG|3DUST|4DMG|5VULN|6BBNT|7aRCR|8VENTOX|9LHND
22	42321 36532	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1MLV|2CDMG|3DUST|4DMG|5VULN|6BBNT|7aRCR|8VENTOX|9LWND
23	42321 36363	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1MLV|2CDMG|3DUST|4DMG|5VULN|6BBNT|79RCR|8MDPS|aMBVNT
24	63121 23331	   	265.90	DCR|DCR|3DMG|1MLV|1RPLT	1DLOT|2RPLT|346DMG|5LWND|7MLV|8ERES|9aRCR
