0	Index      	 *	Score 	Summary	Detail	
1	23663 11311	 * 	283.83	ACR|DCR|2VULN|2DMG|1MLV|1ASPD	14VULN|2aRCR|34DMG|4BPWR|5LIT|6ASPD|7BASARM|8BBNT|9MLV
2	23636 13621	 * 	283.72	ACR|4VULN|3DMG|3ASPD|2DUR|1RPLT	178aVULN|2RCR|357DMG|47aASPD|6RPLT|7aBPWR|9aDUR
3	23663 11342	   	274.60	ACR|DCR|2VULN|2DMG|1ASPD	14VULN|29RCR|34DMG|4BPWR|5LIT|6ASPD|7BASARM|8BBNT|aDUR
4	13261 25241	 * 	273.79	ACR|DCR|3VULN|1MLV|1AART|1RPLT	1AME|2aRCR|3AART|4RPLT|5MLV|678VULN|9MDPS
5	23534 11121	   	270.56	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	18VULN|2aRCR|3CDMG|4VENFST|5LIT|6DMG|7DUR|9ASPD
6	23511 22246	 * 	268.10	ACR|DCR|2VULN|2MLV|2CDMG	18VULN|2aRCR|38CDMG|4MBVNT|5LHND|6BEXP|78MLV|8BPWR|9BASARM
7	23663 11343	   	266.29	ACR|DCR|2VULN|2DMG|1ASPD	14VULN|29RCR|34DMG|4BPWR|5LIT|6ASPD|7BASARM|8BBNT|aRMIN
8	23663 11321	   	266.19	ACR|DCR|2VULN|2DMG|1ASPD	14VULN|2aRCR|34DMG|4BPWR|5LIT|6ASPD|7BASARM|8BBNT|9AME
9	23663 11341	   	266.19	ACR|DCR|2VULN|2DMG|1ASPD|1MSE	14VULN|29RCR|34DMG|4BPWR|5LIT|6ASPD|7BASARM|8BBNT|aMSE
10	23663 11361	   	266.19	ACR|DCR|2VULN|2DMG|1ASPD	14VULN|2aRCR|34DMG|4BPWR|5LIT|6ASPD|7BASARM|8BBNT|9ERES
11	23651 21334	   	263.29	ACR|DCR|2DMG|1VULN|1MLV|1AART|1RPLT	1VULN|29RCR|3aDMG|4RPLT|5MLV|6FEWX|7AART|8LHND
12	23651 21234	   	263.19	ACR|DCR|2DMG|1VULN|1MLV|1AART|1RPLT	1VULN|29RCR|3aDMG|4RPLT|5MLV|6FEWX|7AART|8DUST
13	23632 26161	   	263.15	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG|1AART	1VULN|2aRCR|3DMG|4ASPD|5MDPS|6ERES|7AART|8CDMG|9MLV
14	23663 21334	   	262.40	ACR|DCR|2VULN|2DMG|1RPLT	14VULN|2aRCR|34DMG|4BPWR|5LIT|6FEWX|7LWND|8RMIN|9RPLT
15	23523 11121	   	262.36	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	18VULN|2aRCR|3CDMG|4BEXP|5LIT|6FLTARM|7DMG|9ASPD
16	23523 61121	   	262.26	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	18VULN|2aRCR|3CDMG|4BEXP|5LIT|6VENTOX|7DMG|9ASPD
17	23534 12121	   	262.26	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	18VULN|2aRCR|3CDMG|4VENFST|5LIT|6DMG|7FEWX|9ASPD
18	23534 13121	   	262.26	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	18VULN|2aRCR|3CDMG|4VENFST|5LIT|6DMG|7LHND|9ASPD
19	23534 16121	   	262.26	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	18VULN|2aRCR|3CDMG|4VENFST|5LIT|6DMG|7BEXP|9ASPD
20	23534 21121	   	262.26	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	18VULN|2aRCR|3CDMG|4VENFST|5LIT|6LWND|7DMG|9ASPD
21	23211 53162	   	261.85	ACR|DCR|3VULN|2DUR|1AART	19aVULN|27RCR|3aBEXP|4AART|5CGEN|6LWND|8aDUR|aBPWR
22	23215 53162	   	261.85	ACR|DCR|3VULN|2DUR|1AART	19aVULN|27RCR|3aBEXP|4AART|5TLV|6LWND|8aDUR|aBPWR
23	23213 53162	   	261.75	ACR|DCR|3VULN|2DUR|1AART	19aVULN|27RCR|3aBEXP|4AART|5ERES|6LWND|8aDUR|aBPWR
24	23651 31632	   	258.99	ACR|4VULN|2DMG|2ASPD|1MLV|1RPLT	178aVULN|2RCR|3aDMG|4RPLT|5MLV|6ERES|9aASPD|aBPWR
