0	Index      	 *	Score 	Summary	Detail	
1	23245 36323	 * 	303.36	ACR|DCR|4VULN|3MLV|1SELL	145MLV|2aRCR|3456VULN|456BPWR|7CGEN|8DUST|9SELL
2	23243 16312	 * 	301.99	ACR|DCR|3VULN|2MLV|1CDMG	14MLV|2aRCR|348VULN|4BPWR|5RPLT|6CGEN|7DUR|9CDMG
3	23243 15312	   	293.68	ACR|DCR|3VULN|2MLV|1CDMG	14MLV|2aRCR|348VULN|4BPWR|5RPLT|6CGEN|7FEWX|9CDMG
4	23243 52312	   	293.68	ACR|DCR|3VULN|2MLV|1CDMG	14MLV|2aRCR|348VULN|4BPWR|5RPLT|6RMIN|7LHND|9CDMG
5	23243 25312	   	293.58	ACR|DCR|3VULN|2MLV|1CDMG	14MLV|2aRCR|348VULN|4BPWR|5RPLT|6LEGI|7TLV|9CDMG
6	21215 12156	 * 	291.25	DCR|DCR|2VULN|1DMG|1MLV	1MLV|26VULN|3TBNT|46FEWX|5RPLT|6BPWR|7DMG|8aRCR|9BEXP
7	23243 16412	   	286.40	ACR|DCR|2VULN|2MLV|2DUR|1CDMG	14MLV|2aRCR|34VULN|4BPWR|5RPLT|6CGEN|78DUR|9CDMG
8	23242 41632	   	286.07	ACR|DCR|2VULN|2MLV|2CDMG	14MLV|2aRCR|34VULN|4BPWR|5DUR|69CDMG|7AME|8RPLT
9	23242 42622	   	285.05	ACR|DCR|2VULN|2MLV|2RPLT|1CDMG	14MLV|2aRCR|34VULN|4BPWR|5DUR|6CDMG|7TLV|89RPLT
10	23241 63163	 * 	282.73	ACR|4VULN|3MLV|2DMG|3DUR	147MLV|2RCR|347aVULN|47aBPWR|5AART|678DUR|9aDMG
11	21332 53541	 * 	281.19	DCR|DCR|1VULN|2ASPD|1DMG|1MLV	1MLV|2VULN|3LEGI|4AME|58ASPD|69RCR|7FRZARM|aDMG
12	23242 42612	   	279.85	ACR|DCR|2VULN|2MLV|1CDMG	14MLV|2aRCR|34VULN|4BPWR|5DUR|6CDMG|79TLV|8RPLT
13	23242 42632	   	279.85	ACR|DCR|2VULN|2MLV|1CDMG	14MLV|2aRCR|34VULN|4BPWR|5DUR|6CDMG|7TLV|8RPLT|9DMSP
14	23243 16512	   	279.85	ACR|DCR|2VULN|2MLV|1CDMG	14MLV|2aRCR|34VULN|4BPWR|5RPLT|68CGEN|7DUR|9CDMG
15	23243 43412	   	279.75	ACR|DCR|2VULN|2MLV|1CDMG	14MLV|2aRCR|34VULN|4BPWR|5RPLT|6AELOIC|7DUR|8TLV|9CDMG
16	23242 21345	   	278.48	ACR|DCR|3VULN|2MLV	14MLV|29RCR|34aVULN|4BPWR|5DUR|6AAC|7ERES|8CANARM
17	23231 14662	   	277.97	ACR|DCR|3VULN|1MLV|1CDMG	1MLV|2aRCR|357VULN|4CDMG|6LHND|8CGEN|9RPLT
18	23231 24562	   	277.87	ACR|DCR|3VULN|1MLV|1CDMG	1MLV|2aRCR|357VULN|4CDMG|6LWND|8AME|9RPLT
19	43231 14162	   	277.87	ACR|DCR|3VULN|1MLV|1CDMG	1AME|2aRCR|357VULN|4CDMG|6LHND|8MLV|9RPLT
20	43231 24162	   	277.87	ACR|DCR|3VULN|1MLV|1CDMG	1AME|2aRCR|357VULN|4CDMG|6LWND|8MLV|9RPLT
21	23243 56332	   	277.76	ACR|DCR|2VULN|2MLV|2CDMG	14MLV|2aRCR|34VULN|4BPWR|5RPLT|6RMIN|79CDMG|8DUST
22	23243 53112	   	276.74	ACR|DCR|2VULN|2MLV|2RPLT|1CDMG	14MLV|2aRCR|34VULN|4BPWR|57RPLT|6RMIN|8LHND|9CDMG
23	23243 53412	   	276.74	ACR|DCR|2VULN|2MLV|2RPLT|1CDMG	14MLV|2aRCR|34VULN|4BPWR|57RPLT|6RMIN|8FEWX|9CDMG
24	23243 53212	   	276.64	ACR|DCR|2VULN|2MLV|2RPLT|1CDMG	14MLV|2aRCR|34VULN|4BPWR|57RPLT|6RMIN|8DUST|9CDMG
25	23242 21341	   	276.40	ACR|DCR|2VULN|2MLV|1DMG	14MLV|29RCR|34VULN|4BPWR|5DUR|6AAC|7ERES|8CANARM|aDMG
26	23143 52341	 * 	276.30	ACR|DCR|2MLV|1VULN|2ASPD|1DMG	16MLV|29RCR|3ERES|4DUR|56ASPD|6BPWR|7VULN|8CANARM|aDMG
27	23113 52345	 * 	274.14	ACR|DCR|2VULN|2MLV|2ASPD	16MLV|29RCR|3ERES|4BEXP|56ASPD|6BPWR|7aVULN|8CANARM
28	23133 52345	   	274.14	ACR|DCR|2VULN|2MLV|2ASPD	16MLV|29RCR|3ERES|4LHND|56ASPD|6BPWR|7aVULN|8CANARM
29	21261 23166	 * 	274.05	DCR|DCR|2MLV|1VULN|1ASPD	15MLV|2VULN|3TBNT|4ASPD|6RPLT|7LEGI|8aRCR|9FEWX
