0	Index      	 *	Score 	Summary	Detail	
1	32331 44521	 * 	286.10	橙橙3易伤1伤害	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9最后敌人a伤害
2	32331 44511	 * 	285.20	橙橙4易伤	149敌人爆炸245a易伤3双倍物品4序列升级68核7立即金币
3	42521 32361	 * 	276.84	橙橙2易伤2矿等	17掉矿25挖尘37矿等47易伤6赏金邻近7序列升级89核a立即金币
4	42521 32363	   	276.84	橙橙2易伤2矿等	17掉矿25挖尘37矿等47易伤6赏金邻近7序列升级89核a赏金塔
5	42521 32362	   	276.74	橙橙2易伤2矿等1策反	17掉矿25挖尘37矿等47易伤6赏金邻近7序列升级89核a策反
6	15322 62644	   	272.17	橙橙2易伤1伤害	1低血量敌人2基地爆炸3时间4a易伤5加一68核7最后敌人9伤害
7	12132 62644	   	272.17	橙橙2易伤1伤害	1低血量敌人2a易伤3基地爆炸4时间5加一68核7最后敌人9伤害
8	12312 62644	   	272.17	橙橙2易伤1伤害	1低血量敌人2a易伤3时间4基地爆炸5加一68核7最后敌人9伤害
9	32262 62624	   	272.17	橙橙2易伤1伤害	1敌人爆炸2a易伤3低血量敌人4时间5加一68核7最后敌人9伤害
10	12432 63733	   	268.84	橙橙1易伤1伤害1矿等1暴击	1低血量敌人2易伤3金币生成4加一5矿等68核7基地爆炸9暴击a伤害
11	32331 44512	   	266.04	橙橙3易伤	149敌人爆炸245易伤3双倍物品4序列升级68核7a立即金币
12	32331 44513	   	266.04	橙橙3易伤	149敌人爆炸245易伤3双倍物品4序列升级68核7立即金币a随机矿
13	32331 44522	   	266.04	橙橙3易伤	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9最后敌人a金币生成
14	32331 44523	   	266.04	橙橙3易伤	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9最后敌人a赏金塔
15	32332 44511	   	266.04	橙橙3易伤	149敌人爆炸24a易伤3双倍物品4序列升级57立即金币68核
16	32331 43222	   	265.94	橙橙3易伤	14敌人爆炸245易伤3双倍物品4序列升级6a核7基地爆炸8挖尘9最后敌人
17	32321 44511	   	265.94	橙橙3易伤	149敌人爆炸25a易伤3双倍物品68核7立即金币
18	32331 44532	   	265.94	橙橙3易伤	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9技能点a寒冰对甲
19	32331 44533	   	265.94	橙橙3易伤	14a敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9技能点
20	32331 44531	   	265.84	橙橙3易伤1挖怪	14敌人爆炸245易伤3双倍物品4序列升级68核7立即金币9技能点a挖怪
21	32332 44521	   	263.96	橙橙2易伤1伤害	14敌人爆炸24易伤3双倍物品4序列升级57立即金币68核9最后敌人a伤害
22	32321 44521	   	263.86	橙橙2易伤1伤害	14敌人爆炸25易伤3双倍物品68核7立即金币9最后敌人a伤害
23	42221 32366	   	263.56	橙橙2易伤1伤害	17掉矿25挖尘37技能点47易伤6赏金邻近7序列升级89核a伤害
24	15322 62641	   	263.49	橙橙1易伤1伤害1矿等	1低血量敌人2基地爆炸3时间4易伤5加一68核7最后敌人9伤害a矿等
25	35322 62621	   	263.49	橙橙1易伤1伤害1矿等	1敌人爆炸2基地爆炸3时间4易伤5加一68核7最后敌人9伤害a矿等
26	35322 63621	   	263.49	橙橙1易伤1伤害1矿等	1敌人爆炸2基地爆炸3时间4易伤5加一68核7低血量敌人9伤害a矿等
27	12132 62641	   	263.49	橙橙1易伤1伤害1矿等	1低血量敌人2易伤3基地爆炸4时间5加一68核7最后敌人9伤害a矿等
28	12312 62641	   	263.49	橙橙1易伤1伤害1矿等	1低血量敌人2易伤3时间4基地爆炸5加一68核7最后敌人9伤害a矿等
29	32132 62621	   	263.49	橙橙1易伤1伤害1矿等	1敌人爆炸2易伤3基地爆炸4时间5加一68核7最后敌人9伤害a矿等
30	32132 63621	   	263.49	橙橙1易伤1伤害1矿等	1敌人爆炸2易伤3基地爆炸4时间5加一68核7低血量敌人9伤害a矿等
31	32262 62621	   	263.49	橙橙1易伤1伤害1矿等	1敌人爆炸2易伤3低血量敌人4时间5加一68核7最后敌人9伤害a矿等
32	26112 53513	   	258.44	橙橙1易伤1矿等1暴击1平台	1额外掉落2暴击3易伤4矿等5双倍秒伤6平台7a核8随机矿9雷电
33	12223 12133	 * 	258.24	橙3易伤2伤害2矿等1平台	13低血量敌人246易伤56矿等6序列升级7a伤害8平台9核
