0	Index      	 *	Score 	Summary	Detail	
1	54111 13163	 * 	308.69	橙橙2易伤2伤害1攻速2时间	1a时间2a易伤3攻速4雷电5平台69核7双倍秒伤8a伤害a序列升级
2	62515 13123	 * 	295.85	橙橙1易伤1矿等1技能1攻速1暴击	1暴雪减费2易伤3随机技能4攻速5低血量敌人6矿等78核9技能a暴击
3	64315 13123	   	295.85	橙橙1易伤1矿等1技能1攻速1暴击	1暴雪减费2随机技能3攻速4易伤5低血量敌人6矿等78核9技能a暴击
4	15221 22313	 * 	294.27	橙橙1易伤1等级1矿等1伤害	18低血量敌人2赏金邻近3伤害4等级5易伤6风暴减费7a核9矿等
5	15221 22413	   	294.27	橙橙1易伤1等级1矿等1伤害	19低血量敌人2赏金邻近3伤害4等级5易伤6风暴减费7a核8矿等
6	15221 22443	   	294.17	橙橙1易伤1等级1矿等1伤害	1低血量敌人2赏金邻近3伤害4等级5易伤6风暴减费7a核8矿等9暴雪减费
7	11212 63146	 * 	293.92	橙橙2易伤1等级2时间	1a低血量敌人2策反3立即金币4a易伤5等级6随机技能78核9a时间a序列升级
8	14111 13163	   	293.83	橙橙2易伤2伤害1攻速	1a低血量敌人2a易伤3攻速4雷电5平台69核7双倍秒伤8a伤害a序列升级
9	11213 13164	 * 	291.86	橙橙2矿等1易伤1技能	1低血量敌人2策反3立即金币4易伤5随机技能69矿等78核a技能
10	11413 13164	   	291.86	橙橙2矿等1易伤1技能	13低血量敌人2策反4易伤5随机技能69矿等78核a技能
11	11213 13146	 * 	290.41	橙橙2易伤1矿等2时间	1a低血量敌人2策反3立即金币4a易伤5随机技能6矿等78核9a时间a序列升级
12	11413 13146	   	290.41	橙橙2易伤1矿等2时间	13a低血量敌人2策反4a易伤5随机技能6矿等78核9a时间a序列升级
13	62311 22166	 * 	290.28	紫橙2易伤1等级1矿等1伤害	1暴雪减费2a易伤38核4等级5随机技能6挖尘7伤害9矿等
14	11212 63164	   	289.55	橙橙1等级1易伤1矿等	1低血量敌人2策反3立即金币4易伤5等级6随机技能78核9矿等a时间
15	11213 13166	   	288.61	橙橙2矿等1易伤1暴击	1低血量敌人2策反3立即金币4易伤5随机技能69矿等78核a暴击
16	11413 13166	   	288.61	橙橙2矿等1易伤1暴击	13低血量敌人2策反4易伤5随机技能69矿等78核a暴击
17	11212 63141	   	287.17	橙橙2易伤1等级	1低血量敌人2策反3立即金币4a易伤5等级6随机技能78核9时间
18	11412 63141	   	287.17	橙橙2易伤1等级	13低血量敌人2策反4a易伤5等级6随机技能78核9时间
19	11213 13141	   	283.67	橙橙2易伤1矿等	1低血量敌人2策反3立即金币4a易伤5随机技能6矿等78核9时间
20	11413 13141	   	283.67	橙橙2易伤1矿等	13低血量敌人2策反4a易伤5随机技能6矿等78核9时间
21	36213 13141	   	283.57	橙橙2易伤1矿等	1策反2雷电减费3立即金币4a易伤5随机技能6矿等78核9时间
22	11213 13161	   	283.27	橙橙2矿等1易伤	1低血量敌人2策反3立即金币4易伤5随机技能69矿等78核a时间
