0	Index      	 *	Score 	Summary	Detail	
1	14511 33631	 * 	301.81	橙橙2易伤1等级1伤害1矿等1雷电	1赏金邻近2伤害3矿等4挖尘56易伤7等级89核a雷电
2	14511 33633	   	290.81	橙橙2易伤1等级1伤害1矿等	1赏金邻近2伤害3矿等4挖尘56易伤7等级89核a平台
3	14511 33632	   	290.71	橙橙2易伤1等级1伤害1矿等	1赏金邻近2伤害3矿等4挖尘56易伤7等级89核a赏金塔
4	14311 33636	   	288.86	橙橙2易伤1等级1伤害1攻速	1赏金邻近2伤害3随机矿4挖尘56易伤7等级89核a攻速
5	15211 33636	   	288.86	橙橙2易伤1等级1伤害1攻速	1赏金邻近2金币生成3伤害4挖尘56易伤7等级89核a攻速
6	14311 33631	   	286.21	橙橙2易伤1等级1伤害1雷电	1赏金邻近2伤害3随机矿4挖尘56易伤7等级89核a雷电
7	15211 33631	   	286.21	橙橙2易伤1等级1伤害1雷电	1赏金邻近2金币生成3伤害4挖尘56易伤7等级89核a雷电
8	14235 25131	 * 	284.63	橙橙2伤害1易伤1等级1雷电	1赏金邻近23伤害4金币生成5时间6等级79核8易伤a雷电
9	14311 33635	   	282.15	橙橙2易伤1等级1伤害	1赏金邻近2伤害3随机矿4挖尘56易伤7等级89核a时间
10	15211 33635	   	282.15	橙橙2易伤1等级1伤害	1赏金邻近2金币生成3伤害4挖尘56易伤7等级89核a时间
11	14234 15131	   	277.69	橙橙2伤害1易伤1等级1雷电	1赏金邻近23伤害4金币生成5等级6基地爆炸79核8易伤a雷电
12	25213 56232	 * 	276.30	橙橙1易伤1喷火对甲1伤害1暴击1攻速	1低血量敌人2伤害3暴击4挖尘5易伤6攻速7双倍秒伤8a核9喷火对甲
13	14511 23631	   	275.51	橙橙1易伤1等级1伤害1矿等1雷电	1赏金邻近2伤害3矿等4挖尘5易伤6烈焰减费7等级89核a雷电
14	14311 33633	   	275.21	橙橙2易伤1等级1伤害	1赏金邻近2伤害3随机矿4挖尘56易伤7等级89核a平台
15	14311 33634	   	275.21	橙橙2易伤1等级1伤害	1赏金邻近2伤害3随机矿4挖尘56易伤7等级89核a策反
16	15211 33633	   	275.21	橙橙2易伤1等级1伤害	1赏金邻近2金币生成3伤害4挖尘56易伤7等级89核a平台
17	15211 33634	   	275.21	橙橙2易伤1等级1伤害	1赏金邻近2金币生成3伤害4挖尘56易伤7等级89核a策反
18	14311 33632	   	275.11	橙橙2易伤1等级1伤害	1赏金邻近2伤害3随机矿4挖尘56易伤7等级89核a赏金塔
19	15211 33632	   	275.11	橙橙2易伤1等级1伤害	1赏金邻近2金币生成3伤害4挖尘56易伤7等级89核a赏金塔
20	14235 25133	   	273.63	橙橙2伤害1易伤1等级	1赏金邻近23伤害4金币生成5时间6等级79核8易伤a平台
21	14235 25132	   	273.53	橙橙2伤害1易伤1等级	1赏金邻近23伤害4金币生成5时间6等级79核8易伤a赏金塔
22	31431 14226	   	273.29	橙橙2易伤1等级1雷电	1雷电27易伤3低血量敌人4时间5随机技能6等级8a核9头目
23	34221 53226	   	273.29	橙橙2易伤1等级1雷电	1雷电2等级3时间46易伤5随机技能7低血量敌人8a核9头目
24	15311 33631	   	273.19	橙橙2易伤1等级1技能1雷电	1赏金邻近2金币生成3时间4技能56易伤7等级89核a雷电
