0	Index      	 *	Score 	Summary	Detail	
1	31618 31281	 * 	275.21	橙橙2易伤1喷火对甲1伤害	1最后敌人24易伤3加一5双倍秒伤6a核7敌人爆炸8喷火对甲9伤害
2	31644 43411	 * 	266.69	橙橙2易伤2伤害	1最后敌人25易伤3加一4随机技能69核7额外掉落8a伤害
3	44644 43411	   	266.59	橙橙2易伤2伤害	1挖青25易伤3加一4随机技能69核7额外掉落8a伤害
4	41412 13161	 * 	264.63	橙橙3易伤1暴击	1挖青2暴击3基础对愈4平台5赏金塔6a核789易伤
5	41612 13161	   	264.63	橙橙3易伤1暴击	1挖青2暴击3防空对甲4平台5赏金塔6a核789易伤
6	31644 43416	   	262.75	橙橙2易伤1伤害1时间	1最后敌人25易伤3加一4随机技能69核7额外掉落8伤害a时间
7	51214 43461	   	260.79	橙橙2易伤1导弹对毒1矿等1技能	12易伤3矿等4加一5金币生成6技能7导弹对毒8赏金塔9a核
8	51214 43561	   	260.79	橙橙2易伤1导弹对毒1矿等1技能	12易伤3矿等4加一5金币生成6技能7导弹对毒8赏金邻近9a核
9	31612 83461	   	257.92	橙橙3易伤	1最后敌人245易伤3加一6攻速7防空对甲8赏金塔9a核
10	51241 53122	 * 	257.65	橙5易伤1等级1矿等1暴击1技能	1259a易伤3矿等4技能6暴击7等级8核
11	51213 17117	 * 	256.99	紫橙2易伤1等级1伤害1矿等	12易伤3矿等4加一5a核6随机技能7等级8伤害9基地爆炸
12	51213 17147	   	256.89	紫橙2易伤1等级1伤害1矿等	12易伤3矿等4加一5a核6随机技能7等级8伤害9挖尘
13	51263 42122	 * 	256.84	橙橙2易伤2矿等	12易伤39矿等4随机技能5雷电6赏金邻近7a核8双倍秒伤
14	51333 42122	   	256.84	橙橙2易伤2矿等	12易伤3随机技能49矿等5雷电6赏金邻近7a核8双倍秒伤
15	31313 44512	 * 	253.21	橙4易伤2时间1等级1矿等	1最后敌人2479易伤3a时间5矿等6等级8核
16	51212 25173	 * 	250.95	橙4易伤2伤害2矿等	1278易伤39矿等4加一58最后敌人68伤害8序列升级a核
17	31644 43412	   	249.10	橙橙2易伤1伤害	1最后敌人25易伤3加一4随机技能69核7额外掉落8伤害a随机矿
18	31644 43415	   	249.10	橙橙2易伤1伤害	1最后敌人25易伤3加一4随机技能69核7额外掉落8伤害a敌人爆炸
19	31644 43413	   	249.00	橙橙2易伤1伤害	1最后敌人25易伤3加一4随机技能69核7额外掉落8伤害a爆破对壮
20	31644 43414	   	249.00	橙橙2易伤1伤害	1最后敌人25易伤3加一4随机技能69核7额外掉落8伤害a激光对冰
21	31644 43417	   	249.00	橙橙2易伤1伤害	1最后敌人25易伤3加一4随机技能69核7额外掉落8伤害a挖青
22	31645 22427	   	249.00	橙橙2易伤1伤害	1最后敌人28易伤3加一4随机技能5掉矿6伤害7a核9金币生成
23	44644 43412	   	249.00	橙橙2易伤1伤害	1挖青25易伤3加一4随机技能69核7额外掉落8伤害a随机矿
24	44644 43413	   	248.90	橙橙2易伤1伤害	1挖青25易伤3加一4随机技能69核7额外掉落8伤害a爆破对壮
25	44644 43414	   	248.90	橙橙2易伤1伤害	1挖青25易伤3加一4随机技能69核7额外掉落8伤害a激光对冰
26	13613 48364	 * 	247.81	橙3易伤2矿等1伤害2暴击1全技能	1a暴击2a矿等3加一4全技能5低血量敌人6核7伤害89a易伤a序列升级
27	31313 45512	 * 	246.34	橙3易伤2矿等2时间1等级	1最后敌人249易伤3a时间57矿等6等级8核
