0	Index      	 *	Score 	Summary	Detail	
1	35235 33234	 * 	299.76	橙橙3易伤2矿等1暴击	1攻速24矿等3金币生成59a易伤68核7暴击
2	35145 33232	   	287.37	橙橙3易伤1矿等1暴击	1攻速2矿等349易伤5掉矿68核7暴击a敌人爆炸
3	35145 33231	   	287.27	橙橙3易伤1矿等1暴击	1攻速2矿等349易伤5a掉矿68核7暴击
4	35145 33233	   	287.27	橙橙3易伤1矿等1暴击	1攻速2矿等349易伤5掉矿68核7暴击a电塔对甲
5	31634 33225	 * 	284.14	橙橙1易伤2矿等2时间2攻速1暴击	13攻速23时间3序列升级49矿等5技能点68核7暴击a易伤
6	35235 33233	   	277.63	橙橙2易伤2矿等1暴击	1攻速24矿等3金币生成59易伤68核7暴击a头目
7	35235 33236	   	277.63	橙橙2易伤2矿等1暴击	1攻速24矿等3金币生成59易伤68核7暴击a策反
8	35144 33223	   	277.53	橙橙2易伤2矿等1暴击	1攻速29矿等34易伤5技能点68核7暴击a头目
9	35145 33222	   	277.53	橙橙2易伤2矿等1暴击	1攻速29矿等34易伤5掉矿68核7暴击a敌人爆炸
10	35235 33231	   	277.53	橙橙2易伤2矿等1暴击	1攻速24矿等3金币生成59易伤68核7暴击a掉矿
11	35235 33232	   	277.53	橙橙2易伤2矿等1暴击1挖怪	1攻速24矿等3金币生成59易伤68核7暴击a挖怪
12	35235 33235	   	277.53	橙橙2易伤2矿等1暴击	1攻速24矿等3金币生成59易伤68核7暴击a加一
13	35144 33221	   	277.43	橙橙2易伤2矿等1暴击	1攻速29矿等34易伤5技能点68核7暴击a掉矿
14	35144 33222	   	277.43	橙橙2易伤2矿等1暴击1挖怪	1攻速29矿等34易伤5技能点68核7暴击a挖怪
15	35145 33221	   	277.43	橙橙2易伤2矿等1暴击	1攻速29矿等34易伤5a掉矿68核7暴击
16	35145 33223	   	277.43	橙橙2易伤2矿等1暴击	1攻速29矿等34易伤5掉矿68核7暴击a电塔对甲
17	31513 74183	 * 	275.73	橙橙1易伤2时间1等级1暴击	1攻速27时间3加一4金币生成5暴击6等级8a核9易伤
18	31543 74183	   	275.63	橙橙1易伤2时间1等级1暴击	1攻速27时间3加一4掉矿5暴击6等级8a核9易伤
19	35235 33224	 * 	274.17	橙橙3矿等1易伤1时间1暴击	1攻速249矿等3金币生成5易伤68核7暴击a时间
20	35235 33226	   	274.17	橙橙3矿等1易伤1暴击1技能	1攻速249矿等3金币生成5易伤68核7暴击a技能
