0	Index      	 *	Score 	Summary	Detail	
1	61232 44523	 * 	211.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DMG|2ASPD|3LWND|4CDMG|5RCR|6MBVNT|7BEXP|8VULN|9RPLT|aBASARM
2	25323 22356	 * 	210.69	ACR|1BASARM|2ASPD|1VULN|2AART	1MLV|2LWND|3VULN|4BELT|5RCR|6aAART|78ASPD|9BASARM
3	25323 22353	   	210.54	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1MLV|2LWND|3VULN|4BELT|5RCR|6AART|78ASPD|9BASARM|aBEXP
4	25323 22551	 * 	205.19	ACR|1BASARM|2VULN|1ASPD|1AART|1BEXP	1MLV|2LWND|3aVULN|4BELT|5RCR|6AART|7ASPD|8BEXP|9BASARM
5	61232 36263	 * 	202.95	ACR|2VULN|2ASPD|2DMG|1CDMG|1SELL	1aDMG|26ASPD|3aLWND|4CDMG|5RCR|7DUR|8aVULN|9SELL|aBPWR
6	32236 34413	   	201.89	ACR|1BASARM|2ASPD|1VULN|1AART	12DUR|2BPWR|3LWND|4RCR|5AART|67ASPD|8CGEN|9BASARM|aVULN
7	32331 43533	 * 	199.92	ACR|1BASARM|2VULN|2BEXP|1CDMG|1SELL	12DUR|2BPWR|37BEXP|4RCR|5SELL|6CDMG|89VULN|aBASARM
8	61232 42523	   	197.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DMG|2ASPD|3LWND|4CDMG|5RCR|6MBVNT|7LHND|8VULN|9RPLT|aBASARM
9	25323 22352	   	196.89	ACR|1BASARM|2ASPD|1VULN|1AART	1MLV|2LWND|3VULN|4BELT|5RCR|6AART|78ASPD|9BASARM|aCGEN
10	25323 22354	   	196.89	ACR|1BASARM|2ASPD|1VULN|1AART	1MLV|2LWND|3VULN|4BELT|5RCR|6AART|78ASPD|9BASARM|aLIT
11	61232 16333	 * 	196.75	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	18DMG|2ASPD|3LWND|4CDMG|5RCR|6LHND|79VULN|aBEXP
12	61232 31233	 * 	196.75	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	1DMG|26ASPD|3LWND|4CDMG|5RCR|7LHND|89VULN|aBEXP
13	61232 33323	 * 	194.97	ACR|2ASPD|2DMG|1VULN|2CDMG	19DMG|26ASPD|3LWND|48CDMG|5RCR|7CGEN|aVULN
14	32331 41233	 * 	193.82	ACR|1BASARM|2VULN|2CDMG|1BEXP|1SELL	12DUR|2BPWR|3BEXP|4RCR|5SELL|68CDMG|79VULN|aBASARM
15	11563 22423	 * 	192.73	ACR|1BASARM|2BEXP|2AART	1LWND|2LIT|3RCR|4DUR|56AART|7RPLT|8aBEXP|9BASARM
16	61232 11312	   	192.01	ACR|2ASPD|2DMG|1CDMG|1AART|1AAC	19DMG|29ASPD|3LWND|4CDMG|5RCR|69LHND|7RPLT|8AART|9BPWR|aAAC
17	32331 43511	 * 	191.87	ACR|3BEXP|2DMG|1VULN|1CDMG|1SELL	12aDUR|2aBPWR|37aBEXP|4RCR|5SELL|6CDMG|8VULN|9aDMG
18	25323 22552	   	191.66	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1MLV|2LWND|3VULN|4BELT|5RCR|6AART|7ASPD|8BEXP|9BASARM|aCGEN
19	65261 23321	   	190.41	ACR|2VULN|2ASPD|1DMG|1AART	1DMG|2LWND|3LIT|4RCR|5FEWX|67VULN|8aASPD|9AART
20	64262 23321	   	190.31	ACR|2VULN|2ASPD|1DMG|1AART	1DMG|2DUST|3LIT|4RCR|5LWND|67VULN|8aASPD|9AART
21	61232 11311	   	190.02	ACR|2ASPD|2DMG|2CDMG|1AART	19DMG|29ASPD|3LWND|4aCDMG|5RCR|69LHND|7RPLT|8AART|9BPWR
22	63433 33612	   	189.71	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1DMG|2LSRREG|3DUST|4RCR|5VULN|6CDMG|7TLV|8CGEN|9AAC|aBASARM
23	63433 23612	 * 	189.49	ACR|3VULN|2DMG|2BEXP	16DMG|2LSRREG|3DUST|4RCR|568VULN|6BPWR|7LWND|9aBEXP
24	11534 22135	 * 	189.36	ACR|3VULN|2ASPD|1DMG	1LWND|2LIT|3RCR|49ASPD|567VULN|8MDPS|aDMG
25	61333 53153	 * 	189.27	3VULN|3DMG|2ASPD|1CDMG|1BEXP|1AART	159DMG|29ASPD|3BEXP|4CDMG|69aVULN|7AART|8MBVNT|9BPWR
