0	Index      	 *	Score 	Summary	Detail	
1	26116 33141	 * 	231.23	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1MDPS|2RCR|3RCVC|4BEXP|5ASPD|6DMG|7AART|8VULN|9BASARM|aDUR
2	26116 33142	   	231.23	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1MDPS|2RCR|3RCVC|4BEXP|5ASPD|6DMG|7AART|8VULN|9BASARM|aLWND
3	26116 33143	   	231.23	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1MDPS|2RCR|3RCVC|4BEXP|5ASPD|6DMG|7AART|8VULN|9BASARM|aMLV
4	52262 31325	 * 	226.76	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9MSLREG|aASPD
5	52262 31351	   	219.15	ACR|1BASARM|2DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9BEXP|aZMB
6	52262 31352	   	219.15	ACR|1BASARM|2DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9BEXP|aLWND
7	52262 31314	   	219.05	ACR|1BASARM|2DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9ERES|aBEXP
8	52262 31353	   	219.05	ACR|1BASARM|2DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9BEXP|aNUKE
9	52262 31342	 * 	219.03	ACR|2VULN|1BASARM|2DMG|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|59VULN|67DMG|8BASARM|aRMIN
10	52262 31341	   	218.93	ACR|2VULN|1BASARM|2DMG|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|59VULN|67DMG|8BASARM|aVENFST
11	52262 31513	 * 	217.18	ACR|3DMG|2VULN|2BEXP|1CDMG	1aAEMAG|2RPLT|3RCR|4CDMG|5aVULN|678DMG|9aBEXP|aBPWR
12	52234 13521	   	216.41	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1CDMG	1AEMAG|2RPLT|3RCR|4AART|5VULN|6BASARM|7VENFST|8BEXP|9CDMG|aASPD
13	52234 11226	 * 	213.45	ACR|1BASARM|3AART|1VULN|1DMG	1AEMAG|2RPLT|3RCR|489AART|5VULN|6BASARM|7AAC|aDMG
14	26116 33151	 * 	212.56	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1AART	1MDPS|2RCR|3RCVC|4aBEXP|5ASPD|6DMG|7AART|8VULN|9CDMG
15	52234 11221	 * 	212.19	ACR|1BASARM|3AART|1VULN|1BASICY	1AEMAG|2RPLT|3RCR|489AART|5VULN|6BASARM|7AAC|aBASICY
16	26612 33341	 * 	206.63	ACR|1BASARM|1VULN|2AART|1ASPD	1MDPS|2RCR|3VULN|4ZMB|57AART|6ASPD|8DUST|9BASARM|aDUR
17	26612 33342	   	206.63	ACR|1BASARM|1VULN|2AART|1ASPD	1MDPS|2RCR|3VULN|4ZMB|57AART|6ASPD|8DUST|9BASARM|aLWND
18	26612 33343	   	206.63	ACR|1BASARM|1VULN|2AART|1ASPD	1MDPS|2RCR|3VULN|4ZMB|57AART|6ASPD|8DUST|9BASARM|aMLV
19	26412 34323	   	206.46	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1MDPS|2RCR|3DUST|4ZMB|5AART|6VULN|7BEXP|8LIT|9BASARM|aDMG
20	52262 31321	   	205.73	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9MSLREG|aRCVC
21	52262 31331	   	205.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9LWND|aZMB
22	52262 31332	   	205.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9aLWND
23	52262 31333	   	205.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9LWND|aDUR
24	52262 31334	   	205.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9LWND|aFEWX
25	52262 31361	   	205.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9DUR|aZMB
26	52262 31362	   	205.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9DUR|aLWND
27	52262 31311	   	205.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9ERES|aFEWX
28	52262 31312	   	205.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9ERES|aDUR
29	52262 31315	   	205.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2aRPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9ERES
30	52262 31316	   	205.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9ERES|aCGEN
31	52262 31326	   	205.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9MSLREG|aRMIN
32	52262 31336	   	205.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9LWND|aTLV
33	52262 31363	   	205.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9DUR|aNUKE
34	52262 31313	   	205.30	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9ERES|aDUST
35	52262 31322	   	205.30	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9MSLREG|aLSRREG
36	52262 31324	   	205.30	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|67DMG|8BASARM|9MSLREG|aERES
37	52262 31521	 * 	203.66	ACR|3DMG|1VULN|1ASPD|1CDMG|1AAC	1AEMAG|2RPLT|3RCR|4CDMG|5VULN|678DMG|9AAC|aASPD
38	52234 12111	   	203.34	ACR|1BASARM|1VULN|2AART|1ASPD	1AEMAG|2aRPLT|3RCR|48AART|5VULN|6BASARM|7RCVC|9ASPD
39	52234 12113	   	203.34	ACR|1BASARM|1VULN|2AART|1ASPD	1AEMAG|2RPLT|3RCR|48AART|5VULN|6BASARM|7RCVC|9ASPD|aFEWX
40	52234 12114	   	203.34	ACR|1BASARM|1VULN|2AART|1ASPD	1AEMAG|2RPLT|3RCR|48AART|5VULN|6BASARM|7RCVC|9ASPD|aMLV
41	52234 12112	   	203.24	ACR|1BASARM|1VULN|2AART|1ASPD	1AEMAG|2RPLT|3RCR|48AART|5VULN|6BASARM|7RCVC|9ASPD|aSNIHEL
42	52234 12115	   	203.24	ACR|1BASARM|1VULN|2AART|1ASPD	1AEMAG|2RPLT|3RCR|48AART|5VULN|6BASARM|7RCVC|9ASPD|aMBVNT
43	52234 12116	   	203.24	ACR|1BASARM|1VULN|2AART|1ASPD	1AEMAG|2RPLT|3RCR|48AART|5VULN|6BASARM|7RCVC|9ASPD|aERES
44	52263 33141	   	202.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5MDPS|6DMG|7AART|8VULN|9BASARM|aDUR
