0	Index      	 *	Score 	Summary	Detail	
1	25214 24131	 * 	249.76	ACR|3VULN|3ASPD|3DMG|1BEXP	189ASPD|289VULN|3FLTFST|4ERES|5RCR|6RPLT|789DMG|89BPWR|aBEXP
2	33211 24562	 * 	237.07	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1DUST|27VULN|3RCR|4ASPD|5DUR|6CDMG|8DMG|9BEXP|aBASARM
3	33213 24532	   	237.07	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1DUST|27VULN|3RCR|4ASPD|5BEXP|6CDMG|8DMG|9DUR|aBASARM
4	33213 24552	   	237.07	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1DUST|27VULN|3RCR|4ASPD|5BEXP|6CDMG|8DMG|9LHND|aBASARM
5	25214 24133	   	236.11	ACR|3VULN|3ASPD|3DMG	189ASPD|289VULN|3FLTFST|4ERES|5RCR|6RPLT|789DMG|89BPWR|aRMIN
6	25214 24132	   	236.01	ACR|3VULN|3ASPD|3DMG	189ASPD|289VULN|3FLTFST|4ERES|5RCR|6RPLT|789DMG|89BPWR|aAEFBLL
7	41166 12113	 * 	230.67	ACR|2BASARM|3VULN|2BEXP|1AART	16aVULN|26BEXP|3AART|4MDPS|5RCR|6aBPWR|7aBASARM|8RMIN|9aDUR
8	33255 31513	 * 	229.89	ACR|2BASARM|2ASPD|1VULN|1AART	1aDUST|2VULN|3RCR|4LEGI|5AART|6aASPD|7LHND|8LWND|9aBASARM|aBPWR
9	41211 51232	 * 	229.25	ACR|2VULN|2ASPD|2BEXP|1DMG|1AART	19VULN|26BEXP|3RCR|49ASPD|59DUR|7AART|8MBVNT|9BPWR|aDMG
10	41214 51232	   	229.25	ACR|2VULN|2ASPD|2BEXP|1DMG|1AART	19VULN|26BEXP|3RCR|49ASPD|59LHND|7AART|8MBVNT|9BPWR|aDMG
11	41214 25122	   	228.00	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1aVULN|2BEXP|3RCR|4aASPD|5LHND|6CDMG|7RPLT|8aDMG|9MDPS|aBPWR
12	41235 33511	 * 	225.31	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1VULN|2aBEXP|3RCR|4LHND|5AART|6ASPD|7DUR|8LWND|9BASARM
