0	Index      	 *	Score 	Summary	Detail	
1	36153 15123	 * 	240.17	ACR|2VULN|2ASPD|2DMG|2BEXP|2CDMG	1AAC|28CDMG|36BEXP|48ASPD|5RCR|78DMG|8BPWR|9aVULN
2	15335 21633	 * 	234.30	ACR|3VULN|1BASARM|2AART|1DMG	1SNIHEL|29aVULN|3RCR|4RCVC|5DMG|6BASARM|78AART
3	15325 21633	   	231.31	ACR|3VULN|1BASARM|2AART|1DMG	1SNIHEL|29aVULN|3RCR|4AEFBLL|5DMG|6BASARM|78AART
4	21525 21633	   	231.31	ACR|3VULN|1BASARM|2AART|1DMG	19aVULN|2AEFBLL|3RCR|4SNITOX|5DMG|6BASARM|78AART
5	12315 31335	 * 	226.16	ACR|3ASPD|1BASARM|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6ERES|7BASARM|89aASPD
6	12315 61335	   	226.16	ACR|3ASPD|1BASARM|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6TLV|7BASARM|89aASPD
7	14315 31335	   	226.16	ACR|3ASPD|1BASARM|1DMG|1CDMG	1SNIHEL|2FEWX|3RCR|4DMG|5CDMG|6ERES|7BASARM|89aASPD
8	36153 15121	   	223.88	ACR|2ASPD|2DMG|2BEXP|1VULN|2CDMG	1AAC|28CDMG|36BEXP|48ASPD|5RCR|78DMG|8BPWR|9VULN|aRCVC
9	15335 21126	 * 	223.48	ACR|1BASARM|2DMG|1VULN|2AART	1SNIHEL|2VULN|3RCR|4RCVC|59DMG|6BASARM|7aAART|8FEWX
10	36153 15122	   	223.46	ACR|2ASPD|2DMG|2BEXP|1VULN|2CDMG	1AAC|28CDMG|36BEXP|48ASPD|5RCR|78DMG|8BPWR|9VULN|aERES
11	15335 21422	   	223.33	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1SNIHEL|2VULN|3RCR|4RCVC|59DMG|6BASARM|7AART|8LIT|aBEXP
12	15335 24121	   	223.33	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1SNIHEL|2VULN|3RCR|4RCVC|59DMG|6BASARM|7BEXP|8BELT|aAART
