0	Index      	 *	Score 	Summary	Detail	
1	23114 15251	 * 	214.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9BEXP|aDMG
2	25272 14127	 * 	209.51	ACR|1BASARM|2ASPD|1BASICY|1CDMG	18ZMB|2RCVC|3MBVNT|4RCR|5BASICY|68LHND|78ASPD|8BPWR|9BASARM|aCDMG
3	13124 14236	 * 	209.33	ACR|1BASARM|2DMG|2BEXP|1CDMG	1RMIN|27LWND|3CDMG|47DMG|5RCR|67BEXP|7BPWR|8LIT|9FEWX|aBASARM
4	13124 14216	   	209.23	ACR|1BASARM|2DMG|2BEXP|1CDMG	1RMIN|27LWND|3CDMG|47DMG|5RCR|67BEXP|7BPWR|8LIT|9DUST|aBASARM
5	23114 15216	   	209.09	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9AAC|aDMG
6	11124 11343	 * 	207.11	ACR|1BASARM|2BEXP|1VULN|1BASICY|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AEMAG|9BASARM|aBASICY
7	11124 11543	   	207.11	ACR|1BASARM|2BEXP|1VULN|1BASICY|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AEFBLL|9BASARM|aBASICY
8	23114 15212	 * 	204.68	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9AAC|aAART
9	13124 14163	 * 	204.61	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG|1AAC	1RMIN|27LWND|3CDMG|47DMG|5RCR|67BEXP|7BPWR|8AAC|9AART|aVULN
10	23114 15252	   	201.68	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9BEXP|aAAC
11	23114 15221	   	200.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9LHND|aDMG
