0	Index      	 *	Score 	Summary	Detail	
1	43181 11115	 * 	221.68	DCR|2VULN|3ASPD|1BASARM|1DMG|1AART	135ASPD|2MBVNT|4BASARM|68VULN|7AART|9DMG|aRCR
2	45123 12351	 * 	219.58	ACR|3ASPD|2DMG|2BEXP|1VULN	13aASPD|2aBEXP|4RMIN|5RCR|6TLV|7RCVC|8VULN|9aDMG|aBPWR
3	45123 32351	   	219.58	ACR|3ASPD|2DMG|2BEXP|1VULN	13aASPD|2aBEXP|4RMIN|5RCR|6AME|7RCVC|8VULN|9aDMG|aBPWR
4	43181 11147	 * 	215.10	DCR|2VULN|3ASPD|1BASARM|2AART	135ASPD|2MBVNT|4BASARM|68VULN|79AART|aRCR
5	33381 34453	 * 	208.67	DCR|2BASARM|2DMG|1ASPD|2CDMG|1AART	19DMG|2MBVNT|3RCVC|49BASARM|5ASPD|6LIT|7AART|89CDMG|9BPWR|aRCR
6	33281 34453	   	205.26	DCR|2BASARM|2DMG|1ASPD|2CDMG|1AART	19DMG|2MBVNT|3AEFBLL|49BASARM|5ASPD|6LIT|7AART|89CDMG|9BPWR|aRCR
7	45123 52331	 * 	205.24	ACR|3VULN|3ASPD|2BEXP	139ASPD|29BEXP|4RMIN|5RCR|6AAC|7RCVC|89aVULN|9BPWR
8	52123 52351	   	202.55	ACR|2ASPD|2DMG|2BEXP|1VULN	1aBEXP|2CGEN|3aASPD|4AEFBLL|5RCR|6AAC|7RCVC|8VULN|9aDMG|aBPWR
9	43181 16314	   	202.51	DCR|3ASPD|1BASARM|1VULN|1DMG|1BEXP	135ASPD|2MBVNT|4BASARM|6VULN|7DUR|8BEXP|9DMG|aRCR
10	43181 18314	   	202.51	DCR|3ASPD|1BASARM|1VULN|1DMG|1BEXP	135ASPD|2MBVNT|4BASARM|6VULN|7LHND|8BEXP|9DMG|aRCR
11	43181 74314	   	202.51	DCR|3ASPD|1BASARM|1VULN|1DMG|1BEXP	135ASPD|2MBVNT|4BASARM|6DUR|7VULN|8BEXP|9DMG|aRCR
12	45123 22213	 * 	200.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	13ASPD|2BEXP|4RMIN|5RCR|6DUR|7RPLT|8TLV|9DMG|aBASARM
13	45123 42213	   	200.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	13ASPD|2BEXP|4RMIN|5RCR|6FEWX|7RPLT|8TLV|9DMG|aBASARM
14	52123 12662	   	200.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2CGEN|38ASPD|4AEFBLL|5RCR|6AME|7DMG|9RMIN|aBASARM
15	52123 32662	   	200.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2CGEN|38ASPD|4AEFBLL|5RCR|6TLV|7DMG|9RMIN|aBASARM
16	43181 11135	   	199.34	DCR|2VULN|3ASPD|1BASARM|1AART	135ASPD|2MBVNT|4BASARM|68VULN|7AART|9CGEN|aRCR
17	43181 11125	   	199.24	DCR|2VULN|3ASPD|1BASARM|1AART	135ASPD|2MBVNT|4BASARM|68VULN|7AART|9ERES|aRCR
18	52323 12632	 * 	198.89	ACR|1BASARM|2ASPD|2BEXP	19BEXP|29CGEN|3RCVC|4RMIN|5RCR|6AME|7ZMB|89ASPD|9BPWR|aBASARM
19	52323 32632	   	198.89	ACR|1BASARM|2ASPD|2BEXP	19BEXP|29CGEN|3RCVC|4RMIN|5RCR|6TLV|7ZMB|89ASPD|9BPWR|aBASARM
20	52323 15632	   	198.69	ACR|1BASARM|2ASPD|2BEXP	19BEXP|2CGEN|3RCVC|4RMIN|5RCR|69AME|7NUKE|89ASPD|9BPWR|aBASARM
21	52323 35632	   	198.69	ACR|1BASARM|2ASPD|2BEXP	19BEXP|2CGEN|3RCVC|4RMIN|5RCR|69TLV|7NUKE|89ASPD|9BPWR|aBASARM
22	56323 12632	   	198.69	ACR|1BASARM|2ASPD|2BEXP	19BEXP|29ERES|3RCVC|4RMIN|5RCR|6AME|7ZMB|89ASPD|9BPWR|aBASARM
23	56323 32632	   	198.69	ACR|1BASARM|2ASPD|2BEXP	19BEXP|29ERES|3RCVC|4RMIN|5RCR|6TLV|7ZMB|89ASPD|9BPWR|aBASARM
24	15353 51311	 * 	197.47	ACR|4VULN|3BEXP|2CDMG	1RPLT|27aBEXP|3RCVC|4RCR|57MLV|679aVULN|7aBPWR|8aCDMG
25	43181 11242	   	197.38	DCR|3ASPD|1BASARM|1VULN|1AART|1BEXP	135ASPD|2MBVNT|4BASARM|6VULN|7AART|8LIT|9BEXP|aRCR
26	45232 22532	 * 	197.29	3VULN|1BASARM|2ASPD|2DMG|2BEXP	19ASPD|24BEXP|369VULN|5LEGI|79DMG|8AAC|9BPWR|aBASARM
27	45231 22532	 * 	196.79	DCR|2VULN|3BEXP|2ASPD|2DMG	19ASPD|249BEXP|36VULN|5DUST|79DMG|8AAC|9BPWR|aRCR
28	62123 46311	 * 	195.96	ACR|3VULN|3BEXP|2ASPD	19aVULN|2CGEN|3aASPD|4AEMAG|5RCR|6FEWX|78aBEXP|aBPWR
29	52123 25311	   	195.96	ACR|3VULN|3BEXP|2ASPD	18aBEXP|2CGEN|3aASPD|4AEFBLL|5RCR|6DUR|79aVULN|aBPWR
30	52123 45311	   	195.96	ACR|3VULN|3BEXP|2ASPD	18aBEXP|2CGEN|3aASPD|4AEFBLL|5RCR|6FEWX|79aVULN|aBPWR
31	56123 25311	   	195.86	ACR|3VULN|3BEXP|2ASPD	18aBEXP|2ERES|3aASPD|4AEFBLL|5RCR|6DUR|79aVULN|aBPWR
32	22123 14532	   	195.48	ACR|1BASARM|2ASPD|2BEXP	19LWND|28CGEN|39ASPD|4AEFBLL|5RCR|6AME|79BEXP|9BPWR|aBASARM
33	52123 16532	   	195.48	ACR|1BASARM|2ASPD|2BEXP	19BEXP|27CGEN|39ASPD|4AEFBLL|5RCR|6AME|89LWND|9BPWR|aBASARM
34	52123 36532	   	195.48	ACR|1BASARM|2ASPD|2BEXP	19BEXP|27CGEN|39ASPD|4AEFBLL|5RCR|6TLV|89LWND|9BPWR|aBASARM
35	52123 41532	   	195.38	ACR|1BASARM|2ASPD|2BEXP	19BEXP|28CGEN|39ASPD|4AEFBLL|5RCR|6FEWX|79AME|9BPWR|aBASARM
36	52123 43532	   	195.38	ACR|1BASARM|2ASPD|2BEXP	19BEXP|28CGEN|39ASPD|4AEFBLL|5RCR|6FEWX|79TLV|9BPWR|aBASARM
37	52223 15632	   	195.38	ACR|1BASARM|2ASPD|2BEXP	19BEXP|29CGEN|3AEMAG|4RMIN|5RCR|6AME|7NUKE|89ASPD|9BPWR|aBASARM
38	52223 35632	   	195.38	ACR|1BASARM|2ASPD|2BEXP	19BEXP|29CGEN|3AEMAG|4RMIN|5RCR|6TLV|7NUKE|89ASPD|9BPWR|aBASARM
39	52123 13532	   	195.28	ACR|1BASARM|2ASPD|2BEXP	19BEXP|28CGEN|39ASPD|4AEFBLL|5RCR|6AME|79DUST|9BPWR|aBASARM
40	52123 16232	   	195.28	ACR|1BASARM|2ASPD|2BEXP	19BEXP|27CGEN|39ASPD|4AEFBLL|5RCR|6AME|89DUST|9BPWR|aBASARM
41	52123 25211	 * 	195.28	ACR|4VULN|2ASPD|2BEXP	1aBEXP|2CGEN|3aASPD|4AEFBLL|5RCR|6DUR|789aVULN|aBPWR
42	52123 33532	   	195.28	ACR|1BASARM|2ASPD|2BEXP	19BEXP|28CGEN|39ASPD|4AEFBLL|5RCR|6TLV|79DUST|9BPWR|aBASARM
43	52123 36232	   	195.28	ACR|1BASARM|2ASPD|2BEXP	19BEXP|27CGEN|39ASPD|4AEFBLL|5RCR|6TLV|89DUST|9BPWR|aBASARM
