0	Index      	 *	Score 	Summary	Detail	
1	26212 22524	 * 	238.47	ACR|3VULN|3DMG|3BEXP|1CDMG|1SELL	18aDMG|28aVULN|3RCVC|4RCR|5CDMG|6DUST|78aBEXP|8aBPWR|9SELL
2	13112 16625	 * 	238.10	ACR|2VULN|1BASARM|2ASPD|1DMG|1CDMG	12VULN|3MLV|4RCR|5CDMG|6DMG|78ASPD|9DUR|aBASARM
3	13112 31114	   	231.92	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9ASPD|aDMG
4	13412 31114	   	231.82	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9ASPD|aDMG
5	13112 31124	 * 	229.45	ACR|2VULN|1BASARM|2DMG|1BEXP|1CDMG|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9aDMG
6	13112 31364	 * 	229.45	ACR|2VULN|1BASARM|2DMG|1BEXP|1CDMG|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8aDMG|9BEXP
7	13412 31124	 * 	229.35	ACR|2VULN|1BASARM|2DMG|1BEXP|1CDMG|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9aDMG
8	13412 31364	 * 	229.35	ACR|2VULN|1BASARM|2DMG|1BEXP|1CDMG|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8aDMG|9BEXP
9	13114 66311	 * 	228.78	ACR|2VULN|1BASARM|2ASPD|2BEXP	12VULN|3MLV|4RCR|5SNITOX|68BEXP|7BASARM|9aASPD
10	13112 31111	   	228.51	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9ASPD|aAART
11	13112 31121	   	228.51	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP|1CDMG|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9DMG|aAART
12	13112 31361	   	228.51	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP|1CDMG|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8DMG|9BEXP|aAART
13	13412 31111	   	228.41	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9ASPD|aAART
14	13412 31121	   	228.41	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP|1CDMG|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9DMG|aAART
15	13412 31361	   	228.41	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP|1CDMG|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8DMG|9BEXP|aAART
16	33112 16615	   	228.38	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	1RCVC|2FEWX|3AME|4RCR|5CDMG|6DMG|78ASPD|9VULN|aBASARM
17	62111 34225	 * 	228.21	ACR|3BASARM|3BEXP|3CDMG	18aBEXP|28aCDMG|3MDPS|4RCR|5DUR|69ZMB|78aBASARM|8aBPWR
18	16212 13625	   	227.88	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	1VULN|28ASPD|3RCVC|4RCR|5CDMG|6DMG|7CGEN|9DUR|aBASARM
19	21212 36615	   	227.88	ACR|1BASARM|2ASPD|1VULN|1DMG|1CDMG	1DMG|2LHND|3RCVC|4RCR|5CDMG|6MLV|78ASPD|9VULN|aBASARM
20	13112 16325	 * 	227.52	ACR|3VULN|1BASARM|1ASPD|1DMG|1CDMG	128VULN|3MLV|4RCR|5CDMG|6DMG|7ASPD|9DUR|aBASARM
21	13412 16325	   	227.42	ACR|3VULN|1BASARM|1ASPD|1DMG|1CDMG	128VULN|3ERES|4RCR|5CDMG|6DMG|7ASPD|9DUR|aBASARM
22	16212 16331	 * 	227.37	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1aVULN|2ASPD|3RCVC|4RCR|5CDMG|67DMG|8AART|9BEXP
23	26211 41114	 * 	226.88	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1aDMG|2VULN|3RCVC|4RCR|56CGEN|7BASARM|8BEXP|9ASPD
24	62111 15342	 * 	226.56	ACR|2VULN|2ASPD|2BEXP|1DMG|2CDMG	18BEXP|28CDMG|3MDPS|4RCR|5DUR|6aVULN|78ASPD|8BPWR|9DMG
25	16212 16142	 * 	226.51	ACR|2ASPD|2DMG|1VULN|2BEXP|1CDMG	1VULN|2aASPD|3RCVC|4RCR|5CDMG|67DMG|89BEXP
26	62113 15342	   	226.46	ACR|2VULN|2ASPD|2BEXP|1DMG|2CDMG	18BEXP|28CDMG|3MDPS|4RCR|5DUST|6aVULN|78ASPD|8BPWR|9DMG
27	16212 16161	   	226.37	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP|1CDMG	1aVULN|2ASPD|3RCVC|4RCR|5CDMG|67DMG|8BEXP|9AART
28	16212 16612	 * 	226.30	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	18VULN|2aASPD|3RCVC|4RCR|5CDMG|67DMG|9BEXP
29	26212 14163	 * 	225.76	ACR|2VULN|2DMG|2AART|1CDMG|1BEXP	16DMG|29VULN|3RCVC|4RCR|5CDMG|78AART|aBEXP
30	26211 41111	   	224.94	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1DMG|2VULN|3RCVC|4RCR|56CGEN|7BASARM|8BEXP|9ASPD|aAART
31	13113 21144	   	224.82	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1AAC	12VULN|35MLV|4RCR|6ASPD|7BASARM|8BEXP|9AAC|aDMG
32	13113 21664	   	224.82	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1AAC	12VULN|35MLV|4RCR|6ASPD|7BASARM|8AAC|9BEXP|aDMG
33	16212 12331	 * 	223.62	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	1aVULN|2ASPD|3RCVC|4RCR|5CDMG|6DMG|7AART|89BEXP
34	16212 42135	   	222.94	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1VULN|2ASPD|3RCVC|4RCR|5CDMG|6DMSP|7CGEN|8BEXP|9DMG|aBASARM
35	16212 13325	   	221.92	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	18VULN|2ASPD|3RCVC|4RCR|5CDMG|6DMG|7CGEN|9DUR|aBASARM
36	26212 36325	   	221.92	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1DMG|28VULN|3RCVC|4RCR|5CDMG|6MLV|7ASPD|9DUR|aBASARM
37	26212 22531	 * 	221.65	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18DMG|28VULN|3RCVC|4RCR|5CDMG|6DUST|78BEXP|8BPWR|9ZMB|aASPD
38	26214 26213	 * 	221.64	ACR|2VULN|2ASPD|1DMG|2CDMG|1BASICY	1DMG|2aVULN|3RCVC|4RCR|5BASICY|6MLV|7aASPD|8LWND|9aCDMG|aBPWR
39	13514 61111	 * 	221.63	ACR|2VULN|2BEXP|1ASPD|1DMG|1BASICY|1AART	12VULN|3RMIN|4RCR|5BASICY|68BEXP|7DMG|9ASPD|aAART
40	26212 22561	   	221.55	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18DMG|28VULN|3RCVC|4RCR|5CDMG|6DUST|78BEXP|8BPWR|9TLV|aASPD
41	62341 33274	   	221.46	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG|1AAC	1aBEXP|2CDMG|3aVULN|4ASPD|5RCR|6TLV|7MBVNT|8aDMG|9AAC|aBPWR
42	13113 21141	   	221.41	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1AAC	12VULN|35MLV|4RCR|6ASPD|7BASARM|8BEXP|9AAC|aAART
43	13113 21661	   	221.41	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1AAC	12VULN|35MLV|4RCR|6ASPD|7BASARM|8AAC|9BEXP|aAART
44	13416 21141	   	221.21	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1AAC	12VULN|35ERES|4RCR|6ASPD|7BASARM|8BEXP|9AAC|aAART
45	13112 63736	   	220.92	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	12VULN|3MLV|4RCR|5CDMG|6RCVC|7MBVNT|8ASPD|9DMG|aBASARM
46	13112 31265	 * 	220.60	ACR|4VULN|2BASARM|3CDMG|1SELL	129aVULN|3MLV|4RCR|58aCDMG|6SELL|7aBASARM|aBPWR
47	13412 31265	 * 	220.50	ACR|4VULN|2BASARM|3CDMG|1SELL	129aVULN|3ERES|4RCR|58aCDMG|6SELL|7aBASARM|aBPWR
48	26212 14162	 * 	220.42	ACR|2VULN|2DMG|2AART|2CDMG	16DMG|29VULN|3RCVC|4RCR|5aCDMG|78AART
