0	Index      	 *	Score 	Summary	Detail	
1	36233 13353	 * 	227.55	ACR|1BASARM|3BEXP|2BASICY|1DMG	16BASICY|2ERES|3RCR|4FEWX|568BEXP|6BPWR|7AIRHEL|9BASARM|aDMG
2	36233 13355	   	221.13	ACR|1BASARM|3BEXP|2BASICY|1CDMG	16BASICY|2ERES|3RCR|4FEWX|568BEXP|6BPWR|7AIRHEL|9BASARM|aCDMG
3	36233 13351	   	207.48	ACR|1BASARM|3BEXP|2BASICY	16BASICY|2ERES|3RCR|4FEWX|568BEXP|6BPWR|7AIRHEL|9BASARM|aLIT
4	36233 13352	   	207.48	ACR|1BASARM|3BEXP|2BASICY	16BASICY|2ERES|3RCR|4FEWX|568BEXP|6BPWR|7AIRHEL|9BASARM|aCGEN
5	36233 13354	   	207.38	ACR|1BASARM|3BEXP|2BASICY	16BASICY|2ERES|3RCR|4FEWX|568BEXP|6BPWR|7AIRHEL|9BASARM|aAME
6	36233 13356	   	207.38	ACR|1BASARM|3BEXP|2BASICY	16BASICY|2ERES|3RCR|4FEWX|568BEXP|6BPWR|7AIRHEL|9BASARM|aMBVNT
7	35211 22452	   	206.67	ACR|1BASARM|1DMG|1BASICY|1BEXP|1CDMG	1BASICY|2AME|3RCR|45CGEN|6RCVC|7CDMG|8BEXP|9BASARM|aDMG
8	36211 22452	   	206.67	ACR|1BASARM|1DMG|1BASICY|1BEXP|1CDMG	1BASICY|2ERES|3RCR|45CGEN|6RCVC|7CDMG|8BEXP|9BASARM|aDMG
9	21266 23351	 * 	206.57	ACR|1BASARM|1ASPD|1DMG|1CDMG|1BEXP	1TLV|2CDMG|3RCR|4LIT|5ERES|6BEXP|7ASPD|8RMIN|9BASARM|aDMG
10	35213 22452	   	206.57	ACR|1BASARM|1DMG|1BASICY|1BEXP|1CDMG	1BASICY|25AME|3RCR|4CGEN|6RCVC|7CDMG|8BEXP|9BASARM|aDMG
11	35223 16241	   	203.16	ACR|1BASARM|2BEXP|2BASICY	16BASICY|2AME|3RCR|4LHND|56BEXP|6BPWR|7RCVC|8VULN|9TLV|aBASARM
12	35233 14241	   	203.16	ACR|1BASARM|2BASICY|2BEXP	16BASICY|2AME|3RCR|47FEWX|56BEXP|6BPWR|8VULN|9TLV|aBASARM
13	36223 16241	   	203.16	ACR|1BASARM|2BEXP|2BASICY	16BASICY|2ERES|3RCR|4LHND|56BEXP|6BPWR|7RCVC|8VULN|9TLV|aBASARM
14	21211 54363	 * 	201.71	ACR|2ASPD|2DMG|1BEXP|1CDMG|1AAC	1aTLV|2CDMG|3RCR|4aDMG|5LWND|6AAC|7BEXP|8MBVNT|9aASPD|aBPWR
15	35223 16311	 * 	201.65	ACR|2BEXP|2BASICY|1ASPD|1DMG|1AART	16BASICY|2AME|3RCR|4LHND|56BEXP|6BPWR|7RCVC|8AART|9DMG|aASPD
16	36223 16311	   	201.65	ACR|2BEXP|2BASICY|1ASPD|1DMG|1AART	16BASICY|2ERES|3RCR|4LHND|56BEXP|6BPWR|7RCVC|8AART|9DMG|aASPD
17	23236 42351	   	201.47	ACR|1BASARM|1ASPD|1DMG|1CDMG|1BEXP	1TLV|2ERES|3BEXP|4RCR|5LIT|6NUKE|7DMG|8CDMG|9BASARM|aASPD
18	35254 21323	 * 	201.31	ACR|2ASPD|2DMG|1BASICY|1AAC	1BASICY|2AME|3RCR|4SPLREG|5AAC|6aDMG|78ASPD|9VULN
19	36254 21323	   	201.31	ACR|2ASPD|2DMG|1BASICY|1AAC	1BASICY|2ERES|3RCR|4SPLREG|5AAC|6aDMG|78ASPD|9VULN
20	35212 13631	 * 	199.33	ACR|1BASARM|2VULN|1ASPD|1BASICY	1BASICY|2AME|3RCR|4CGEN|5LWND|67VULN|8ASPD|9RMIN|aBASARM
21	35224 33631	   	199.33	ACR|1BASARM|2VULN|1ASPD|1BASICY	1BASICY|2AME|3RCR|4LHND|57VULN|6CGEN|8ASPD|9RMIN|aBASARM
22	35223 16315	 * 	199.18	ACR|2DMG|2BEXP|2BASICY|1AART	16BASICY|2AME|3RCR|4LHND|56BEXP|6BPWR|7RCVC|8AART|9aDMG
23	36223 16315	   	199.18	ACR|2DMG|2BEXP|2BASICY|1AART	16BASICY|2ERES|3RCR|4LHND|56BEXP|6BPWR|7RCVC|8AART|9aDMG
