0	Index      	 *	Score 	Summary	Detail	
1	22142 14235	 * 	220.34	ACR|3VULN|2ASPD|2DMG|1AART	19aVULN|268LWND|3AART|4aASPD|5RCR|7aDMG|aBPWR
2	23635 24223	 * 	218.74	ACR|4VULN|3DMG|1ASPD	167aVULN|27AEMAG|3RCVC|4RCR|578DMG|7BPWR|9ASPD
3	22142 44213	 * 	218.24	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1VULN|289LWND|3AART|4ASPD|5RCR|67DMG|aBASARM
4	24634 21313	 * 	215.17	ACR|2VULN|3BEXP|2ASPD|1DMG	12VULN|3RCVC|4RCR|567BEXP|89ASPD|aDMG
5	23652 16233	 * 	214.79	ACR|2VULN|1BASARM|2DMG|1AART	18VULN|28AEMAG|3RCVC|4BASARM|5RCR|69CGEN|78DMG|8BPWR|aAART
6	22142 52154	   	214.75	ACR|2VULN|2ASPD|2BEXP|1DMG|1AART	18VULN|2LWND|3AART|48ASPD|5RCR|68BEXP|7MBVNT|8BPWR|9RCVC|aDMG
7	32652 23313	 * 	214.69	ACR|2BASARM|2ASPD|1VULN|1AART	19AME|2ERES|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89ASPD|9BPWR|aAART
8	32652 23513	 * 	214.69	ACR|2BASARM|2DMG|1VULN|1AART	19AME|2ERES|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89DMG|9BPWR|aAART
9	63652 23313	   	214.69	ACR|2BASARM|2ASPD|1VULN|1AART	19ERES|2AME|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89ASPD|9BPWR|aAART
10	11652 16221	   	214.33	ACR|2VULN|1BASARM|2DMG|1BEXP|2RCVC	13RCVC|28VULN|4BASARM|5RCR|689CGEN|78DMG|8BPWR|aBEXP
11	22142 14233	 * 	213.95	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	19VULN|268LWND|3AART|4ASPD|5RCR|7DMG|aBASARM
12	22142 52144	   	213.90	ACR|2VULN|2ASPD|2BEXP|1DMG|1AART	18VULN|2LWND|3AART|48ASPD|5RCR|68BEXP|7MBVNT|8BPWR|9AEFBLL|aDMG
13	22142 52263	   	212.82	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1VULN|2LWND|3AART|4ASPD|5RCR|6BEXP|7MBVNT|8DMG|9MDPS|aBASARM
14	23652 16221	   	212.44	ACR|2VULN|1BASARM|2DMG|1CDMG	18VULN|28AEMAG|3RCVC|4BASARM|5RCR|6CGEN|78DMG|8BPWR|9CDMG|aLWND
15	23652 16223	   	212.44	ACR|2VULN|1BASARM|2DMG|1CDMG	18VULN|28AEMAG|3RCVC|4BASARM|5RCR|6CGEN|78DMG|8BPWR|9CDMG|aDUR
16	23652 16222	   	212.34	ACR|2VULN|1BASARM|2DMG|1CDMG	18VULN|28AEMAG|3RCVC|4BASARM|5RCR|6CGEN|78DMG|8BPWR|9CDMG|aMDPS
17	22142 52114	 * 	211.69	ACR|2VULN|2ASPD|2BEXP|1BASICY|1AART	18VULN|2LWND|3AART|48ASPD|5RCR|68BEXP|7MBVNT|8BPWR|9RPLT|aBASICY
18	12235 13145	   	209.77	ACR|1BASARM|2DMG|1ASPD|1CDMG	1RCVC|23DUR|3BPWR|4RCR|59DMG|6ERES|7ASPD|8BASARM|aCDMG
19	22142 52171	 * 	209.49	ACR|2VULN|3ASPD|2BEXP|1AART	18VULN|2LWND|3AART|489ASPD|5RCR|68BEXP|7MBVNT|8BPWR|aTLV
20	22142 52172	   	209.49	ACR|2VULN|3ASPD|2BEXP|1AART	18VULN|2LWND|3AART|489ASPD|5RCR|68BEXP|7MBVNT|8BPWR|aDUST
21	22142 52173	   	209.49	ACR|2VULN|3ASPD|2BEXP|1AART	18VULN|2LWND|3AART|489ASPD|5RCR|68BEXP|7MBVNT|8BPWR|aAME
22	11652 13351	 * 	208.83	ACR|2VULN|1BASARM|1DMG|1BASICY|1AAC|2RCVC	13RCVC|27VULN|4BASARM|5RCR|6CGEN|8DMG|9BASICY|aAAC
23	11634 11421	 * 	208.07	ACR|2VULN|2DMG|2BEXP|1ASPD|2RCVC	13RCVC|29VULN|4RCR|59BEXP|6ERES|7LIT|89DMG|9BPWR|aASPD
24	11323 41425	   	207.89	ACR|3VULN|3DMG|1ASPD	1RCVC|29aVULN|3ZMB|4RCR|59aMLV|6ASPD|7LIT|89aDMG|9aBPWR
25	23652 16211	 * 	207.86	ACR|3VULN|1BASARM|2DMG	18aVULN|28AEMAG|3RCVC|4BASARM|5RCR|6CGEN|78DMG|8BPWR|9LWND
26	11321 41425	   	207.59	ACR|3VULN|3DMG|1ASPD	1RCVC|29aVULN|3ZMB|4RCR|59aAME|6ASPD|7LIT|89aDMG|9aBPWR
27	22142 52162	   	207.58	ACR|2VULN|2ASPD|2BEXP|1CDMG|1AART	18VULN|2LWND|3AART|48ASPD|5RCR|68BEXP|7MBVNT|8BPWR|9CDMG|aFEWX
28	22142 52164	   	207.58	ACR|2VULN|2ASPD|2BEXP|1CDMG|1AART	18VULN|2LWND|3AART|48ASPD|5RCR|68BEXP|7MBVNT|8BPWR|9CDMG|aDUR
29	22142 52131	   	207.48	ACR|2VULN|2ASPD|2BEXP|1CDMG|1AART	18VULN|2LWND|3AART|48ASPD|5RCR|68BEXP|7MBVNT|8BPWR|9LEGI|aCDMG
30	22142 52163	   	207.48	ACR|2VULN|2ASPD|2BEXP|1CDMG|1AART	18VULN|2LWND|3AART|48ASPD|5RCR|68BEXP|7MBVNT|8BPWR|9CDMG|aAME
31	22142 52132	 * 	207.35	ACR|2VULN|2ASPD|2BEXP|2AART	18VULN|2LWND|3aAART|48ASPD|5RCR|68BEXP|7MBVNT|8BPWR|9LEGI
32	13324 43141	 * 	206.77	ACR|2BASARM|1ASPD|1DMG|1BEXP	1RCVC|2BEXP|37CGEN|4RCR|5AAC|6ASPD|8aBASARM|9DMG
33	23635 24221	   	206.64	ACR|3VULN|3DMG|1ASPD	167VULN|27AEMAG|3RCVC|4RCR|578DMG|7BPWR|9ASPD|aFEWX
34	23635 24222	   	206.54	ACR|3VULN|3DMG|1ASPD	167VULN|27AEMAG|3RCVC|4RCR|578DMG|7BPWR|9ASPD|aMDPS
35	13324 43142	   	205.83	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1RCVC|2BEXP|37CGEN|4RCR|5AAC|6ASPD|8BASARM|9DMG|aVULN
36	11634 21313	   	205.70	ACR|3BEXP|2ASPD|1VULN|1DMG|2RCVC	13RCVC|2VULN|4RCR|567BEXP|89ASPD|aDMG
37	24323 41421	   	205.46	ACR|3VULN|2ASPD|2DMG	129VULN|3ZMB|4RCR|59MLV|6aASPD|7LIT|89DMG|9BPWR
38	24321 41421	   	205.26	ACR|3VULN|2ASPD|2DMG	129VULN|3ZMB|4RCR|59AME|6aASPD|7LIT|89DMG|9BPWR
39	34635 31213	   	204.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	19AME|2ASPD|3RCVC|4RCR|5DMG|6RMIN|7BEXP|8CDMG|aBASARM
40	22142 52124	 * 	204.85	ACR|3VULN|2ASPD|2BEXP|1AART	18aVULN|2aLWND|3AART|48ASPD|5RCR|68BEXP|7MBVNT|8aBPWR|9aTLV
41	23652 16212	   	204.72	ACR|2VULN|1BASARM|2DMG|1AAC	18VULN|28AEMAG|3RCVC|4BASARM|5RCR|6CGEN|78DMG|8BPWR|9LWND|aAAC
42	23652 13351	   	204.67	ACR|2VULN|1BASARM|1DMG|1BASICY|1AAC	17VULN|2AEMAG|3RCVC|4BASARM|5RCR|6CGEN|8DMG|9BASICY|aAAC
43	24634 23132	 * 	204.27	ACR|3VULN|3BEXP|2DMG	12aVULN|3RCVC|4RCR|56aBEXP|7DUST|8LWND|9aDMG|aBPWR
44	24634 21311	 * 	204.17	ACR|3VULN|3BEXP|2ASPD	12aVULN|3RCVC|4RCR|567BEXP|89ASPD
45	23634 11421	   	203.90	ACR|2VULN|2DMG|2BEXP|1ASPD	19VULN|2AEMAG|3RCVC|4RCR|59BEXP|6ERES|7LIT|89DMG|9BPWR|aASPD
46	22142 52136	   	202.79	ACR|2VULN|3BEXP|2ASPD|1AART	18VULN|2LWND|3AART|48ASPD|5RCR|68aBEXP|7MBVNT|8BPWR|9LEGI
47	12234 26141	 * 	201.54	ACR|2BASARM|2BEXP|1DMG	1RCVC|23DUR|3BPWR|4RCR|56BEXP|7ERES|8aBASARM|9DMG
48	13324 22141	   	201.54	ACR|2BASARM|2BEXP|1DMG	1RCVC|26BEXP|3CGEN|4RCR|5AAC|7RMIN|8aBASARM|9DMG
49	23634 21313	   	201.54	ACR|3BEXP|2ASPD|1VULN|1DMG	1VULN|2AEMAG|3RCVC|4RCR|567BEXP|89ASPD|aDMG
50	11652 16222	   	200.98	ACR|2VULN|1BASARM|2DMG|3RCVC	13aRCVC|28VULN|4BASARM|5RCR|689CGEN|78DMG|8BPWR
51	11652 16211	   	200.68	ACR|2VULN|1BASARM|2DMG|2RCVC	13RCVC|28VULN|4BASARM|5RCR|68CGEN|78DMG|8BPWR|9RPLT|aLWND
52	11652 16213	   	200.68	ACR|2VULN|1BASARM|2DMG|2RCVC	13RCVC|28VULN|4BASARM|5RCR|68CGEN|78DMG|8BPWR|9RPLT|aDUR
53	11652 16212	   	200.58	ACR|2VULN|1BASARM|2DMG|2RCVC	13RCVC|28VULN|4BASARM|5RCR|68CGEN|78DMG|8BPWR|9RPLT|aMDPS
54	11652 16223	   	200.58	ACR|2VULN|1BASARM|2DMG|2RCVC	13RCVC|28VULN|4BASARM|5RCR|689CGEN|78DMG|8BPWR|aTLV
55	24652 13321	   	200.55	ACR|3VULN|1BASARM|1DMG|1BEXP	127VULN|3RCVC|4BASARM|5RCR|69CGEN|8DMG|aBEXP
56	24652 23222	   	200.55	ACR|3VULN|1BASARM|1DMG|1BEXP	127VULN|3RCVC|4BASARM|5RCR|6ZMB|8DMG|9CGEN|aBEXP
57	22142 14513	   	200.55	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|269LWND|3AART|4ASPD|5RCR|7DMG|8RCVC|aBASARM
58	11652 13353	   	200.53	ACR|2VULN|1BASARM|1DMG|1BASICY|2RCVC	13RCVC|27VULN|4BASARM|5RCR|6aCGEN|8DMG|9BASICY
59	11652 13352	   	200.43	ACR|2VULN|1BASARM|1DMG|1BASICY|2RCVC	13RCVC|27VULN|4BASARM|5RCR|6CGEN|8DMG|9BASICY|aAEMAG
60	22142 14243	   	200.12	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|268LWND|3AART|4ASPD|5RCR|7DMG|9RCVC|aBASARM
61	11652 23351	   	200.03	ACR|2VULN|1BASARM|1DMG|1AART|3RCVC	138RCVC|27VULN|4BASARM|5RCR|6ZMB|9AART|aDMG
62	22142 12245	   	200.03	ACR|2VULN|2ASPD|2BEXP|1AART|1AAC	1aVULN|26LWND|3AART|4aASPD|5RCR|7BELT|8aBEXP|9AAC|aBPWR
63	32652 41211	   	199.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AME|2ERES|3RCVC|4BASARM|5RCR|6CDMG|7BEXP|8ASPD|9DMG|aLWND
64	32652 41213	   	199.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AME|2ERES|3RCVC|4BASARM|5RCR|6CDMG|7BEXP|8ASPD|9DMG|aDUR
65	22142 52138	   	199.83	ACR|2VULN|2ASPD|2BEXP|1AART|1AAC	18VULN|2LWND|3AART|48ASPD|5RCR|68BEXP|7MBVNT|8BPWR|9LEGI|aAAC
66	32652 41212	   	199.78	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AME|2ERES|3RCVC|4BASARM|5RCR|6CDMG|7BEXP|8ASPD|9DMG|aMDPS
67	11632 41421	   	199.61	ACR|2VULN|2ASPD|2DMG|2RCVC	13RCVC|29VULN|4RCR|59LWND|6aASPD|7LIT|89DMG|9BPWR
68	11652 41232	 * 	199.50	ACR|1BASARM|1VULN|2BEXP|1CDMG|1AAC|2RCVC	13RCVC|2VULN|4BASARM|5RCR|6CDMG|79BEXP|8DUR|aAAC
69	34633 33521	   	199.49	ACR|3ASPD|2VULN|2BEXP	19AME|29aASPD|3RCVC|4RCR|5LIT|68VULN|79BEXP|9BPWR
70	12234 26142	   	199.29	ACR|1BASARM|2BEXP|1DMG|1VULN	1RCVC|23DUR|3BPWR|4RCR|56BEXP|7ERES|8BASARM|9DMG|aVULN
71	13324 22142	   	199.29	ACR|1BASARM|2BEXP|1DMG|1VULN	1RCVC|26BEXP|3CGEN|4RCR|5AAC|7RMIN|8BASARM|9DMG|aVULN
72	22142 32263	   	199.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2LWND|3AART|4ASPD|5RCR|6DUR|7MBVNT|8DMG|9MDPS|aBASARM
73	22142 43213	   	199.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2LWND|3AART|4ASPD|5RCR|6DMG|7MDPS|8DUR|9DUST|aBASARM
74	22142 62263	   	199.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2LWND|3AART|4ASPD|5RCR|6FEWX|7MBVNT|8DMG|9MDPS|aBASARM
75	11652 12363	   	198.92	ACR|1BASARM|2VULN|1ASPD|1AART|2RCVC	13RCVC|29VULN|4BASARM|5RCR|6CGEN|7FEWX|8ASPD|aAART
76	11652 13151	   	198.92	ACR|2VULN|1BASARM|1DMG|1AART|2RCVC	13RCVC|27VULN|4BASARM|5RCR|68CGEN|9AART|aDMG
77	11652 13343	   	198.92	ACR|2VULN|1BASARM|1DMG|1AART|2RCVC	13RCVC|27VULN|4BASARM|5RCR|6CGEN|8DMG|9LHND|aAART
78	11652 22252	   	198.92	ACR|2VULN|1BASARM|1DMG|1AART|2RCVC	13RCVC|28VULN|4BASARM|5RCR|6ZMB|7FEWX|9AART|aDMG
79	11652 23224	   	198.92	ACR|2VULN|1BASARM|1DMG|1AART|2RCVC	13RCVC|27VULN|4BASARM|5RCR|6ZMB|8DMG|9CGEN|aAART
80	11652 23243	   	198.92	ACR|2VULN|1BASARM|1DMG|1AART|2RCVC	13RCVC|27VULN|4BASARM|5RCR|6ZMB|8DMG|9LHND|aAART
81	11652 11363	   	198.82	ACR|1BASARM|2VULN|1ASPD|1AART|2RCVC	13RCVC|29VULN|4BASARM|5RCR|6CGEN|7DUST|8ASPD|aAART
82	11652 21252	   	198.82	ACR|2VULN|1BASARM|1DMG|1AART|2RCVC	13RCVC|28VULN|4BASARM|5RCR|6ZMB|7DUST|9AART|aDMG
83	11652 23234	   	198.82	ACR|2VULN|1BASARM|1DMG|1AART|2RCVC	13RCVC|27VULN|4BASARM|5RCR|6ZMB|8DMG|9ERES|aAART
84	32652 23314	   	198.44	ACR|2BASARM|2ASPD|1VULN	19AME|2ERES|3RCVC|49BASARM|5RCR|6aZMB|7VULN|89ASPD|9BPWR
85	32652 23316	   	198.44	ACR|2BASARM|2ASPD|1VULN	19AME|2ERES|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89ASPD|9BPWR|aDUR
86	24652 12213	 * 	198.44	ACR|3VULN|2BASARM|1AART	129VULN|3RCVC|49BASARM|5RCR|6CGEN|7FEWX|89TLV|9BPWR|aAART
87	32652 23311	   	198.34	ACR|2BASARM|2ASPD|1VULN	19AME|2ERES|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89ASPD|9BPWR|aAIRARM
88	32652 23312	   	198.34	ACR|2BASARM|2ASPD|1VULN	19AME|2ERES|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89ASPD|9BPWR|aAIRHEL
89	32652 23315	   	198.34	ACR|2BASARM|2ASPD|1VULN	19aAME|2ERES|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89ASPD|9BPWR
90	32652 23511	   	198.34	ACR|2BASARM|2DMG|1VULN	19AME|2ERES|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89DMG|9BPWR|aAIRARM
91	32652 23512	   	198.34	ACR|2BASARM|2DMG|1VULN	19AME|2ERES|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89DMG|9BPWR|aAIRHEL
92	63652 23311	   	198.34	ACR|2BASARM|2ASPD|1VULN	19ERES|2AME|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89ASPD|9BPWR|aAIRARM
93	63652 23312	   	198.34	ACR|2BASARM|2ASPD|1VULN	19ERES|2AME|3RCVC|49BASARM|5RCR|6ZMB|7VULN|89ASPD|9BPWR|aAIRHEL
94	24652 11213	   	198.34	ACR|3VULN|2BASARM|1AART	129VULN|3RCVC|49BASARM|5RCR|6CGEN|7DUST|89TLV|9BPWR|aAART
95	12234 21541	 * 	198.22	ACR|1BASARM|3BEXP|1ASPD	1RCVC|23DUR|3BPWR|4RCR|567BEXP|8LSRREG|9ASPD|aBASARM
96	11652 14322	   	197.65	ACR|1BASARM|2VULN|1ASPD|1CDMG|3RCVC	138RCVC|2aVULN|4BASARM|5RCR|6CGEN|7CDMG|9ASPD
97	11652 42322	   	197.65	ACR|1BASARM|2VULN|1ASPD|1CDMG|3RCVC	138RCVC|2aVULN|4BASARM|5RCR|6CDMG|7CGEN|9ASPD
98	11635 22632	   	197.17	ACR|3VULN|2DMG|2BEXP|2RCVC	13RCVC|26aVULN|4RCR|57DMG|8aDUR|9aBEXP|aBPWR
99	12626 36122	 * 	197.07	ACR|3ASPD|3BEXP|1CDMG	1RCVC|29aDUR|39aASPD|4RCR|5CDMG|6SNITOX|79aBEXP|8DMSP|9aBPWR
100	11636 53132	   	197.07	ACR|3VULN|2DMG|2BEXP|2RCVC	13RCVC|25aVULN|4RCR|5aBPWR|6aBEXP|7DUST|8LWND|9aDMG
101	11634 24132	   	196.99	ACR|2VULN|3BEXP|2DMG|2RCVC	13RCVC|2aVULN|4RCR|56aBEXP|7DUR|8LWND|9aDMG|aBPWR
102	11634 23132	   	196.89	ACR|2VULN|3BEXP|2DMG|2RCVC	13RCVC|2aVULN|4RCR|56aBEXP|7DUST|8LWND|9aDMG|aBPWR
103	24125 12243	 * 	196.83	ACR|5VULN|3DMG	12489VULN|369ERES|5RCR|79aDMG|9BPWR
104	11634 21311	   	196.79	ACR|2VULN|3BEXP|2ASPD|2RCVC	13RCVC|2aVULN|4RCR|567BEXP|89ASPD
105	11652 14222	   	196.54	ACR|1BASARM|2VULN|1ASPD|1CDMG|2RCVC	13RCVC|2aVULN|4BASARM|5RCR|68CGEN|7CDMG|9ASPD
106	11652 42222	   	196.54	ACR|1BASARM|2VULN|1ASPD|1CDMG|2RCVC	13RCVC|2aVULN|4BASARM|5RCR|6CDMG|78CGEN|9ASPD
