0	Index      	 *	Score 	Summary	Detail	
1	45333 23633	 * 	255.61	ACR|1BASARM|2DMG|2BEXP|2VULN|2CDMG	1RCR|29BEXP|3aVULN|4LIT|5BASARM|6aCDMG|7LHND|8aDMG|aBPWR
2	45333 24323	   	240.77	ACR|1BASARM|2DMG|2VULN|2CDMG|1BEXP	1RCR|2BEXP|3aVULN|4LIT|5BASARM|6aCDMG|79DUR|8aDMG|aBPWR
3	45313 21621	 * 	233.37	ACR|2ASPD|2BEXP|2AART|2VULN|1DMG	1RCR|28BEXP|38VULN|47AART|5RPLT|68ASPD|8BPWR|9DMG|aDUR
4	45313 21623	   	233.37	ACR|2ASPD|2BEXP|2AART|2VULN|1DMG	1RCR|28BEXP|38VULN|47AART|5RPLT|68ASPD|8BPWR|9DMG|aMLV
5	45313 21622	   	233.27	ACR|2ASPD|2BEXP|2AART|2VULN|1DMG	1RCR|28BEXP|38VULN|47AART|5RPLT|68ASPD|8BPWR|9DMG|aAME
6	45313 22623	 * 	232.18	ACR|3BEXP|2ASPD|2VULN|1BASICY|1AART	1RCR|278BEXP|38VULN|4AART|5RPLT|68ASPD|8BPWR|9DUR|aBASICY
7	45333 23632	   	231.51	ACR|1BASARM|2BEXP|2VULN|1DMG|1CDMG	1RCR|29BEXP|3aVULN|4LIT|5BASARM|6CDMG|7LHND|8DMG
8	45152 11432	 * 	229.10	ACR|2ASPD|2BEXP|2BASICY|1DMG|1AART|1SELL	1RCR|29BEXP|3SELL|4AART|5DMG|6MBVNT|79ASPD|89BASICY|9BPWR|aDUR
9	45152 11433	 * 	229.10	ACR|2ASPD|2BEXP|2BASICY|1DMG|1AART|1SELL	1RCR|29BEXP|3SELL|4AART|5DMG|6MBVNT|79ASPD|89BASICY|9BPWR|aMLV
10	45152 11431	 * 	229.00	ACR|2ASPD|2BEXP|2BASICY|1DMG|1AART|1SELL	1RCR|29BEXP|3SELL|4AART|5DMG|6MBVNT|79ASPD|89BASICY|9BPWR|aTLV
11	45152 11434	 * 	229.00	ACR|2ASPD|2BEXP|2BASICY|1DMG|1AART|1SELL	1RCR|29BEXP|3SELL|4AART|5DMG|6MBVNT|79ASPD|89BASICY|9BPWR|aDUST
12	45313 21632	 * 	228.72	ACR|3ASPD|2BEXP|2AART|2VULN|1SELL	1RCR|28BEXP|38VULN|47AART|5RPLT|68aASPD|8BPWR|9SELL
13	44433 21331	 * 	226.69	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1RCR|2VULN|39BEXP|4LIT|5BASARM|6CDMG|7ERES|8ASPD|aAAC
14	44433 22331	   	226.69	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1RCR|2VULN|39BEXP|4LIT|5BASARM|6CDMG|7TLV|8ASPD|aAAC
15	45333 21331	   	226.69	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1RCR|29BEXP|3VULN|4LIT|5BASARM|6CDMG|7ERES|8ASPD|aAAC
16	45333 22331	   	226.69	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1RCR|29BEXP|3VULN|4LIT|5BASARM|6CDMG|7TLV|8ASPD|aAAC
