0	Index      	 *	Score 	Summary	Detail	
1	13331 55412	 * 	285.30	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1DUR|2DMG|3MLV|4FEWX|5ASPD|6MDPS|7VULN|8aRCR|9TLV
2	13233 55412	   	278.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1AAC	1DUR|2DMG|3AAC|4MLV|5FEWX|6MDPS|7VULN|8aRCR|9TLV
3	13313 55412	   	278.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1AAC	1DUR|2DMG|3MLV|4AAC|5FEWX|6MDPS|7VULN|8aRCR|9TLV
4	23331 55412	   	271.65	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1LWND|2DMG|3MLV|4FEWX|5ASPD|6MDPS|7VULN|8aRCR|9TLV
5	13411 35412	 * 	271.45	DCR|DCR|1VULN|2DUR|1DMG|1MLV	15DUR|2DMG|3TBNT|4AME|6ASPD|7VULN|8aRCR|9MLV
6	12211 55412	   	269.59	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2AME|3LHND|4DMG|5ASPD|6MDPS|7VULN|8aRCR|9TLV
7	13131 55412	   	269.59	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2DMG|3AME|4FEWX|5ASPD|6MDPS|7VULN|8aRCR|9TLV
8	23233 55412	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1LWND|2DMG|3AAC|4MLV|5FEWX|6MDPS|7VULN|8aRCR|9TLV
9	23313 55412	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1LWND|2DMG|3MLV|4AAC|5FEWX|6MDPS|7VULN|8aRCR|9TLV
10	13113 55412	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1DUR|2DMG|3AME|4AAC|5FEWX|6MDPS|7VULN|8aRCR|9TLV
11	14312 25121	   	262.55	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	17DUR|2AETHUN|3BBNT|4CDMG|5VULN|6DMG|89RCR|aLIT
12	14312 25122	   	262.55	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	17DUR|2AETHUN|3BBNT|4CDMG|5VULN|6DMG|89RCR|aLHND
13	14312 25123	   	262.55	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	17DUR|2AETHUN|3BBNT|4CDMG|5VULN|6DMG|89RCR|aFEWX
14	14312 25126	   	262.55	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	17DUR|2AETHUN|3BBNT|4CDMG|5VULN|6DMG|89RCR|aBEXP
15	14512 25121	   	262.55	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	17DUR|2AETHUN|3TBNT|4CDMG|5VULN|6DMG|89RCR|aLIT
16	14512 25122	   	262.55	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	17DUR|2AETHUN|3TBNT|4CDMG|5VULN|6DMG|89RCR|aLHND
17	14512 25123	   	262.55	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	17DUR|2AETHUN|3TBNT|4CDMG|5VULN|6DMG|89RCR|aFEWX
18	14312 25124	   	262.45	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	17DUR|2AETHUN|3BBNT|4CDMG|5VULN|6DMG|89RCR|aAEFRZ
19	14312 25125	   	262.45	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	17DUR|2AETHUN|3BBNT|4CDMG|5VULN|6DMG|89RCR|aMDPS
20	24312 22123	 * 	260.35	DCR|DCR|2DMG|1VULN|2CDMG	1LWND|2AETHUN|3BBNT|47CDMG|5VULN|6aDMG|89RCR
21	13325 31234	 * 	259.92	DCR|DCR|1FLTARM|1DMG|1MLV|1DUR|1CDMG	1DUR|2DMG|3MLV|4MDPS|5RCVC|6FLTARM|7FEWX|8CDMG|9aRCR
22	13325 33234	   	259.82	DCR|DCR|1FLTARM|1DMG|1MLV|1DUR|1CDMG	1DUR|2DMG|3MLV|4MDPS|5RCVC|6FLTARM|7LEGI|8CDMG|9aRCR
23	13322 35234	   	259.72	DCR|DCR|1TLV|1DMG|1MLV|1DUR|1CDMG	1DUR|2DMG|3MLV|4MDPS|5ERES|6TLV|7BLAICY|8CDMG|9aRCR
24	14312 22121	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3BBNT|47CDMG|5VULN|6DMG|89RCR|aLIT
25	14312 22122	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3BBNT|47CDMG|5VULN|6DMG|89RCR|aLHND
26	14312 22123	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3BBNT|47CDMG|5VULN|6DMG|89RCR|aFEWX
27	14312 22126	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3BBNT|47CDMG|5VULN|6DMG|89RCR|aBEXP
28	14512 22121	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3TBNT|47CDMG|5VULN|6DMG|89RCR|aLIT
29	14512 22122	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3TBNT|47CDMG|5VULN|6DMG|89RCR|aLHND
30	14512 22123	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3TBNT|47CDMG|5VULN|6DMG|89RCR|aFEWX
31	14512 22126	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3TBNT|47CDMG|5VULN|6DMG|89RCR|aBEXP
32	14312 22124	   	256.31	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3BBNT|47CDMG|5VULN|6DMG|89RCR|aAEFRZ
33	14312 22125	   	256.31	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3BBNT|47CDMG|5VULN|6DMG|89RCR|aMDPS
34	14512 22124	   	256.31	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3TBNT|47CDMG|5VULN|6DMG|89RCR|aAEFRZ
35	14512 22125	   	256.31	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DUR|2AETHUN|3TBNT|47CDMG|5VULN|6DMG|89RCR|aMDPS
36	22211 55412	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1LWND|2AME|3LHND|4DMG|5ASPD|6MDPS|7VULN|8aRCR|9TLV
37	23131 55412	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1LWND|2DMG|3AME|4FEWX|5ASPD|6MDPS|7VULN|8aRCR|9TLV
