0	Index      	 *	Score 	Summary	Detail	
1	11311 66116	 * 	290.31	DCR|DCR|4VULN|1DMG	1MSLFST|2LWND|3579VULN|4DMG|6aRCR|8DLOT
2	11311 63116	 * 	288.73	DCR|DCR|3VULN|2DMG	1MSLFST|2LWND|359VULN|47DMG|6aRCR|8DLOT
3	11311 66136	   	288.73	DCR|DCR|3VULN|2DMG	1MSLFST|2LWND|357VULN|49DMG|6aRCR|8DLOT
4	53133 62163	 * 	281.45	DCR|DCR|2VULN|1FLTARM|1TLV	1RCVC|2TLV|3RAT|4CGEN|5MDPS|68VULN|79RCR|aFLTARM
5	36261 32234	   	280.53	DCR|DCR|3VULN|1MLV|1AART	156VULN|2AART|3LIT|4CGEN|7aRCR|8MLV|9RAT
6	36255 32233	   	280.43	DCR|DCR|3VULN|1MLV|1AART	146VULN|2AART|3LIT|5RMIN|7aRCR|8MLV|9ERES
7	36515 32233	   	280.43	DCR|DCR|3VULN|1MLV|1AART	136VULN|2AART|4LIT|5RMIN|7aRCR|8MLV|9ERES
8	33264 13432	   	271.95	DCR|DCR|2VULN|1MLV|1AART|1CDMG	18VULN|2CDMG|3AART|4MLV|5FEWX|6aRCR|7BOSS|9ERES
9	11311 63166	   	266.59	DCR|DCR|2VULN|2DMG	1MSLFST|29LWND|35VULN|47DMG|6aRCR|8DLOT
10	11314 63116	   	266.49	DCR|DCR|2VULN|2DMG	1MSLFST|2LWND|39VULN|47DMG|5AEFRZ|6aRCR|8DLOT
11	36261 32334	   	264.83	DCR|DCR|3VULN|1AART	156VULN|2AART|3LIT|4CGEN|7aRCR|8AME|9RAT
12	36255 32333	   	264.73	DCR|DCR|3VULN|1AART	146VULN|2AART|3LIT|5RMIN|7aRCR|8AME|9ERES
13	36515 32333	   	264.73	DCR|DCR|3VULN|1AART	136VULN|2AART|4LIT|5RMIN|7aRCR|8AME|9ERES
