0	Index      	 *	Score 	Summary	Detail	
1	42332 35363	 * 	275.11	DCR|DCR|1VULN|2DUR|1TLV|1DMG	14DUR|2CANTOX|3FEWX|5TLV|6BBNT|79RCR|8DMG|aVULN
2	12134 15341	 * 	266.69	DCR|DCR|2DMG|1VULN|1TLV	14DMG|25LWND|3DUST|6TLV|79RCR|8FEWX|aVULN
3	53123 35261	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1TBNT|2SPLARM|3DMG|4VULN|5ERES|6MLV|79RCR|8TLV|aRAT
4	53123 35262	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1TBNT|2SPLARM|3DMG|4VULN|5ERES|6MLV|79RCR|8TLV|aRCVC
5	53123 35263	   	264.41	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1TBNT|2SPLARM|3DMG|4VULN|5ERES|6MLV|79RCR|8TLV|aAEFBLL
6	42121 15263	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2CANTOX|3TBNT|4AEWIND|5LHND|6DMG|79RCR|8TLV|aVULN
7	12331 35221	 * 	253.46	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	18DMG|2LWND|3RPLT|4TLV|59RCR|6CDMG|7ASPD|aVULN
8	23342 15341	   	249.63	DCR|DCR|1VULN|1TLV|1DUR	1AEPOI|2ASPD|34LHND|5DUR|6TLV|79RCR|8FEWX|aVULN
9	15121 15341	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	1DMG|24RCVC|3BEXP|5LEGI|6TLV|79RCR|8FEWX|aVULN
10	12252 15341	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2LWND|36ERES|4TLV|5CGEN|79RCR|8FEWX|aVULN
11	12252 35341	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2LWND|3ERES|4TLV|5CGEN|6AEFRZ|79RCR|8FEWX|aVULN
12	53121 15261	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2SPLARM|3DMG|4VULN|5BEXP|6DMSP|79RCR|8TLV|aRAT
13	53121 15262	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2SPLARM|3DMG|4VULN|5BEXP|6DMSP|79RCR|8TLV|aRCVC
14	53211 15261	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2SPLARM|3VULN|4BEXP|5DMSP|6DMG|79RCR|8TLV|aRAT
15	53211 15262	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2SPLARM|3VULN|4BEXP|5DMSP|6DMG|79RCR|8TLV|aRCVC
16	53213 15261	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2SPLARM|3VULN|45BEXP|6DMG|79RCR|8TLV|aRAT
17	53213 15262	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2SPLARM|3VULN|45BEXP|6DMG|79RCR|8TLV|aRCVC
18	62111 15263	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LWND|2CANTOX|3TBNT|4BEXP|5DMSP|6DMG|79RCR|8TLV|aVULN
19	62113 15263	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LWND|2CANTOX|3TBNT|45BEXP|6DMG|79RCR|8TLV|aVULN
20	62121 15263	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1LWND|2CANTOX|3TBNT|4AEWIND|5LHND|6DMG|79RCR|8TLV|aVULN
21	53121 15263	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2SPLARM|3DMG|4VULN|5BEXP|6DMSP|79RCR|8TLV|aAEFBLL
22	53211 15263	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2SPLARM|3VULN|4BEXP|5DMSP|6DMG|79RCR|8TLV|aAEFBLL
23	53213 15263	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2SPLARM|3VULN|45BEXP|6DMG|79RCR|8TLV|aAEFBLL
24	14312 32244	 * 	247.54	DCR|2DMG|2TLV|1VULN|2DUR|1MLV|1CDMG|1AAC	19DMG|2CDMG|39TLV|4MLV|5AAC|6FEWX|7RCR|89DUR|9BPWR|aVULN
25	33264 13513	 * 	247.03	DCR|DCR|2TLV|2AART|1DUR	1DUST|2DUR|36AART|45TLV|7aRCR|8ZMB|9RPLT
