0	Index      	 *	Score 	Summary	Detail	
1	33362 76312	 * 	247.36	紫2基础对甲3基地爆炸1攻速2暴击1全技能	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9攻速a全技能
2	33362 76332	 * 	247.36	紫2基础对甲3基地爆炸1伤害2暴击1全技能	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9伤害a全技能
3	33362 26361	 * 	235.42	紫2基础对甲2基地爆炸3暴击1伤害	18基地爆炸2双倍秒伤3核4加一568暴击78基础对甲8序列升级9易伤a伤害
4	33362 76313	   	233.71	紫2基础对甲3基地爆炸1攻速2暴击	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9攻速a立即金币
5	33362 76333	   	233.71	紫2基础对甲3基地爆炸1伤害2暴击	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9伤害a立即金币
6	33362 76311	   	233.61	紫2基础对甲3基地爆炸1攻速2暴击	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9攻速a挖青
7	33362 76314	   	233.61	紫2基础对甲3基地爆炸1攻速2暴击	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9攻速a磁铁减费
8	33362 76331	   	233.61	紫2基础对甲3基地爆炸1伤害2暴击	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9伤害a挖青
9	33362 76334	   	233.61	紫2基础对甲3基地爆炸1伤害2暴击	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9伤害a磁铁减费
10	33362 26312	   	228.48	紫2基础对甲2基地爆炸3暴击1伤害	18基地爆炸2双倍秒伤3核4加一568暴击78基础对甲8序列升级9矿等a伤害
11	33362 26351	   	228.48	紫2基础对甲2基地爆炸3暴击1伤害	18基地爆炸2双倍秒伤3核4加一568暴击78基础对甲8序列升级9敌人爆炸a伤害
12	33362 26331	   	228.38	紫2基础对甲2基地爆炸3暴击1伤害	18基地爆炸2双倍秒伤3核4加一568暴击78基础对甲8序列升级9挖尘a伤害
13	33362 26342	   	228.38	紫2基础对甲2基地爆炸3暴击1伤害	18基地爆炸2双倍秒伤3核4加一568暴击78基础对甲8序列升级9等级a伤害
14	33362 26382	   	228.38	紫2基础对甲2基地爆炸3暴击1伤害	18基地爆炸2双倍秒伤3核4加一568暴击78基础对甲8序列升级9核弹a伤害
15	33362 76342	   	227.29	紫2基础对甲3基地爆炸2暴击1全技能	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9金币生成a全技能
16	33362 76322	   	227.19	紫2基础对甲3基地爆炸2暴击1全技能	168基地爆炸2双倍秒伤3核4加一58暴击78基础对甲8序列升级9掉矿a全技能
17	36342 32253	 * 	226.30	紫3基地爆炸2攻速2伤害1技能	17a基地爆炸2核3毒液对冰4a攻速5技能6敌人爆炸8易伤9a伤害a序列升级
18	33362 76212	   	226.26	紫1基础对甲3基地爆炸1攻速1全技能1暴击	168基地爆炸2双倍秒伤3核4加一5暴击7基础对甲9攻速a全技能
19	33362 76232	   	226.26	紫1基础对甲3基地爆炸1伤害1全技能1暴击	168基地爆炸2双倍秒伤3核4加一5暴击7基础对甲9伤害a全技能
20	36112 41326	 * 	221.99	紫2攻速2基地爆炸2易伤1伤害2暴击1卖塔	17基地爆炸2核3卖塔4敌人爆炸57暴击67易伤7序列升级8a攻速9伤害
21	36122 41326	 * 	221.89	紫2攻速2基地爆炸2易伤1伤害2暴击1卖塔	17基地爆炸2核3卖塔4挖尘57暴击67易伤7序列升级8a攻速9伤害
22	16233 41521	 * 	221.26	紫1基础对甲2基地爆炸2易伤1攻速1技能	137最后敌人2核47基地爆炸5技能67易伤7序列升级8基础对甲9掉矿a攻速
23	16233 41532	 * 	221.26	紫1基础对甲2基地爆炸2易伤1伤害1技能	137最后敌人2核47基地爆炸5技能67易伤7序列升级8基础对甲9双倍秒伤a伤害
24	43324 12321	 * 	221.22	紫3攻速3伤害2暴击1全技能	19暴击2平台379伤害4全技能5核69a攻速8挖青9序列升级
25	33312 62216	 * 	220.26	紫3基地爆炸2攻速3易伤2暴击	14a基地爆炸2双倍秒伤3核56暴击7a攻速89a易伤a序列升级
26	43324 12521	 * 	218.50	紫2攻速2伤害2基地爆炸2暴击1全技能	19暴击2平台37伤害4全技能5核69攻速89基地爆炸9序列升级a额外掉落
27	43324 12523	   	218.40	紫2攻速2伤害2基地爆炸2暴击1全技能	19暴击2平台37伤害4全技能5核69攻速89基地爆炸9序列升级a核弹
28	16231 13215	   	217.81	紫1基础对甲3基地爆炸1伤害1暴击	13最后敌人2核456基地爆炸7平台8伤害9暴击a基础对甲
29	16326 41222	 * 	217.71	紫3伤害1基础对甲1攻速	1最后敌人2核379伤害4雷电5金币生成6攻速8平台a基础对甲
