0	Index      	 *	Score 	Summary	Detail	
1	21322 22165	 * 	262.71	紫1基础对甲3基地爆炸2攻速2伤害	127基地爆炸29序列升级3核4技能59等级69攻速89伤害a基础对甲
2	21311 34124	 * 	240.26	紫3基地爆炸2攻速2伤害1全技能1暴击	12a基地爆炸2a序列升级3核4暴击5a攻速6全技能7双倍秒伤8立即金币9a伤害
3	21361 12653	 * 	238.55	紫2易伤3基地爆炸2攻速2伤害	129基地爆炸29序列升级3核4最后敌人59易伤6a伤害7敌人爆炸89攻速
4	21311 33324	   	238.46	紫3基地爆炸2攻速2伤害1全技能1暴击	12a基地爆炸2a序列升级3核4暴击5a攻速6全技能7时间8敌人爆炸9a伤害
5	21316 12334	 * 	238.17	紫1基础对甲2基地爆炸1易伤1攻速1基础对冰1暴击	12基地爆炸2序列升级3核4暴击5挖尘6攻速7易伤8基础对甲9毒液对冰a基础对冰
6	21316 36334	 * 	238.17	紫1基础对甲2基地爆炸1易伤1伤害1基础对冰1暴击	12基地爆炸2序列升级3核4暴击5挖尘6易伤7伤害8基础对甲9毒液对冰a基础对冰
7	21341 14335	 * 	237.85	紫3易伤1基础对甲2基地爆炸1伤害1暴击	12基地爆炸2序列升级3核4挖尘579易伤6伤害8基础对甲a暴击
8	21341 26335	   	237.85	紫3易伤1基础对甲2基地爆炸1伤害1暴击	12基地爆炸2序列升级3核4挖尘569易伤7伤害8基础对甲a暴击
9	21333 32164	 * 	236.48	紫1基础对甲3基地爆炸1易伤1伤害1全技能	12a基地爆炸2序列升级3核4掉矿5全技能6易伤7矿等8基础对甲9伤害
10	21331 52216	 * 	234.30	紫1基础对甲3基地爆炸2伤害1全技能	125基地爆炸25序列升级3核45掉矿6低血量敌人7全技能8基础对甲9a伤害
11	21341 14311	 * 	233.78	紫1基础对甲2易伤2伤害2基地爆炸	12基地爆炸2序列升级3核4挖尘57易伤6a伤害8基础对甲9雷电
12	21341 26311	   	233.78	紫2易伤1基础对甲2伤害2基地爆炸	12基地爆炸2序列升级3核4挖尘56易伤7a伤害8基础对甲9雷电
13	21341 46311	   	233.78	紫2易伤1基础对甲2伤害2基地爆炸	12基地爆炸26序列升级3核46挖尘56易伤7a伤害8基础对甲9雷电
