0	Index      	 *	Score 	Summary	Detail	
1	62152 33421	 * 	402.23	DCR|3VULN|1MDPS|1CDMG|1DUR	138VULN|2DUR|4CDMG|5AEWIND|6RMIN|7MSLREG|9RCR|aMDPS
2	62312 21331	   	398.40	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	18VULN|2DUR|3TLV|4AART|5CDMG|6RAT|7RCR|9DLOT|aMDPS
3	62136 62111	 * 	395.52	2MDPS|3VULN|1TLV|1DUR|1AART	134VULN|2DUR|5TLV|6AART|7MLV|89MDPS|aBBNT
4	62136 62112	   	395.52	2MDPS|3VULN|1TLV|1DUR|1AART	134VULN|2DUR|5TLV|6AART|7MLV|89MDPS|aMBVNT
5	62136 62113	   	395.52	2MDPS|3VULN|1TLV|1DUR|1AART	134VULN|2DUR|5TLV|6AART|7MLV|89MDPS|aDMSP
6	62136 62133	   	395.52	2MDPS|3VULN|1TLV|1DUR|1AART	134VULN|2DUR|5TLV|6AART|7MLV|8aMDPS|9TBNT
7	62131 32241	   	395.09	DCR|3VULN|1MDPS|1DMG|1DUR	134VULN|2DUR|5LWND|6DMG|7CGEN|8FEWX|9RCR|aMDPS
8	62131 32341	   	395.09	DCR|3VULN|1MDPS|1DMG|1DUR	134VULN|2DUR|5LWND|6DMG|7CGEN|8LHND|9RCR|aMDPS
9	62133 36241	   	395.09	DCR|3VULN|1MDPS|1DMG|1DUR	134VULN|2DUR|5ZMB|6DMG|7LHND|8FEWX|9RCR|aMDPS
10	62131 31241	   	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	134VULN|2DUR|5LWND|6DMG|7AME|8FEWX|9RCR|aMDPS
11	62131 31341	   	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	134VULN|2DUR|5LWND|6DMG|7AME|8LHND|9RCR|aMDPS
12	62331 22113	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	19VULN|2DUR|3TLV|4CDMG|5ERES|6RAT|7RCR|8RMIN|aMDPS
13	62331 22613	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	19VULN|2DUR|3TLV|4CDMG|5ERES|6RAT|7RCR|8CGEN|aMDPS
14	63362 53212	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	13VULN|2LIT|4TLV|5BASHEA|6CDMG|7DUR|8TBNT|9RCR|aMDPS
15	62136 53112	   	381.67	2MDPS|3VULN|1TLV|1DMG|1DUR	134VULN|2DUR|5TLV|6aMDPS|7DMG|8ERES|9DUST
16	62136 53132	   	381.67	2MDPS|3VULN|1TLV|1DMG|1DUR	134VULN|2DUR|5TLV|6aMDPS|7DMG|8ERES|9BEXP
17	62136 53212	   	381.67	2MDPS|3VULN|1TLV|1DMG|1DUR	134VULN|2DUR|5TLV|6aMDPS|7DMG|8CGEN|9DUST
18	62136 53232	   	381.67	2MDPS|3VULN|1TLV|1DMG|1DUR	134VULN|2DUR|5TLV|6aMDPS|7DMG|8CGEN|9BEXP
19	62311 25523	 * 	381.28	2MDPS|2VULN|2TLV|2AART|1DUR	18VULN|2DUR|38TLV|45AART|68CGEN|7BBNT|8BPWR|9aMDPS
20	62311 35523	   	381.08	2MDPS|2VULN|2TLV|2AART|1DUR	18VULN|2DUR|38TLV|45AART|68ERES|7BBNT|8BPWR|9aMDPS
21	62131 33226	 * 	375.90	4VULN|1MDPS|3DUR|2DMG	1349VULN|278DUR|59LWND|69DMG|9BPWR|aMDPS
22	62131 35136	 * 	375.63	2MDPS|3VULN|1CDMG|1DMG|1DUR	134VULN|2DUR|5LWND|6DMG|7aMDPS|8CDMG|9BBNT
23	62163 21233	   	375.03	DCR|3VULN|1MDPS|1DUR	139VULN|2DUR|4MSLTOX|5LWND|6RCR|7BEXP|8AAC|aMDPS
24	62163 23233	   	375.03	DCR|3VULN|1MDPS|1DUR	139VULN|2DUR|4MSLTOX|5LWND|6RCR|7LHND|8AAC|aMDPS
25	62164 23233	   	375.03	DCR|3VULN|1MDPS|1DUR	139VULN|2DUR|4MSLTOX|5BEXP|6RCR|7LWND|8AAC|aMDPS
26	62165 21233	   	375.03	DCR|3VULN|1MDPS|1DUR	139VULN|2DUR|4MSLTOX|5FEWX|6RCR|7BEXP|8AAC|aMDPS
27	62165 23233	   	375.03	DCR|3VULN|1MDPS|1DUR	139VULN|2DUR|4MSLTOX|5FEWX|6RCR|7LWND|8AAC|aMDPS
28	61163 22233	   	375.03	DCR|3VULN|1MDPS|1DUR	139VULN|2BEXP|4MSLTOX|5LWND|6RCR|7DUR|8AAC|aMDPS
29	62134 22241	   	374.93	DCR|3VULN|1MDPS|1DUR	134VULN|2DUR|5BEXP|6ASPD|7CGEN|8FEWX|9RCR|aMDPS
30	62134 22341	   	374.93	DCR|3VULN|1MDPS|1DUR	134VULN|2DUR|5BEXP|6ASPD|7CGEN|8LHND|9RCR|aMDPS
31	62163 22433	   	374.93	DCR|3VULN|1MDPS|1DUR	139VULN|2DUR|4MSLTOX|5LWND|6RCR|7AME|8FEWX|aMDPS
32	62163 24233	   	374.93	DCR|3VULN|1MDPS|1DUR	139VULN|2DUR|4MSLTOX|5LWND|6RCR|7LEGI|8AAC|aMDPS
33	62134 21241	   	374.83	DCR|3VULN|1MDPS|1DUR	134VULN|2DUR|5BEXP|6ASPD|7AME|8FEWX|9RCR|aMDPS
34	62134 21341	   	374.83	DCR|3VULN|1MDPS|1DUR	134VULN|2DUR|5BEXP|6ASPD|7AME|8LHND|9RCR|aMDPS
35	62163 22533	   	374.83	DCR|3VULN|1MDPS|1DUR	139VULN|2DUR|4MSLTOX|5LWND|6RCR|7AME|8DUST|aMDPS
36	62122 35421	   	374.79	DCR|3VULN|1MDPS|1DUR|1SELL	138VULN|2DUR|46CGEN|5FRZARM|7SELL|9RCR|aMDPS
37	62136 11325	 * 	373.68	5VULN|1MDPS|1TLV|1DUR	13468VULN|2DUR|5TLV|7ERES|9BBNT|aMDPS
