0	Index      	 *	Score 	Summary	Detail	
1	36331 44134	 * 	402.23	DCR|3VULN|1MDPS|1CDMG|1DUR	1DUR|2BELT|345VULN|6MBVNT|7CDMG|8BBNT|9RCR|aMDPS
2	32635 21213	 * 	396.10	DCR|2VULN|1MDPS|3CDMG|2DUR	16DUR|2LWND|35VULN|469CDMG|6BPWR|7ZMB|8RCR|aMDPS
3	32513 62335	   	391.26	DCR|2VULN|1MDPS|2CDMG|1DMG|1DUR	1DUR|24LWND|34CDMG|4BPWR|5FEWX|6DMG|7RCR|89VULN|aMDPS
4	63213 62335	   	391.26	DCR|2VULN|1MDPS|1CDMG|2DUR|1DMG	1CDMG|24LWND|34DUR|4BPWR|5FEWX|6DMG|7RCR|89VULN|aMDPS
5	11331 56423	 * 	388.37	ACR|2MDPS|1VULN|2TLV|1CDMG|1DUR|1SELL	1SELL|2RCR|35TLV|4DUR|6CDMG|7VULN|8aMDPS|9DMSP
6	32635 21231	   	383.65	DCR|2VULN|1MDPS|2CDMG|2DUR	16DUR|2LWND|35VULN|46CDMG|6BPWR|7ZMB|8RCR|9BOSS|aMDPS
7	33635 21225	   	383.65	DCR|2VULN|1MDPS|2CDMG|2DUR	16DUR|2BEXP|35VULN|46CDMG|6BPWR|7ZMB|8RCR|9LHND|aMDPS
8	32635 25214	   	383.45	DCR|2VULN|1MDPS|2CDMG|2DUR	16DUR|2LWND|35VULN|46CDMG|6BPWR|7ASPD|8RCR|9MBVNT|aMDPS
9	33635 25214	   	383.45	DCR|2VULN|1MDPS|2CDMG|2DUR	16DUR|2BEXP|35VULN|46CDMG|6BPWR|7ASPD|8RCR|9MBVNT|aMDPS
10	11331 12355	 * 	381.56	ACR|2VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR|1SELL	1SELL|2RCR|35TLV|4DUR|6DMG|78VULN|9CDMG|aMDPS
11	33543 23423	   	378.56	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1SELL	1DUR|26BEXP|3CDMG|4FEWX|56VULN|6BPWR|7SELL|8RCR|9DMG|aMDPS
12	32635 62111	 * 	378.51	DCR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1DUR|2LWND|35VULN|4CDMG|6aDMG|7RCR|8MDPS|9MLV
13	32635 62112	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2LWND|35VULN|4CDMG|6DMG|7RCR|8MDPS|9MLV|aAAC
14	32635 62113	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2LWND|35VULN|4CDMG|6DMG|7RCR|8MDPS|9MLV|aRPLT
15	32635 62121	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|29LWND|35VULN|4CDMG|6DMG|7RCR|8MDPS|aAEPOI
16	32635 62122	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|29LWND|35VULN|4CDMG|6DMG|7RCR|8MDPS|aRAT
17	32635 62123	   	378.51	DCR|2VULN|1MDPS|2CDMG|1DMG|1DUR	1DUR|29LWND|35VULN|4aCDMG|6DMG|7RCR|8MDPS
18	32635 62131	   	378.51	DCR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1DUR|2LWND|35VULN|4CDMG|69DMG|7RCR|8MDPS|aAEPOI
19	32635 62132	   	378.51	DCR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1DUR|2LWND|35VULN|4CDMG|69DMG|7RCR|8MDPS|aRAT
20	32635 62133	 * 	378.51	DCR|2VULN|1MDPS|2CDMG|2DMG|1DUR	1DUR|2LWND|35VULN|4aCDMG|69DMG|7RCR|8MDPS
21	32635 62314	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2LWND|35VULN|4CDMG|6DMG|7RCR|8AEFBLL|9MBVNT|aMDPS
22	33635 62111	   	378.51	DCR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1DUR|2BEXP|35VULN|4CDMG|6aDMG|7RCR|8MDPS|9MLV
23	33635 62112	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2BEXP|35VULN|4CDMG|6DMG|7RCR|8MDPS|9MLV|aAAC
24	33635 62113	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2BEXP|35VULN|4CDMG|6DMG|7RCR|8MDPS|9MLV|aRPLT
25	33635 62121	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2BEXP|35VULN|4CDMG|6DMG|7RCR|8MDPS|9LWND|aFEWX
26	33635 62122	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2BEXP|35VULN|4CDMG|6DMG|7RCR|8MDPS|9LWND|aAME
27	33635 62123	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2BEXP|35VULN|4CDMG|6DMG|7RCR|8MDPS|9LWND|aFLTHEA
28	33635 62131	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1SELL	1DUR|2aBEXP|35VULN|4CDMG|6DMG|7RCR|8MDPS|9SELL
29	33635 62132	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1SELL	1DUR|2BEXP|35VULN|4CDMG|6DMG|7RCR|8MDPS|9SELL|aFEWX
30	33635 62133	   	378.51	DCR|3VULN|1MDPS|1CDMG|1DMG|1DUR|1SELL	1DUR|2BEXP|35aVULN|4CDMG|6DMG|7RCR|8MDPS|9SELL
31	33635 62314	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2BEXP|35VULN|4CDMG|6DMG|7RCR|8AEFBLL|9MBVNT|aMDPS
32	33612 24433	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2BEXP|37VULN|4CGEN|5RMIN|6DMG|8RCR|9TLV|aMDPS
33	13122 62635	   	377.17	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR|1SELL	1SELL|2DUR|3AME|49VULN|5TLV|6DMG|7RCR|8FEWX|aMDPS
